                    *********************************************************************************
                    *  Z= 66 A=162: Positive-Parity Spin-dependent Level Density [MeV-1] for DY162  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   2.25  0.391  4.70E+01 9.32E+01 7.94E+02 1.03E+01 5.05E+00 1.85E+01 9.48E+00 1.84E+01 8.66E+00 1.09E+01 4.41E+00 4.40E+00 1.58E+00 5.26E-01 5.26E-01 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.412  7.50E+01 1.31E+02 1.19E+03 1.01E+01 7.76E+00 2.33E+01 1.66E+01 2.31E+01 1.24E+01 1.83E+01 7.05E+00 6.50E+00 2.11E+00 1.58E+00 5.26E-01 1.05E+00 0.00E+00 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.432  1.17E+02 2.07E+02 1.99E+03 1.28E+01 1.25E+01 3.32E+01 2.78E+01 3.49E+01 2.11E+01 2.52E+01 1.49E+01 1.23E+01 5.26E+00 4.21E+00 1.05E+00 1.05E+00 5.26E-01 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.451  1.79E+02 2.88E+02 2.81E+03 1.69E+01 1.41E+01 4.53E+01 3.65E+01 4.92E+01 3.17E+01 3.84E+01 1.81E+01 1.98E+01 7.39E+00 7.03E+00 1.58E+00 5.26E-01 5.26E-01 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.470  2.75E+02 4.79E+02 4.76E+03 3.31E+01 2.32E+01 7.22E+01 5.30E+01 8.10E+01 5.51E+01 5.63E+01 3.53E+01 3.22E+01 1.65E+01 1.28E+01 3.16E+00 2.63E+00 5.26E-01 1.05E+00 0.00E+00 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.487  4.18E+02 6.66E+02 6.60E+03 4.62E+01 3.70E+01 1.02E+02 7.47E+01 1.08E+02 7.42E+01 7.78E+01 4.85E+01 4.45E+01 2.10E+01 1.98E+01 5.79E+00 4.21E+00 1.05E+00 1.05E+00 0.00E+00 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.505  6.43E+02 1.13E+03 1.12E+04 7.24E+01 6.99E+01 1.77E+02 1.31E+02 1.85E+02 1.20E+02 1.27E+02 8.17E+01 7.09E+01 4.07E+01 3.11E+01 1.42E+01 9.47E+00 2.11E+00 5.26E-01 5.26E-01 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.521  9.88E+02 1.63E+03 1.61E+04 1.10E+02 9.24E+01 2.61E+02 1.90E+02 2.70E+02 1.72E+02 1.89E+02 1.11E+02 9.67E+01 5.65E+01 4.60E+01 1.86E+01 1.33E+01 2.63E+00 1.58E+00 5.26E-01 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.537  1.54E+03 2.78E+03 2.81E+04 1.63E+02 1.47E+02 4.26E+02 3.19E+02 4.56E+02 3.08E+02 3.34E+02 2.04E+02 1.67E+02 1.00E+02 7.28E+01 3.84E+01 2.59E+01 7.56E+00 4.21E+00 5.26E-01 1.05E+00 0.00E+00 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.553  2.39E+03 4.01E+03 4.08E+04 2.25E+02 2.09E+02 6.01E+02 4.74E+02 6.54E+02 4.38E+02 4.92E+02 3.11E+02 2.45E+02 1.40E+02 1.03E+02 5.56E+01 3.73E+01 1.44E+01 6.84E+00 1.58E+00 1.05E+00 0.00E+00 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
