                    *********************************************************************************
                    *  Z= 66 A=162: Positive-Parity Spin-dependent Level Density [MeV-1] for DY162  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
  12.00  0.903  4.16E+08 5.25E+08 6.91E+09 8.10E+04 3.57E+07 3.49E+07 6.09E+07 5.40E+07 6.51E+07 5.62E+07 5.55E+07 4.13E+07 3.78E+07 2.68E+07 2.14E+07 1.40E+07 9.86E+06 5.52E+06 3.11E+06 1.43E+06 6.85E+05 2.94E+05 1.34E+05 5.39E+04 2.43E+04 1.05E+04 5.19E+03 2.60E+03 1.37E+03 7.10E+02 3.85E+02 2.10E+02 1.82E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.940  1.77E+09 2.18E+09 2.84E+10 3.07E+05 1.47E+08 1.44E+08 2.53E+08 2.25E+08 2.73E+08 2.37E+08 2.36E+08 1.77E+08 1.64E+08 1.18E+08 8.64E+07 5.22E+07 3.14E+07 1.62E+07 9.39E+06 4.36E+06 2.25E+06 1.01E+06 5.19E+05 2.29E+05 1.15E+05 5.64E+04 3.09E+04 1.67E+04 9.55E+03 5.35E+03 3.00E+03 1.68E+03 1.77E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.975  6.84E+09 7.96E+09 9.67E+10 1.15E+06 5.96E+08 5.85E+08 1.03E+09 9.19E+08 1.12E+09 9.20E+08 8.77E+08 6.09E+08 4.86E+08 3.17E+08 2.14E+08 1.23E+08 7.84E+07 3.91E+07 2.44E+07 1.18E+07 6.61E+06 3.13E+06 1.79E+06 8.75E+05 5.06E+05 2.77E+05 1.66E+05 9.76E+04 5.91E+04 3.48E+04 2.05E+04 1.22E+04 1.39E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.009  1.69E+10 1.21E+10 1.35E+11 1.99E+06 1.07E+09 1.06E+09 1.92E+09 1.62E+09 1.80E+09 1.20E+09 1.14E+09 7.37E+08 5.59E+08 3.64E+08 2.48E+08 1.44E+08 9.43E+07 4.76E+07 3.26E+07 1.48E+07 9.12E+06 4.61E+06 2.88E+06 1.48E+06 9.22E+05 5.27E+05 3.34E+05 2.02E+05 1.25E+05 7.57E+04 4.54E+04 2.76E+04 3.24E+04 1.64E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.042  3.23E+10 1.89E+10 1.95E+11 3.45E+06 1.94E+09 1.90E+09 3.58E+09 2.86E+09 2.89E+09 1.56E+09 1.48E+09 8.91E+08 6.43E+08 4.18E+08 2.87E+08 1.67E+08 1.13E+08 5.79E+07 4.37E+07 1.86E+07 1.26E+07 6.78E+06 4.60E+06 2.51E+06 1.68E+06 1.00E+06 6.72E+05 4.18E+05 2.66E+05 1.64E+05 1.00E+05 6.21E+04 7.53E+04 3.27E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.074  5.70E+10 3.04E+10 2.91E+11 5.97E+06 3.49E+09 3.43E+09 6.69E+09 5.04E+09 4.65E+09 2.03E+09 1.91E+09 1.08E+09 7.40E+08 4.79E+08 3.33E+08 1.95E+08 1.36E+08 7.04E+07 5.86E+07 2.33E+07 1.74E+07 9.97E+06 7.38E+06 4.24E+06 3.06E+06 1.91E+06 1.35E+06 8.65E+05 5.64E+05 3.57E+05 2.22E+05 1.40E+05 1.75E+05 4.91E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.106  9.73E+10 5.02E+10 4.49E+11 1.03E+07 6.29E+09 6.19E+09 1.25E+10 8.89E+09 7.49E+09 2.65E+09 2.48E+09 1.30E+09 8.52E+08 5.50E+08 3.86E+08 2.27E+08 1.64E+08 8.56E+07 7.84E+07 2.91E+07 2.39E+07 1.47E+07 1.18E+07 7.18E+06 5.58E+06 3.64E+06 2.72E+06 1.79E+06 1.20E+06 7.74E+05 4.91E+05 3.16E+05 4.07E+05 6.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.136  1.65E+11 8.47E+10 7.13E+11 1.79E+07 1.13E+10 1.12E+10 2.33E+10 1.57E+10 1.20E+10 3.45E+09 3.22E+09 1.58E+09 9.80E+08 6.31E+08 4.47E+08 2.64E+08 1.97E+08 1.04E+08 1.05E+08 3.65E+07 3.30E+07 2.16E+07 1.89E+07 1.21E+07 1.02E+07 6.93E+06 5.48E+06 3.70E+06 2.54E+06 1.68E+06 1.09E+06 7.11E+05 9.47E+05 8.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.165  2.80E+11 1.45E+11 1.16E+12 3.09E+07 2.05E+10 2.01E+10 4.35E+10 2.76E+10 1.94E+10 4.49E+09 4.18E+09 1.91E+09 1.13E+09 7.24E+08 5.18E+08 3.08E+08 2.37E+08 1.27E+08 1.41E+08 4.58E+07 4.56E+07 3.18E+07 3.03E+07 2.06E+07 1.86E+07 1.32E+07 1.10E+07 7.66E+06 5.38E+06 3.65E+06 2.40E+06 1.60E+06 2.20E+06 9.82E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.236  1.20E+12 5.88E+11 4.31E+12 1.22E+08 8.92E+10 8.80E+10 2.08E+11 1.14E+11 6.36E+10 8.69E+09 8.00E+09 3.08E+09 1.60E+09 1.02E+09 7.48E+08 4.51E+08 3.76E+08 2.06E+08 2.92E+08 8.04E+07 1.02E+08 8.34E+07 9.84E+07 7.66E+07 8.33E+07 6.60E+07 6.35E+07 4.72E+07 3.52E+07 2.54E+07 1.75E+07 1.22E+07 1.82E+07 1.39E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.303  5.04E+12 2.49E+12 1.74E+13 4.81E+08 3.89E+11 3.84E+11 9.89E+11 4.71E+11 2.09E+11 1.68E+10 1.53E+10 4.95E+09 2.27E+09 1.44E+09 1.08E+09 6.60E+08 5.96E+08 3.36E+08 6.06E+08 1.41E+08 2.28E+08 2.19E+08 3.19E+08 2.85E+08 3.74E+08 3.30E+08 3.65E+08 2.91E+08 2.31E+08 1.76E+08 1.27E+08 9.31E+07 1.50E+08 1.80E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.427  1.31E+14 4.77E+13 3.20E+14 7.47E+09 7.40E+12 7.34E+12 2.25E+13 8.03E+12 2.25E+12 6.31E+10 5.63E+10 1.28E+10 4.59E+09 2.87E+09 2.26E+09 1.42E+09 1.50E+09 8.94E+08 2.61E+09 4.37E+08 1.14E+09 1.51E+09 3.37E+09 3.96E+09 7.53E+09 8.27E+09 1.21E+10 1.10E+10 9.91E+09 8.49E+09 6.71E+09 5.41E+09 1.02E+10 2.62E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.648  9.89E+16 1.97E+16 1.35E+17 1.81E+12 2.68E+15 2.67E+15 1.16E+16 2.33E+15 2.62E+14 8.87E+11 7.58E+11 8.64E+10 1.87E+10 1.14E+10 9.84E+09 6.52E+09 9.46E+09 6.32E+09 4.85E+10 4.17E+09 2.84E+10 7.18E+10 3.74E+11 7.64E+11 3.05E+12 5.19E+12 1.32E+13 1.59E+13 1.83E+13 1.98E+13 1.88E+13 1.83E+13 4.73E+13 4.26E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.843  3.94E+17 3.94E+16 2.70E+17 3.60E+12 5.35E+15 5.34E+15 2.32E+16 4.66E+15 5.21E+14 1.25E+13 1.02E+13 5.81E+11 7.59E+10 4.50E+10 4.29E+10 3.00E+10 5.98E+10 4.47E+10 9.02E+11 3.98E+10 7.09E+11 3.41E+12 7.45E+11 1.52E+12 6.10E+12 1.04E+13 2.64E+13 3.18E+13 3.65E+13 3.95E+13 3.75E+13 3.65E+13 9.46E+13 5.89E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  2.018  9.87E+17 7.92E+16 5.51E+17 7.19E+12 1.07E+16 1.07E+16 4.63E+16 9.30E+15 1.04E+15 1.75E+14 1.38E+14 3.91E+12 3.09E+11 1.78E+11 1.87E+11 1.38E+11 3.77E+11 3.16E+11 1.67E+13 3.80E+11 1.77E+13 1.62E+14 1.48E+12 3.04E+12 1.22E+13 2.07E+13 5.27E+13 6.35E+13 7.30E+13 7.90E+13 7.50E+13 7.31E+13 1.89E+14 7.53E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.180  2.23E+18 1.70E+17 1.45E+18 1.44E+13 2.13E+16 2.13E+16 9.25E+16 1.86E+16 2.07E+15 2.46E+15 1.86E+15 2.63E+13 1.26E+12 7.05E+11 8.14E+11 6.34E+11 2.38E+12 2.23E+12 3.11E+14 3.62E+12 4.42E+14 7.72E+15 2.95E+12 6.07E+12 2.43E+13 4.14E+13 1.05E+14 1.27E+14 1.46E+14 1.58E+14 1.50E+14 1.46E+14 3.79E+14 9.17E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.331  6.87E+18 7.57E+17 1.71E+19 2.86E+13 4.26E+16 4.25E+16 1.85E+17 3.71E+16 4.12E+15 3.46E+16 2.50E+16 1.77E+14 5.10E+12 2.79E+12 3.55E+12 2.92E+12 1.51E+13 1.58E+13 5.78E+15 3.46E+13 1.10E+16 3.67E+17 5.88E+12 1.21E+13 4.86E+13 8.27E+13 2.11E+14 2.54E+14 2.92E+14 3.16E+14 3.00E+14 2.92E+14 7.57E+14 1.08E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.472  1.07E+20 1.93E+19 6.74E+20 5.72E+13 8.52E+16 8.49E+16 3.69E+17 7.40E+16 8.20E+15 4.86E+17 3.37E+17 1.19E+15 2.08E+13 1.10E+13 1.55E+13 1.34E+13 9.52E+13 1.11E+14 1.07E+17 3.30E+14 2.75E+17 1.74E+19 1.17E+13 2.41E+13 9.71E+13 1.65E+14 4.21E+14 5.07E+14 5.84E+14 6.32E+14 5.99E+14 5.84E+14 1.51E+15 1.24E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.606  4.46E+21 8.51E+20 3.11E+22 1.14E+14 1.70E+17 1.70E+17 7.38E+17 1.48E+17 1.63E+16 6.83E+18 4.54E+18 7.99E+15 8.44E+13 4.37E+13 6.74E+13 6.18E+13 6.01E+14 7.87E+14 1.99E+18 3.15E+15 6.87E+18 8.29E+20 2.33E+13 4.82E+13 1.94E+14 3.30E+14 8.42E+14 1.01E+15 1.17E+15 1.26E+15 1.20E+15 1.17E+15 3.03E+15 1.41E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.733  2.08E+23 3.98E+22 1.47E+24 2.28E+14 3.40E+17 3.39E+17 1.47E+18 2.95E+17 3.25E+16 9.60E+19 6.12E+19 5.37E+16 3.43E+14 1.73E+14 2.94E+14 2.84E+14 3.80E+15 5.56E+15 3.70E+19 3.01E+16 1.71E+20 3.94E+22 4.64E+13 9.61E+13 3.87E+14 6.60E+14 1.68E+15 2.03E+15 2.33E+15 2.53E+15 2.40E+15 2.34E+15 6.05E+15 1.57E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.854  9.81E+24 1.88E+24 6.95E+25 4.55E+14 6.78E+17 6.77E+17 2.95E+18 5.89E+17 6.48E+16 1.35E+21 8.24E+20 3.61E+17 1.40E+15 6.85E+14 1.28E+15 1.31E+15 2.40E+16 3.93E+16 6.88E+20 2.87E+17 4.28E+21 1.87E+24 9.24E+13 1.92E+14 7.74E+14 1.32E+15 3.36E+15 4.05E+15 4.67E+15 5.05E+15 4.79E+15 4.67E+15 1.21E+16 1.74E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.971  4.65E+26 8.92E+25 3.30E+27 9.07E+14 1.35E+18 1.35E+18 5.89E+18 1.18E+18 1.29E+17 1.90E+22 1.11E+22 2.43E+18 5.68E+15 2.71E+15 5.58E+15 6.02E+15 1.52E+17 2.78E+17 1.28E+22 2.74E+18 1.07E+23 8.91E+25 1.84E+14 3.82E+14 1.55E+15 2.64E+15 6.73E+15 8.11E+15 9.33E+15 1.01E+16 9.58E+15 9.34E+15 2.42E+16 1.90E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.083  2.21E+28 4.24E+27 1.57E+29 1.81E+15 2.71E+18 2.70E+18 1.18E+19 2.35E+18 2.57E+17 2.66E+23 1.50E+23 1.63E+19 2.31E+16 1.07E+16 2.43E+16 2.77E+16 9.58E+17 1.96E+18 2.37E+23 2.61E+19 2.67E+24 4.24E+27 3.66E+14 7.62E+14 3.09E+15 5.27E+15 1.34E+16 1.62E+16 1.87E+16 2.02E+16 1.92E+16 1.87E+16 4.84E+16 2.06E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.191  1.05E+30 2.01E+29 7.45E+30 3.61E+15 5.40E+18 5.39E+18 2.35E+19 4.69E+18 5.11E+17 3.74E+24 2.02E+24 1.10E+20 9.40E+16 4.25E+16 1.06E+17 1.27E+17 6.05E+18 1.39E+19 4.41E+24 2.49E+20 6.66E+25 2.01E+29 7.29E+14 1.52E+15 6.17E+15 1.05E+16 2.69E+16 3.24E+16 3.73E+16 4.04E+16 3.83E+16 3.74E+16 9.68E+16 2.23E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.296  4.99E+31 9.58E+30 3.54E+32 7.21E+15 1.08E+19 1.08E+19 4.70E+19 9.36E+18 1.02E+18 5.26E+25 2.72E+25 7.39E+20 3.82E+17 1.68E+17 4.62E+17 5.86E+17 3.82E+19 9.80E+19 8.19E+25 2.38E+21 1.66E+27 9.57E+30 1.45E+15 3.03E+15 1.23E+16 2.10E+16 5.37E+16 6.48E+16 7.46E+16 8.08E+16 7.66E+16 7.47E+16 1.94E+17 2.39E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.398  2.37E+33 4.55E+32 1.68E+34 1.44E+16 2.16E+19 2.15E+19 9.38E+19 1.87E+19 2.03E+18 7.39E+26 3.66E+26 4.97E+21 1.55E+18 6.67E+17 2.01E+18 2.70E+18 2.41E+20 6.93E+20 1.52E+27 2.27E+22 4.15E+28 4.55E+32 2.89E+15 6.05E+15 2.46E+16 4.20E+16 1.07E+17 1.30E+17 1.49E+17 1.62E+17 1.53E+17 1.49E+17 3.87E+17 2.55E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.496  1.13E+35 2.16E+34 8.01E+35 2.87E+16 4.31E+19 4.29E+19 1.87E+20 3.73E+19 4.04E+18 1.04E+28 4.93E+27 3.34E+22 6.32E+18 2.64E+18 8.77E+18 1.24E+19 1.53E+21 4.89E+21 2.83E+28 2.17E+23 1.04E+30 2.16E+34 5.76E+15 1.21E+16 4.91E+16 8.40E+16 2.15E+17 2.59E+17 2.98E+17 3.23E+17 3.06E+17 2.99E+17 7.74E+17 2.72E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.592  5.37E+36 1.03E+36 3.81E+37 5.74E+16 8.60E+19 8.58E+19 3.75E+20 7.45E+19 8.04E+18 1.46E+29 6.65E+28 2.25E+23 2.57E+19 1.05E+19 3.82E+19 5.71E+19 9.64E+21 3.46E+22 5.25E+29 2.07E+24 2.58E+31 1.03E+36 1.15E+16 2.41E+16 9.82E+16 1.68E+17 4.29E+17 5.18E+17 5.96E+17 6.46E+17 6.13E+17 5.97E+17 1.55E+18 2.88E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.685  2.55E+38 4.89E+37 1.81E+39 1.14E+17 1.72E+20 1.71E+20 7.49E+20 1.49E+20 1.60E+19 2.05E+30 8.95E+29 1.51E+24 1.05E+20 4.14E+19 1.66E+20 2.62E+20 6.09E+22 2.44E+23 9.75E+30 1.97E+25 6.45E+32 4.89E+37 2.28E+16 4.80E+16 1.96E+17 3.36E+17 8.58E+17 1.04E+18 1.19E+18 1.29E+18 1.23E+18 1.19E+18 3.10E+18 3.05E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 66 A=164: Positive-Parity Spin-dependent Level Density [MeV-1] for DY164  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.129  1.00E+00 4.92E+00 3.81E+01 1.00E+00 0.00E+00 1.73E+00 0.00E+00 7.30E-01 0.00E+00 7.30E-01 0.00E+00 7.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.183  2.00E+00 5.32E+00 4.15E+01 8.33E-01 0.00E+00 1.44E+00 6.08E-01 1.22E+00 0.00E+00 6.08E-01 0.00E+00 6.08E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.224  4.00E+00 4.88E+00 5.57E+01 0.00E+00 0.00E+00 7.14E-01 5.21E-01 1.04E+00 5.21E-01 1.04E+00 0.00E+00 5.21E-01 0.00E+00 5.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.259  5.00E+00 6.12E+00 6.21E+01 7.14E-01 0.00E+00 1.24E+00 5.21E-01 5.21E-01 5.21E-01 1.04E+00 5.21E-01 5.21E-01 0.00E+00 5.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.290  7.00E+00 1.16E+01 9.12E+01 2.86E+00 0.00E+00 2.80E+00 5.43E-01 1.76E+00 1.04E+00 5.21E-01 5.21E-01 1.04E+00 0.00E+00 5.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.317  1.10E+01 1.88E+01 1.53E+02 4.09E+00 7.14E-01 4.36E+00 5.43E-01 3.32E+00 1.04E+00 1.56E+00 5.21E-01 1.04E+00 5.21E-01 5.21E-01 0.00E+00 5.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
