                    *********************************************************************************
                    *  Z= 68 A=168: Positive-Parity Spin-dependent Level Density [MeV-1] for ER168  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   2.25  0.384  3.80E+01 6.42E+01 5.89E+02 6.40E+00 5.05E+00 1.03E+01 6.05E+00 1.08E+01 6.20E+00 8.82E+00 2.64E+00 4.22E+00 1.06E+00 1.58E+00 0.00E+00 5.28E-01 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.405  5.70E+01 9.47E+01 8.63E+02 9.80E+00 6.16E+00 1.72E+01 9.81E+00 1.41E+01 8.31E+00 1.32E+01 4.78E+00 5.47E+00 2.11E+00 2.11E+00 5.28E-01 5.28E-01 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.424  8.90E+01 1.61E+02 1.52E+03 1.39E+01 8.68E+00 2.59E+01 1.73E+01 2.67E+01 1.86E+01 2.12E+01 8.50E+00 9.88E+00 3.17E+00 4.22E+00 1.06E+00 1.06E+00 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.443  1.39E+02 2.36E+02 2.32E+03 1.73E+01 1.28E+01 3.53E+01 2.82E+01 3.71E+01 2.60E+01 3.03E+01 1.61E+01 1.66E+01 5.83E+00 5.47E+00 1.58E+00 2.11E+00 0.00E+00 5.28E-01 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.461  2.18E+02 4.00E+02 4.02E+03 2.63E+01 2.20E+01 5.96E+01 4.35E+01 6.53E+01 4.56E+01 4.77E+01 2.80E+01 3.07E+01 1.22E+01 1.02E+01 3.17E+00 3.70E+00 1.06E+00 5.28E-01 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.479  3.40E+02 5.73E+02 5.86E+03 3.42E+01 3.02E+01 8.24E+01 6.48E+01 9.29E+01 6.32E+01 7.13E+01 3.96E+01 4.15E+01 2.15E+01 1.66E+01 6.35E+00 5.47E+00 1.06E+00 1.06E+00 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.496  5.31E+02 9.52E+02 1.01E+04 5.33E+01 4.75E+01 1.29E+02 1.01E+02 1.50E+02 1.09E+02 1.22E+02 7.39E+01 6.83E+01 3.82E+01 3.29E+01 1.11E+01 1.07E+01 2.11E+00 2.11E+00 0.00E+00 5.28E-01 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.512  8.19E+02 1.36E+03 1.45E+04 7.29E+01 6.49E+01 1.87E+02 1.45E+02 2.10E+02 1.56E+02 1.68E+02 1.10E+02 9.62E+01 5.67E+01 4.61E+01 2.12E+01 1.50E+01 4.67E+00 3.70E+00 5.28E-01 5.28E-01 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.528  1.28E+03 2.30E+03 2.48E+04 1.21E+02 1.05E+02 3.04E+02 2.50E+02 3.52E+02 2.76E+02 2.89E+02 1.80E+02 1.68E+02 9.77E+01 7.69E+01 3.94E+01 2.66E+01 9.61E+00 5.81E+00 1.06E+00 5.28E-01 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.543  1.97E+03 3.26E+03 3.55E+04 1.65E+02 1.47E+02 4.20E+02 3.50E+02 4.82E+02 3.87E+02 4.11E+02 2.65E+02 2.37E+02 1.48E+02 1.12E+02 5.59E+01 4.31E+01 1.50E+01 1.08E+01 2.56E+00 2.11E+00 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.558  3.05E+03 5.39E+03 6.00E+04 2.62E+02 2.39E+02 6.86E+02 5.45E+02 7.79E+02 6.33E+02 6.82E+02 4.61E+02 4.16E+02 2.47E+02 1.99E+02 1.06E+02 7.09E+01 3.59E+01 1.84E+01 5.47E+00 3.70E+00 5.28E-01 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
