                    *********************************************************************************
                    *  Z= 73 A=181: Positive-Parity Spin-dependent Level Density [MeV-1] for TA181  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
  14.00  0.922  8.89E+10 1.12E+11 1.72E+12 3.06E+09 6.08E+09 8.57E+09 1.02E+10 1.12E+10 1.12E+10 1.07E+10 9.58E+09 8.61E+09 7.21E+09 5.81E+09 4.85E+09 3.69E+09 2.89E+09 2.11E+09 1.61E+09 1.18E+09 8.80E+08 6.70E+08 4.83E+08 3.57E+08 2.39E+08 1.77E+08 1.25E+08 9.12E+07 6.98E+07 4.34E+07 2.69E+07 1.51E+07 5.89E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.955  2.51E+11 2.12E+11 3.30E+12 5.62E+09 1.12E+10 1.60E+10 1.92E+10 2.12E+10 2.09E+10 2.01E+10 1.83E+10 1.64E+10 1.38E+10 1.12E+10 9.36E+09 7.17E+09 5.61E+09 4.14E+09 3.16E+09 2.32E+09 1.75E+09 1.34E+09 9.72E+08 7.24E+08 4.86E+08 3.64E+08 2.59E+08 1.89E+08 1.46E+08 9.25E+07 5.77E+07 3.24E+07 1.29E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  0.986  5.59E+11 4.03E+11 6.33E+12 1.03E+10 2.05E+10 2.98E+10 3.64E+10 3.98E+10 3.92E+10 3.80E+10 3.50E+10 3.13E+10 2.66E+10 2.17E+10 1.81E+10 1.39E+10 1.09E+10 8.14E+09 6.22E+09 4.59E+09 3.48E+09 2.69E+09 1.96E+09 1.47E+09 9.87E+08 7.49E+08 5.36E+08 3.93E+08 3.05E+08 1.97E+08 1.24E+08 6.96E+07 2.83E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.016  1.14E+12 7.67E+11 1.22E+13 1.90E+10 3.77E+10 5.55E+10 6.90E+10 7.50E+10 7.34E+10 7.17E+10 6.68E+10 5.97E+10 5.11E+10 4.18E+10 3.48E+10 2.71E+10 2.12E+10 1.60E+10 1.23E+10 9.07E+09 6.92E+09 5.38E+09 3.94E+09 2.98E+09 2.01E+09 1.54E+09 1.11E+09 8.17E+08 6.39E+08 4.19E+08 2.66E+08 1.49E+08 6.19E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.046  2.26E+12 1.46E+12 2.34E+13 3.48E+10 6.92E+10 1.04E+11 1.31E+11 1.41E+11 1.37E+11 1.35E+11 1.28E+11 1.14E+11 9.83E+10 8.06E+10 6.72E+10 5.25E+10 4.11E+10 3.14E+10 2.41E+10 1.79E+10 1.38E+10 1.08E+10 7.93E+09 6.04E+09 4.07E+09 3.16E+09 2.29E+09 1.70E+09 1.34E+09 8.93E+08 5.70E+08 3.20E+08 1.35E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.075  4.38E+12 2.78E+12 4.51E+13 6.39E+10 1.27E+11 1.93E+11 2.47E+11 2.66E+11 2.58E+11 2.56E+11 2.44E+11 2.17E+11 1.89E+11 1.56E+11 1.30E+11 1.02E+11 7.97E+10 6.18E+10 4.75E+10 3.54E+10 2.73E+10 2.15E+10 1.59E+10 1.22E+10 8.28E+09 6.50E+09 4.73E+09 3.52E+09 2.79E+09 1.90E+09 1.22E+09 6.87E+08 2.97E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.102  8.41E+12 5.29E+12 8.68E+13 1.17E+11 2.34E+11 3.60E+11 4.68E+11 5.01E+11 4.83E+11 4.83E+11 4.66E+11 4.14E+11 3.63E+11 3.00E+11 2.50E+11 1.98E+11 1.55E+11 1.21E+11 9.35E+10 7.00E+10 5.44E+10 4.31E+10 3.21E+10 2.48E+10 1.68E+10 1.34E+10 9.78E+09 7.32E+09 5.84E+09 4.05E+09 2.63E+09 1.47E+09 6.49E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.169  4.82E+13 2.65E+13 4.48E+14 5.37E+11 1.07E+12 1.71E+12 2.31E+12 2.44E+12 2.32E+12 2.37E+12 2.35E+12 2.08E+12 1.86E+12 1.55E+12 1.29E+12 1.04E+12 8.13E+11 6.57E+11 5.09E+11 3.85E+11 3.03E+11 2.44E+11 1.84E+11 1.45E+11 9.89E+10 8.09E+10 6.01E+10 4.55E+10 3.69E+10 2.68E+10 1.77E+10 9.94E+09 4.60E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.233  2.48E+14 1.33E+14 2.32E+15 2.45E+12 4.89E+12 8.10E+12 1.14E+13 1.19E+13 1.12E+13 1.16E+13 1.18E+13 1.04E+13 9.52E+12 8.04E+12 6.69E+12 5.48E+12 4.27E+12 3.55E+12 2.77E+12 2.11E+12 1.69E+12 1.38E+12 1.06E+12 8.51E+11 5.82E+11 4.90E+11 3.69E+11 2.83E+11 2.34E+11 1.77E+11 1.19E+11 6.70E+10 3.27E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.350  9.10E+15 3.41E+15 6.29E+16 5.13E+13 1.02E+14 1.83E+14 2.76E+14 2.81E+14 2.58E+14 2.78E+14 3.01E+14 2.64E+14 2.49E+14 2.15E+14 1.79E+14 1.51E+14 1.18E+14 1.04E+14 8.20E+13 6.37E+13 5.25E+13 4.45E+13 3.50E+13 2.91E+13 2.01E+13 1.80E+13 1.39E+13 1.09E+13 9.35E+12 7.74E+12 5.44E+12 3.05E+12 1.64E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.559  1.16E+19 2.32E+18 4.93E+19 2.24E+16 4.47E+16 9.26E+16 1.63E+17 1.57E+17 1.37E+17 1.61E+17 1.95E+17 1.68E+17 1.71E+17 1.54E+17 1.28E+17 1.15E+17 8.95E+16 8.91E+16 7.18E+16 5.79E+16 5.07E+16 4.59E+16 3.81E+16 3.42E+16 2.41E+16 2.41E+16 1.98E+16 1.64E+16 1.50E+16 1.48E+16 1.13E+16 6.30E+15 4.16E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.743  4.65E+19 4.64E+18 9.86E+19 4.47E+16 8.93E+16 1.85E+17 3.26E+17 3.14E+17 2.75E+17 3.21E+17 3.90E+17 3.35E+17 3.43E+17 3.08E+17 2.56E+17 2.31E+17 1.79E+17 1.78E+17 1.44E+17 1.16E+17 1.01E+17 9.18E+16 7.61E+16 6.84E+16 4.83E+16 4.83E+16 3.97E+16 3.27E+16 2.99E+16 2.96E+16 2.25E+16 1.26E+16 8.31E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.910  1.16E+20 9.28E+18 1.97E+20 8.93E+16 1.78E+17 3.70E+17 6.51E+17 6.28E+17 5.49E+17 6.41E+17 7.79E+17 6.70E+17 6.85E+17 6.16E+17 5.12E+17 4.61E+17 3.57E+17 3.56E+17 2.87E+17 2.31E+17 2.02E+17 1.83E+17 1.52E+17 1.37E+17 9.65E+16 9.65E+16 7.93E+16 6.54E+16 5.98E+16 5.92E+16 4.50E+16 2.52E+16 1.66E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.063  2.55E+20 1.85E+19 3.94E+20 1.78E+17 3.56E+17 7.39E+17 1.30E+18 1.25E+18 1.10E+18 1.28E+18 1.56E+18 1.34E+18 1.37E+18 1.23E+18 1.02E+18 9.22E+17 7.14E+17 7.12E+17 5.73E+17 4.63E+17 4.05E+17 3.67E+17 3.04E+17 2.73E+17 1.93E+17 1.93E+17 1.59E+17 1.31E+17 1.20E+17 1.18E+17 9.00E+16 5.03E+16 3.32E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.205  5.33E+20 3.71E+19 7.87E+20 3.57E+17 7.12E+17 1.48E+18 2.60E+18 2.51E+18 2.19E+18 2.56E+18 3.11E+18 2.68E+18 2.73E+18 2.46E+18 2.04E+18 1.84E+18 1.43E+18 1.42E+18 1.15E+18 9.25E+17 8.09E+17 7.33E+17 6.08E+17 5.47E+17 3.86E+17 3.86E+17 3.17E+17 2.61E+17 2.39E+17 2.37E+17 1.80E+17 1.01E+17 6.65E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.339  1.09E+21 7.41E+19 1.57E+21 7.12E+17 1.42E+18 2.95E+18 5.19E+18 5.01E+18 4.38E+18 5.11E+18 6.22E+18 5.35E+18 5.47E+18 4.92E+18 4.09E+18 3.68E+18 2.85E+18 2.84E+18 2.29E+18 1.85E+18 1.62E+18 1.47E+18 1.22E+18 1.09E+18 7.71E+17 7.71E+17 6.34E+17 5.23E+17 4.78E+17 4.73E+17 3.60E+17 2.01E+17 1.33E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.465  2.20E+21 1.48E+20 3.15E+21 1.42E+18 2.84E+18 5.89E+18 1.04E+19 1.00E+19 8.75E+18 1.02E+19 1.24E+19 1.07E+19 1.09E+19 9.83E+18 8.17E+18 7.36E+18 5.70E+18 5.68E+18 4.58E+18 3.70E+18 3.23E+18 2.93E+18 2.43E+18 2.18E+18 1.54E+18 1.54E+18 1.27E+18 1.04E+18 9.56E+17 9.46E+17 7.19E+17 4.02E+17 2.66E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.586  4.42E+21 2.96E+20 6.29E+21 2.84E+18 5.68E+18 1.18E+19 2.07E+19 2.00E+19 1.75E+19 2.04E+19 2.48E+19 2.14E+19 2.18E+19 1.96E+19 1.63E+19 1.47E+19 1.14E+19 1.14E+19 9.15E+18 7.39E+18 6.46E+18 5.86E+18 4.86E+18 4.37E+18 3.08E+18 3.08E+18 2.53E+18 2.09E+18 1.91E+18 1.89E+18 1.44E+18 8.05E+17 5.31E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.701  8.85E+21 5.91E+20 1.26E+22 5.68E+18 1.13E+19 2.35E+19 4.14E+19 4.00E+19 3.49E+19 4.08E+19 4.96E+19 4.27E+19 4.36E+19 3.93E+19 3.26E+19 2.94E+19 2.28E+19 2.27E+19 1.83E+19 1.48E+19 1.29E+19 1.17E+19 9.72E+18 8.73E+18 6.16E+18 6.16E+18 5.07E+18 4.18E+18 3.82E+18 3.78E+18 2.88E+18 1.61E+18 1.06E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.811  1.77E+22 1.18E+21 2.51E+22 1.13E+19 2.26E+19 4.70E+19 8.28E+19 7.99E+19 6.98E+19 8.15E+19 9.92E+19 8.53E+19 8.72E+19 7.85E+19 6.52E+19 5.88E+19 4.55E+19 4.54E+19 3.66E+19 2.95E+19 2.58E+19 2.34E+19 1.94E+19 1.75E+19 1.23E+19 1.23E+19 1.01E+19 8.35E+18 7.64E+18 7.56E+18 5.75E+18 3.22E+18 2.12E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  2.917  3.54E+22 2.36E+21 5.02E+22 2.27E+19 4.52E+19 9.39E+19 1.65E+20 1.60E+20 1.39E+20 1.63E+20 1.98E+20 1.70E+20 1.74E+20 1.57E+20 1.30E+20 1.17E+20 9.10E+19 9.07E+19 7.31E+19 5.90E+19 5.16E+19 4.68E+19 3.88E+19 3.49E+19 2.46E+19 2.46E+19 2.03E+19 1.67E+19 1.53E+19 1.51E+19 1.15E+19 6.43E+18 4.25E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.019  7.08E+22 4.72E+21 1.00E+23 4.53E+19 9.04E+19 1.88E+20 3.31E+20 3.19E+20 2.79E+20 3.26E+20 3.96E+20 3.41E+20 3.48E+20 3.13E+20 2.60E+20 2.35E+20 1.82E+20 1.81E+20 1.46E+20 1.18E+20 1.03E+20 9.35E+19 7.76E+19 6.98E+19 4.92E+19 4.93E+19 4.05E+19 3.34E+19 3.05E+19 3.02E+19 2.30E+19 1.29E+19 8.50E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.118  1.42E+23 9.43E+21 2.01E+23 9.04E+19 1.81E+20 3.75E+20 6.61E+20 6.37E+20 5.57E+20 6.51E+20 7.91E+20 6.81E+20 6.96E+20 6.26E+20 5.21E+20 4.69E+20 3.64E+20 3.63E+20 2.92E+20 2.36E+20 2.06E+20 1.87E+20 1.55E+20 1.39E+20 9.84E+19 9.85E+19 8.10E+19 6.67E+19 6.10E+19 6.04E+19 4.60E+19 2.57E+19 1.70E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.214  2.83E+23 1.89E+22 4.01E+23 1.81E+20 3.61E+20 7.49E+20 1.32E+21 1.27E+21 1.11E+21 1.30E+21 1.58E+21 1.36E+21 1.39E+21 1.25E+21 1.04E+21 9.38E+20 7.27E+20 7.25E+20 5.84E+20 4.71E+20 4.12E+20 3.74E+20 3.10E+20 2.79E+20 1.97E+20 1.97E+20 1.62E+20 1.33E+20 1.22E+20 1.21E+20 9.19E+19 5.14E+19 3.40E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.307  5.66E+23 3.77E+22 8.01E+23 3.61E+20 7.21E+20 1.50E+21 2.64E+21 2.55E+21 2.22E+21 2.60E+21 3.16E+21 2.72E+21 2.78E+21 2.50E+21 2.08E+21 1.87E+21 1.45E+21 1.45E+21 1.17E+21 9.42E+20 8.24E+20 7.47E+20 6.20E+20 5.57E+20 3.93E+20 3.94E+20 3.24E+20 2.67E+20 2.44E+20 2.42E+20 1.84E+20 1.03E+20 6.79E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.398  1.13E+24 7.53E+22 1.60E+24 7.21E+20 1.44E+21 2.99E+21 5.27E+21 5.09E+21 4.44E+21 5.19E+21 6.32E+21 5.43E+21 5.56E+21 5.00E+21 4.16E+21 3.75E+21 2.90E+21 2.89E+21 2.33E+21 1.88E+21 1.65E+21 1.49E+21 1.24E+21 1.11E+21 7.86E+20 7.87E+20 6.47E+20 5.33E+20 4.88E+20 4.83E+20 3.67E+20 2.06E+20 1.36E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.486  2.26E+24 1.50E+23 3.20E+24 1.44E+21 2.88E+21 5.97E+21 1.05E+22 1.02E+22 8.87E+21 1.04E+22 1.26E+22 1.09E+22 1.11E+22 9.99E+21 8.31E+21 7.49E+21 5.80E+21 5.79E+21 4.66E+21 3.76E+21 3.29E+21 2.99E+21 2.48E+21 2.23E+21 1.57E+21 1.57E+21 1.29E+21 1.07E+21 9.75E+20 9.66E+20 7.35E+20 4.11E+20 2.72E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 73 A=181: Negative-parity Spin-dependent Level Density [MeV-1] for TA181  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.123  1.00E+00 6.50E+00 7.75E+01 0.00E+00 0.00E+00 1.00E+00 6.99E-01 1.00E+00 6.99E-01 1.70E+00 6.99E-01 6.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.174  3.00E+00 8.58E+00 8.96E+01 8.33E-01 5.83E-01 1.42E+00 5.83E-01 1.42E+00 5.83E-01 1.42E+00 5.83E-01 5.83E-01 5.83E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.213  6.00E+00 1.65E+01 1.67E+02 1.21E+00 1.71E+00 2.26E+00 2.22E+00 2.93E+00 1.50E+00 1.71E+00 9.99E-01 9.99E-01 4.99E-01 4.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.247  1.20E+01 2.66E+01 2.55E+02 1.22E+00 3.64E+00 4.25E+00 4.43E+00 3.94E+00 3.21E+00 2.21E+00 1.50E+00 9.99E-01 5.09E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.276  2.20E+01 5.44E+01 5.55E+02 2.43E+00 5.85E+00 6.52E+00 7.01E+00 1.06E+01 8.66E+00 5.71E+00 2.72E+00 2.21E+00 1.01E+00 1.21E+00 4.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.302  3.90E+01 8.30E+01 8.79E+02 4.36E+00 7.90E+00 1.02E+01 1.07E+01 1.28E+01 1.22E+01 9.70E+00 5.73E+00 3.93E+00 2.22E+00 1.71E+00 9.99E-01 4.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.326  6.90E+01 1.57E+02 1.64E+03 9.03E+00 1.51E+01 1.95E+01 2.48E+01 2.21E+01 1.77E+01 1.66E+01 1.28E+01 9.63E+00 4.72E+00 2.21E+00 1.50E+00 9.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
