                    *********************************************************************************
                    *  Z= 73 A=181: Positive-Parity Spin-dependent Level Density [MeV-1] for TA181  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   2.25  0.370  2.04E+02 4.38E+02 4.69E+03 2.16E+01 4.15E+01 5.75E+01 6.44E+01 6.29E+01 5.46E+01 4.26E+01 3.50E+01 2.39E+01 1.30E+01 8.60E+00 7.57E+00 2.93E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.390  3.39E+02 6.48E+02 7.04E+03 2.89E+01 5.77E+01 8.25E+01 9.70E+01 9.52E+01 8.24E+01 6.58E+01 4.70E+01 3.75E+01 2.24E+01 1.35E+01 1.11E+01 4.64E+00 2.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.409  5.63E+02 1.14E+03 1.27E+04 5.34E+01 1.00E+02 1.35E+02 1.59E+02 1.65E+02 1.45E+02 1.17E+02 9.10E+01 6.25E+01 4.72E+01 2.60E+01 1.90E+01 1.18E+01 4.54E+00 2.43E+00 2.45E-02 2.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.427  9.17E+02 1.69E+03 1.89E+04 7.87E+01 1.51E+02 2.06E+02 2.35E+02 2.35E+02 2.13E+02 1.72E+02 1.35E+02 1.01E+02 6.74E+01 4.70E+01 2.55E+01 1.48E+01 7.53E+00 4.19E+00 4.54E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.444  1.50E+03 3.00E+03 3.43E+04 1.31E+02 2.54E+02 3.47E+02 4.13E+02 4.25E+02 3.73E+02 3.01E+02 2.44E+02 1.90E+02 1.31E+02 8.11E+01 5.68E+01 2.62E+01 1.81E+01 7.40E+00 4.66E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.461  2.43E+03 4.40E+03 5.05E+04 2.00E+02 3.73E+02 5.00E+02 5.78E+02 6.14E+02 5.56E+02 4.57E+02 3.53E+02 2.75E+02 1.93E+02 1.23E+02 8.56E+01 4.29E+01 2.74E+01 1.35E+01 6.16E+00 7.14E-01 5.31E-01 2.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.477  3.93E+03 7.58E+03 8.84E+04 3.27E+02 6.24E+02 8.61E+02 9.76E+02 1.02E+03 9.32E+02 8.25E+02 6.41E+02 4.81E+02 3.45E+02 2.27E+02 1.50E+02 8.45E+01 5.01E+01 2.54E+01 1.10E+01 5.64E+00 8.19E-01 1.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.493  6.26E+03 1.11E+04 1.30E+05 4.89E+02 9.28E+02 1.27E+03 1.41E+03 1.45E+03 1.34E+03 1.18E+03 9.61E+02 7.24E+02 5.05E+02 3.34E+02 2.35E+02 1.34E+02 8.02E+01 4.00E+01 2.04E+01 9.32E+00 3.11E+00 2.64E+00 2.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.508  1.01E+04 1.92E+04 2.28E+05 7.95E+02 1.54E+03 2.15E+03 2.46E+03 2.56E+03 2.31E+03 2.00E+03 1.63E+03 1.30E+03 9.15E+02 5.99E+02 4.25E+02 2.51E+02 1.49E+02 7.76E+01 4.05E+01 1.94E+01 1.15E+01 3.36E+00 1.21E+00 2.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.523  1.59E+04 2.78E+04 3.33E+05 1.13E+03 2.22E+03 3.08E+03 3.52E+03 3.65E+03 3.36E+03 2.90E+03 2.34E+03 1.85E+03 1.37E+03 8.97E+02 6.29E+02 3.81E+02 2.30E+02 1.21E+02 6.76E+01 3.27E+01 1.73E+01 6.00E+00 1.98E+00 1.36E+00 4.69E-02 2.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
