                    *********************************************************************************
                    *  Z= 57 A=139: Positive-Parity Spin-dependent Level Density [MeV-1] for LA139  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
  11.00  0.933  2.83E+07 3.58E+07 6.41E+08 6.76E+05 1.31E+06 1.88E+06 2.36E+06 2.71E+06 2.94E+06 3.04E+06 3.02E+06 2.90E+06 2.70E+06 2.43E+06 2.13E+06 1.81E+06 1.50E+06 1.20E+06 9.39E+05 7.12E+05 5.22E+05 3.70E+05 2.52E+05 1.64E+05 1.01E+05 5.91E+04 3.28E+04 1.72E+04 8.62E+03 4.33E+03 2.14E+03 1.49E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.974  1.21E+08 1.50E+08 2.81E+09 2.59E+06 5.04E+06 7.23E+06 9.09E+06 1.05E+07 1.15E+07 1.20E+07 1.21E+07 1.18E+07 1.11E+07 1.02E+07 9.10E+06 7.92E+06 6.72E+06 5.56E+06 4.49E+06 3.53E+06 2.70E+06 2.01E+06 1.46E+06 1.03E+06 7.05E+05 4.73E+05 3.09E+05 1.96E+05 1.20E+05 7.10E+04 3.92E+04 3.00E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.014  4.99E+08 6.07E+08 1.18E+10 9.81E+06 1.92E+07 2.76E+07 3.49E+07 4.06E+07 4.47E+07 4.70E+07 4.77E+07 4.69E+07 4.47E+07 4.15E+07 3.76E+07 3.32E+07 2.86E+07 2.40E+07 1.97E+07 1.58E+07 1.23E+07 9.40E+06 6.98E+06 5.05E+06 3.54E+06 2.41E+06 1.59E+06 1.00E+06 6.06E+05 3.66E+05 2.05E+05 1.69E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.053  2.01E+09 2.41E+09 4.84E+10 3.63E+07 7.10E+07 1.03E+08 1.30E+08 1.52E+08 1.68E+08 1.78E+08 1.82E+08 1.81E+08 1.74E+08 1.64E+08 1.50E+08 1.34E+08 1.17E+08 1.01E+08 8.41E+07 6.89E+07 5.52E+07 4.32E+07 3.31E+07 2.48E+07 1.81E+07 1.29E+07 8.94E+06 6.06E+06 4.01E+06 2.76E+06 1.81E+06 1.95E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.090  5.40E+09 4.37E+09 8.93E+10 6.37E+07 1.25E+08 1.80E+08 2.29E+08 2.68E+08 2.98E+08 3.17E+08 3.25E+08 3.23E+08 3.13E+08 2.95E+08 2.72E+08 2.45E+08 2.16E+08 1.87E+08 1.58E+08 1.30E+08 1.06E+08 8.37E+07 6.49E+07 4.92E+07 3.65E+07 2.64E+07 1.87E+07 1.29E+07 8.74E+06 6.14E+06 4.08E+06 4.46E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.125  1.15E+10 7.93E+09 1.65E+11 1.12E+08 2.19E+08 3.17E+08 4.03E+08 4.73E+08 5.26E+08 5.61E+08 5.78E+08 5.78E+08 5.62E+08 5.34E+08 4.95E+08 4.49E+08 3.98E+08 3.46E+08 2.95E+08 2.47E+08 2.02E+08 1.62E+08 1.27E+08 9.77E+07 7.35E+07 5.42E+07 3.91E+07 2.76E+07 1.90E+07 1.36E+07 9.20E+06 1.02E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.160  2.27E+10 1.44E+10 3.06E+11 1.96E+08 3.84E+08 5.57E+08 7.09E+08 8.34E+08 9.31E+08 9.95E+08 1.03E+09 1.03E+09 1.01E+09 9.63E+08 8.99E+08 8.20E+08 7.34E+08 6.43E+08 5.53E+08 4.67E+08 3.86E+08 3.13E+08 2.49E+08 1.94E+08 1.48E+08 1.11E+08 8.17E+07 5.90E+07 4.15E+07 3.03E+07 2.07E+07 2.31E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.194  4.30E+10 2.63E+10 5.68E+11 3.44E+08 6.74E+08 9.79E+08 1.25E+09 1.47E+09 1.64E+09 1.76E+09 1.83E+09 1.85E+09 1.81E+09 1.74E+09 1.63E+09 1.50E+09 1.35E+09 1.19E+09 1.04E+09 8.84E+08 7.39E+08 6.06E+08 4.88E+08 3.85E+08 2.99E+08 2.28E+08 1.71E+08 1.26E+08 9.04E+07 6.73E+07 4.68E+07 5.28E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.226  8.01E+10 4.79E+10 1.06E+12 6.02E+08 1.18E+09 1.72E+09 2.19E+09 2.59E+09 2.91E+09 3.13E+09 3.26E+09 3.30E+09 3.26E+09 3.14E+09 2.96E+09 2.74E+09 2.49E+09 2.22E+09 1.94E+09 1.67E+09 1.41E+09 1.17E+09 9.56E+08 7.65E+08 6.02E+08 4.67E+08 3.57E+08 2.69E+08 1.97E+08 1.49E+08 1.06E+08 1.20E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.258  1.48E+11 8.75E+10 1.97E+12 1.06E+09 2.08E+09 3.02E+09 3.86E+09 4.57E+09 5.14E+09 5.55E+09 5.80E+09 5.90E+09 5.85E+09 5.67E+09 5.38E+09 5.01E+09 4.58E+09 4.12E+09 3.64E+09 3.16E+09 2.70E+09 2.27E+09 1.87E+09 1.52E+09 1.21E+09 9.58E+08 7.46E+08 5.73E+08 4.29E+08 3.32E+08 2.38E+08 2.74E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.334  7.56E+11 3.99E+11 9.54E+12 4.30E+09 8.47E+09 1.24E+10 1.58E+10 1.89E+10 2.14E+10 2.32E+10 2.45E+10 2.52E+10 2.53E+10 2.49E+10 2.39E+10 2.26E+10 2.11E+10 1.93E+10 1.75E+10 1.56E+10 1.37E+10 1.18E+10 1.01E+10 8.45E+09 7.01E+09 5.77E+09 4.71E+09 3.82E+09 3.01E+09 2.44E+09 1.82E+09 2.15E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.407  3.57E+12 1.85E+12 4.72E+13 1.75E+10 3.46E+10 5.06E+10 6.50E+10 7.79E+10 8.87E+10 9.73E+10 1.04E+11 1.08E+11 1.09E+11 1.09E+11 1.06E+11 1.02E+11 9.70E+10 9.08E+10 8.40E+10 7.68E+10 6.93E+10 6.16E+10 5.41E+10 4.70E+10 4.05E+10 3.47E+10 2.98E+10 2.54E+10 2.11E+10 1.79E+10 1.39E+10 1.69E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.541  1.15E+14 4.26E+13 1.27E+15 2.91E+11 5.75E+11 8.46E+11 1.10E+12 1.33E+12 1.53E+12 1.71E+12 1.85E+12 1.96E+12 2.05E+12 2.09E+12 2.10E+12 2.09E+12 2.05E+12 2.00E+12 1.94E+12 1.87E+12 1.77E+12 1.67E+12 1.56E+12 1.45E+12 1.35E+12 1.26E+12 1.19E+12 1.12E+12 1.04E+12 9.70E+11 8.12E+11 1.04E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.779  1.75E+17 3.50E+16 1.45E+18 8.00E+13 1.59E+14 2.37E+14 3.11E+14 3.85E+14 4.56E+14 5.25E+14 5.90E+14 6.54E+14 7.15E+14 7.70E+14 8.22E+14 8.71E+14 9.20E+14 9.73E+14 1.03E+15 1.10E+15 1.16E+15 1.23E+15 1.30E+15 1.39E+15 1.50E+15 1.66E+15 1.89E+15 2.21E+15 2.50E+15 2.84E+15 2.77E+15 3.93E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.989  7.00E+17 6.99E+16 2.90E+18 1.60E+14 3.18E+14 4.73E+14 6.22E+14 7.69E+14 9.11E+14 1.05E+15 1.18E+15 1.31E+15 1.43E+15 1.54E+15 1.64E+15 1.74E+15 1.84E+15 1.94E+15 2.07E+15 2.20E+15 2.33E+15 2.46E+15 2.60E+15 2.77E+15 2.99E+15 3.31E+15 3.79E+15 4.41E+15 4.99E+15 5.67E+15 5.53E+15 7.86E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  2.179  1.75E+18 1.40E+17 5.79E+18 3.19E+14 6.35E+14 9.45E+14 1.24E+15 1.54E+15 1.82E+15 2.09E+15 2.35E+15 2.61E+15 2.85E+15 3.07E+15 3.28E+15 3.47E+15 3.67E+15 3.89E+15 4.13E+15 4.39E+15 4.65E+15 4.92E+15 5.20E+15 5.54E+15 5.98E+15 6.62E+15 7.57E+15 8.82E+15 9.98E+15 1.13E+16 1.11E+16 1.57E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.354  3.84E+18 2.79E+17 1.16E+19 6.36E+14 1.27E+15 1.89E+15 2.48E+15 3.07E+15 3.63E+15 4.18E+15 4.70E+15 5.20E+15 5.69E+15 6.14E+15 6.55E+15 6.94E+15 7.34E+15 7.76E+15 8.25E+15 8.77E+15 9.29E+15 9.83E+15 1.04E+16 1.11E+16 1.20E+16 1.32E+16 1.51E+16 1.76E+16 2.00E+16 2.27E+16 2.21E+16 3.14E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.516  8.03E+18 5.58E+17 2.32E+19 1.27E+15 2.53E+15 3.76E+15 4.95E+15 6.12E+15 7.25E+15 8.34E+15 9.39E+15 1.04E+16 1.14E+16 1.23E+16 1.31E+16 1.39E+16 1.47E+16 1.55E+16 1.65E+16 1.75E+16 1.86E+16 1.96E+16 2.08E+16 2.22E+16 2.39E+16 2.65E+16 3.03E+16 3.53E+16 3.99E+16 4.53E+16 4.42E+16 6.28E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.669  1.64E+19 1.12E+18 4.63E+19 2.54E+15 5.06E+15 7.52E+15 9.88E+15 1.22E+16 1.45E+16 1.67E+16 1.87E+16 2.08E+16 2.27E+16 2.45E+16 2.61E+16 2.77E+16 2.93E+16 3.10E+16 3.29E+16 3.50E+16 3.71E+16 3.93E+16 4.15E+16 4.43E+16 4.78E+16 5.29E+16 6.05E+16 7.05E+16 7.98E+16 9.07E+16 8.85E+16 1.26E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.813  3.31E+19 2.23E+18 9.25E+19 5.06E+15 1.01E+16 1.50E+16 1.97E+16 2.44E+16 2.89E+16 3.33E+16 3.74E+16 4.14E+16 4.54E+16 4.89E+16 5.22E+16 5.53E+16 5.85E+16 6.19E+16 6.58E+16 7.00E+16 7.42E+16 7.85E+16 8.30E+16 8.85E+16 9.55E+16 1.06E+17 1.21E+17 1.41E+17 1.60E+17 1.81E+17 1.77E+17 2.51E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.950  6.66E+19 4.46E+18 1.85E+20 1.01E+16 2.02E+16 3.00E+16 3.94E+16 4.87E+16 5.77E+16 6.64E+16 7.48E+16 8.28E+16 9.06E+16 9.77E+16 1.04E+17 1.10E+17 1.17E+17 1.24E+17 1.31E+17 1.40E+17 1.48E+17 1.57E+17 1.66E+17 1.77E+17 1.91E+17 2.12E+17 2.42E+17 2.82E+17 3.19E+17 3.63E+17 3.54E+17 5.03E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  3.082  1.33E+20 8.91E+18 3.70E+20 2.02E+16 4.02E+16 5.98E+16 7.86E+16 9.72E+16 1.15E+17 1.33E+17 1.49E+17 1.65E+17 1.81E+17 1.95E+17 2.08E+17 2.21E+17 2.33E+17 2.47E+17 2.63E+17 2.79E+17 2.96E+17 3.14E+17 3.32E+17 3.54E+17 3.82E+17 4.23E+17 4.84E+17 5.64E+17 6.38E+17 7.25E+17 7.07E+17 1.00E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  3.207  2.67E+20 1.78E+19 7.39E+20 4.03E+16 8.03E+16 1.19E+17 1.57E+17 1.94E+17 2.30E+17 2.65E+17 2.98E+17 3.30E+17 3.61E+17 3.90E+17 4.16E+17 4.41E+17 4.66E+17 4.94E+17 5.25E+17 5.58E+17 5.92E+17 6.27E+17 6.63E+17 7.07E+17 7.63E+17 8.46E+17 9.67E+17 1.13E+18 1.28E+18 1.45E+18 1.41E+18 2.01E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.329  5.34E+20 3.56E+19 1.48E+21 8.04E+16 1.60E+17 2.38E+17 3.13E+17 3.88E+17 4.60E+17 5.29E+17 5.95E+17 6.59E+17 7.22E+17 7.78E+17 8.31E+17 8.81E+17 9.32E+17 9.87E+17 1.05E+18 1.12E+18 1.18E+18 1.25E+18 1.32E+18 1.41E+18 1.52E+18 1.69E+18 1.93E+18 2.25E+18 2.55E+18 2.90E+18 2.83E+18 4.02E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.445  1.07E+21 7.11E+19 2.95E+21 1.61E+17 3.20E+17 4.76E+17 6.26E+17 7.74E+17 9.17E+17 1.06E+18 1.19E+18 1.32E+18 1.44E+18 1.55E+18 1.66E+18 1.76E+18 1.86E+18 1.97E+18 2.10E+18 2.23E+18 2.36E+18 2.50E+18 2.65E+18 2.83E+18 3.05E+18 3.38E+18 3.86E+18 4.51E+18 5.10E+18 5.80E+18 5.66E+18 8.04E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.558  2.13E+21 1.42E+20 5.91E+21 3.20E+17 6.39E+17 9.50E+17 1.25E+18 1.55E+18 1.83E+18 2.11E+18 2.37E+18 2.63E+18 2.88E+18 3.10E+18 3.32E+18 3.51E+18 3.72E+18 3.94E+18 4.19E+18 4.46E+18 4.73E+18 5.00E+18 5.29E+18 5.65E+18 6.09E+18 6.76E+18 7.73E+18 9.01E+18 1.02E+19 1.16E+19 1.13E+19 1.61E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.668  4.27E+21 2.84E+20 1.18E+22 6.40E+17 1.28E+18 1.90E+18 2.49E+18 3.09E+18 3.66E+18 4.21E+18 4.74E+18 5.25E+18 5.75E+18 6.20E+18 6.62E+18 7.02E+18 7.43E+18 7.87E+18 8.37E+18 8.90E+18 9.45E+18 1.00E+19 1.06E+19 1.13E+19 1.22E+19 1.35E+19 1.54E+19 1.80E+19 2.04E+19 2.32E+19 2.26E+19 3.21E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.774  8.53E+21 5.68E+20 2.36E+22 1.28E+18 2.55E+18 3.79E+18 4.98E+18 6.16E+18 7.30E+18 8.41E+18 9.46E+18 1.05E+19 1.15E+19 1.24E+19 1.32E+19 1.40E+19 1.48E+19 1.57E+19 1.67E+19 1.78E+19 1.89E+19 2.00E+19 2.11E+19 2.26E+19 2.44E+19 2.70E+19 3.09E+19 3.60E+19 4.08E+19 4.63E+19 4.52E+19 6.43E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.878  1.70E+22 1.14E+21 4.72E+22 2.55E+18 5.09E+18 7.56E+18 9.94E+18 1.23E+19 1.46E+19 1.68E+19 1.89E+19 2.09E+19 2.29E+19 2.47E+19 2.64E+19 2.80E+19 2.97E+19 3.14E+19 3.34E+19 3.56E+19 3.77E+19 3.99E+19 4.23E+19 4.51E+19 4.87E+19 5.40E+19 6.18E+19 7.21E+19 8.16E+19 9.27E+19 9.04E+19 1.29E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.978  3.41E+22 2.27E+21 9.44E+22 5.09E+18 1.02E+19 1.51E+19 1.98E+19 2.46E+19 2.91E+19 3.35E+19 3.77E+19 4.18E+19 4.58E+19 4.94E+19 5.28E+19 5.60E+19 5.92E+19 6.28E+19 6.68E+19 7.11E+19 7.54E+19 7.98E+19 8.45E+19 9.02E+19 9.73E+19 1.08E+20 1.23E+20 1.44E+20 1.63E+20 1.85E+20 1.81E+20 2.57E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 57 A=139: Negative-parity Spin-dependent Level Density [MeV-1] for LA139  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.141  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.199  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.244  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.281  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
