                    *********************************************************************************
                    *  Z= 35 A= 80: Positive-Parity Spin-dependent Level Density [MeV-1] for BR 80  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
  10.00  1.173  3.06E+06 3.58E+06 4.24E+07 1.53E+05 1.70E+05 4.31E+05 3.93E+05 4.74E+05 3.99E+05 3.93E+05 3.01E+05 2.51E+05 1.86E+05 1.39E+05 9.99E+04 6.88E+04 4.11E+04 2.49E+04 1.69E+04 1.19E+04 8.49E+03 5.99E+03 4.20E+03 2.90E+03 1.94E+03 1.31E+03 8.49E+02 5.46E+02 3.52E+02 2.25E+02 1.45E+02 7.92E+01 7.26E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  1.230  1.06E+07 1.15E+07 1.37E+08 4.85E+05 5.36E+05 1.37E+06 1.25E+06 1.52E+06 1.29E+06 1.27E+06 9.81E+05 8.28E+05 6.21E+05 4.69E+05 3.05E+05 1.85E+05 1.18E+05 8.06E+04 5.82E+04 4.27E+04 3.15E+04 2.27E+04 1.62E+04 1.15E+04 7.93E+03 5.41E+03 3.64E+03 2.43E+03 1.61E+03 1.07E+03 7.34E+02 4.15E+02 4.99E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  1.285  3.42E+07 3.57E+07 4.23E+08 1.50E+06 1.65E+06 4.23E+06 3.87E+06 4.74E+06 4.03E+06 4.03E+06 3.13E+06 2.67E+06 1.90E+06 1.29E+06 7.64E+05 5.01E+05 3.51E+05 2.61E+05 1.97E+05 1.49E+05 1.12E+05 8.23E+04 6.00E+04 4.31E+04 3.04E+04 2.12E+04 1.46E+04 9.98E+03 6.70E+03 4.60E+03 3.35E+03 1.89E+03 2.57E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.337  1.05E+08 1.06E+08 1.24E+09 4.59E+06 5.03E+06 1.29E+07 1.19E+07 1.46E+07 1.25E+07 1.25E+07 9.54E+06 7.21E+06 4.33E+06 2.99E+06 1.97E+06 1.43E+06 1.07E+06 8.35E+05 6.49E+05 5.02E+05 3.83E+05 2.88E+05 2.13E+05 1.56E+05 1.12E+05 7.97E+04 5.59E+04 3.90E+04 2.67E+04 1.88E+04 1.41E+04 8.18E+03 1.18E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.387  2.99E+08 2.81E+08 3.18E+09 1.38E+07 1.50E+07 3.88E+07 3.56E+07 4.28E+07 3.29E+07 2.89E+07 1.93E+07 1.44E+07 9.15E+06 7.10E+06 5.17E+06 4.10E+06 3.26E+06 2.62E+06 2.09E+06 1.64E+06 1.28E+06 9.74E+05 7.34E+05 5.45E+05 3.99E+05 2.88E+05 2.06E+05 1.46E+05 1.02E+05 7.31E+04 5.60E+04 3.32E+04 4.99E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.436  6.31E+08 3.82E+08 4.27E+09 2.16E+07 2.35E+07 6.24E+07 5.01E+07 5.64E+07 3.75E+07 3.28E+07 2.12E+07 1.76E+07 1.18E+07 9.92E+06 7.61E+06 6.32E+06 5.12E+06 4.19E+06 3.37E+06 2.68E+06 2.09E+06 1.61E+06 1.22E+06 9.13E+05 6.74E+05 4.91E+05 3.53E+05 2.51E+05 1.77E+05 1.29E+05 9.93E+04 5.96E+04 9.10E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.483  1.09E+09 5.29E+08 5.84E+09 3.38E+07 3.68E+07 1.00E+08 7.04E+07 7.43E+07 4.28E+07 3.73E+07 2.33E+07 2.15E+07 1.53E+07 1.39E+07 1.12E+07 9.74E+06 8.06E+06 6.71E+06 5.45E+06 4.37E+06 3.44E+06 2.67E+06 2.04E+06 1.53E+06 1.14E+06 8.36E+05 6.04E+05 4.34E+05 3.08E+05 2.26E+05 1.76E+05 1.07E+05 1.66E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.529  1.72E+09 7.45E+08 8.15E+09 5.31E+07 5.75E+07 1.61E+08 9.91E+07 9.80E+07 4.87E+07 4.25E+07 2.56E+07 2.63E+07 1.97E+07 1.94E+07 1.65E+07 1.50E+07 1.27E+07 1.07E+07 8.82E+06 7.11E+06 5.64E+06 4.41E+06 3.39E+06 2.56E+06 1.93E+06 1.42E+06 1.04E+06 7.49E+05 5.36E+05 3.98E+05 3.12E+05 1.92E+05 3.02E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.573  2.63E+09 1.07E+09 1.16E+10 8.32E+07 9.00E+07 2.60E+08 1.39E+08 1.29E+08 5.56E+07 4.83E+07 2.82E+07 3.21E+07 2.55E+07 2.71E+07 2.42E+07 2.32E+07 1.99E+07 1.72E+07 1.43E+07 1.16E+07 9.26E+06 7.30E+06 5.65E+06 4.29E+06 3.26E+06 2.43E+06 1.77E+06 1.29E+06 9.33E+05 7.01E+05 5.54E+05 3.44E+05 5.51E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.616  3.94E+09 1.55E+09 1.68E+10 1.30E+08 1.41E+08 4.18E+08 1.96E+08 1.70E+08 6.34E+07 5.50E+07 3.10E+07 3.92E+07 3.30E+07 3.78E+07 3.57E+07 3.57E+07 3.14E+07 2.75E+07 2.31E+07 1.89E+07 1.52E+07 1.21E+07 9.41E+06 7.19E+06 5.51E+06 4.13E+06 3.04E+06 2.23E+06 1.62E+06 1.23E+06 9.83E+05 6.17E+05 1.00E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.658  5.86E+09 2.29E+09 2.48E+10 2.05E+08 2.20E+08 6.72E+08 2.76E+08 2.24E+08 7.22E+07 6.25E+07 3.41E+07 4.79E+07 4.26E+07 5.28E+07 5.25E+07 5.50E+07 4.93E+07 4.41E+07 3.73E+07 3.07E+07 2.49E+07 2.00E+07 1.57E+07 1.20E+07 9.31E+06 7.04E+06 5.21E+06 3.85E+06 2.82E+06 2.17E+06 1.74E+06 1.11E+06 1.83E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.759  1.66E+10 6.33E+09 6.95E+10 6.30E+08 6.74E+08 2.21E+09 6.48E+08 4.48E+08 1.00E+08 8.63E+07 4.33E+07 7.89E+07 8.08E+07 1.22E+08 1.38E+08 1.62E+08 1.53E+08 1.43E+08 1.24E+08 1.04E+08 8.61E+07 7.03E+07 5.61E+07 4.38E+07 3.46E+07 2.67E+07 2.00E+07 1.50E+07 1.13E+07 8.90E+06 7.30E+06 4.77E+06 8.22E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.854  4.77E+10 1.85E+10 2.09E+11 1.94E+09 2.06E+09 7.24E+09 1.52E+09 8.93E+08 1.39E+08 1.19E+08 5.49E+07 1.30E+08 1.53E+08 2.81E+08 3.63E+08 4.79E+08 4.75E+08 4.63E+08 4.12E+08 3.53E+08 2.97E+08 2.48E+08 2.01E+08 1.59E+08 1.29E+08 1.01E+08 7.70E+07 5.89E+07 4.51E+07 3.66E+07 3.06E+07 2.06E+07 3.69E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  2.031  5.31E+11 1.75E+11 2.14E+12 1.84E+10 1.93E+10 7.80E+10 8.38E+09 3.55E+09 2.68E+08 2.27E+08 8.84E+07 3.53E+08 5.52E+08 1.50E+09 2.50E+09 4.17E+09 4.58E+09 4.87E+09 4.56E+09 4.05E+09 3.54E+09 3.07E+09 2.57E+09 2.10E+09 1.78E+09 1.45E+09 1.14E+09 9.01E+08 7.19E+08 6.16E+08 5.37E+08 3.82E+08 7.42E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  2.345  9.67E+13 1.91E+13 2.98E+14 1.65E+12 1.70E+12 9.05E+12 2.54E+11 5.63E+10 9.93E+08 8.24E+08 2.29E+08 2.60E+09 7.16E+09 4.25E+10 1.19E+11 3.17E+11 4.25E+11 5.38E+11 5.57E+11 5.33E+11 5.04E+11 4.72E+11 4.23E+11 3.66E+11 3.39E+11 2.98E+11 2.48E+11 2.11E+11 1.83E+11 1.75E+11 1.65E+11 1.32E+11 3.01E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  2.622  2.22E+15 4.05E+14 3.01E+15 1.48E+14 1.49E+14 1.80E+13 7.72E+12 8.91E+11 3.68E+09 2.99E+09 5.93E+08 1.92E+10 9.29E+10 1.21E+12 5.69E+12 2.40E+13 3.94E+13 1.07E+12 1.11E+12 1.06E+12 1.00E+12 9.41E+11 8.43E+11 7.29E+11 6.77E+11 5.94E+11 4.95E+11 4.21E+11 3.66E+11 3.50E+11 3.30E+11 2.63E+11 6.00E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  2.872  1.67E+17 3.25E+16 2.07E+17 1.33E+16 1.31E+16 3.59E+13 2.34E+14 1.41E+13 1.36E+10 1.08E+10 1.54E+09 1.42E+11 1.20E+12 3.43E+13 2.71E+14 1.82E+15 3.66E+15 2.13E+12 2.21E+12 2.12E+12 2.00E+12 1.88E+12 1.68E+12 1.45E+12 1.35E+12 1.18E+12 9.89E+11 8.40E+11 7.30E+11 6.98E+11 6.59E+11 5.25E+11 1.20E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  3.102  1.45E+19 2.84E+18 1.76E+19 1.19E+18 1.15E+18 7.15E+13 7.12E+15 2.24E+14 5.06E+10 3.94E+10 3.99E+09 1.04E+12 1.56E+13 9.72E+14 1.29E+16 1.38E+17 3.40E+17 4.25E+12 4.40E+12 4.22E+12 3.99E+12 3.74E+12 3.35E+12 2.90E+12 2.69E+12 2.36E+12 1.97E+12 1.68E+12 1.46E+12 1.39E+12 1.32E+12 1.05E+12 2.40E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  3.317  1.28E+21 2.51E+20 1.54E+21 1.07E+20 1.01E+20 1.42E+14 2.16E+17 3.54E+15 1.87E+11 1.43E+11 1.03E+10 7.70E+12 2.03E+14 2.76E+16 6.17E+17 1.05E+19 3.15E+19 8.46E+12 8.77E+12 8.40E+12 7.94E+12 7.46E+12 6.68E+12 5.78E+12 5.37E+12 4.72E+12 3.94E+12 3.34E+12 2.91E+12 2.78E+12 2.63E+12 2.10E+12 4.78E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  3.518  1.14E+23 2.23E+22 1.36E+23 9.62E+21 8.89E+21 2.83E+14 6.56E+18 5.61E+16 6.95E+11 5.19E+11 2.68E+10 5.68E+13 2.63E+15 7.83E+17 2.94E+19 7.95E+20 2.93E+21 1.68E+13 1.75E+13 1.67E+13 1.58E+13 1.49E+13 1.33E+13 1.15E+13 1.07E+13 9.41E+12 7.85E+12 6.68E+12 5.80E+12 5.55E+12 5.25E+12 4.18E+12 9.56E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  3.708  1.01E+25 1.98E+24 1.21E+25 8.64E+23 7.80E+23 5.64E+14 1.99E+20 8.88E+17 2.58E+12 1.88E+12 6.93E+10 4.19E+14 3.41E+16 2.22E+19 1.40E+21 6.03E+22 2.72E+23 3.35E+13 3.48E+13 3.34E+13 3.16E+13 2.96E+13 2.66E+13 2.30E+13 2.14E+13 1.88E+13 1.57E+13 1.33E+13 1.16E+13 1.11E+13 1.05E+13 8.36E+12 1.91E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  3.889  9.00E+26 1.76E+26 1.08E+27 7.75E+25 6.86E+25 1.12E+15 6.04E+21 1.41E+19 9.55E+12 6.83E+12 1.80E+11 3.09E+15 4.42E+17 6.30E+20 6.68E+22 4.58E+24 2.52E+25 6.67E+13 6.93E+13 6.65E+13 6.29E+13 5.91E+13 5.30E+13 4.59E+13 4.27E+13 3.75E+13 3.13E+13 2.66E+13 2.31E+13 2.21E+13 2.09E+13 1.67E+13 3.81E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  4.062  8.01E+28 1.57E+28 9.69E+28 6.96E+27 6.02E+27 2.24E+15 1.84E+23 2.23E+20 3.54E+13 2.48E+13 4.66E+11 2.28E+16 5.74E+18 1.79E+22 3.19E+24 3.47E+26 2.34E+27 1.33E+14 1.38E+14 1.32E+14 1.25E+14 1.18E+14 1.06E+14 9.14E+13 8.51E+13 7.47E+13 6.24E+13 5.31E+13 4.62E+13 4.42E+13 4.18E+13 3.33E+13 7.62E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  4.228  7.15E+30 1.40E+30 8.73E+30 6.25E+29 5.29E+29 4.46E+15 5.57E+24 3.53E+21 1.31E+14 9.00E+13 1.21E+12 1.68E+17 7.44E+19 5.07E+23 1.52E+26 2.63E+28 2.17E+29 2.65E+14 2.75E+14 2.64E+14 2.50E+14 2.35E+14 2.11E+14 1.82E+14 1.70E+14 1.49E+14 1.25E+14 1.06E+14 9.21E+13 8.82E+13 8.34E+13 6.66E+13 1.52E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  4.387  6.38E+32 1.25E+32 7.89E+32 5.61E+31 4.65E+31 8.87E+15 1.69E+26 5.59E+22 4.87E+14 3.27E+14 3.13E+12 1.24E+18 9.65E+20 1.44E+25 7.24E+27 2.00E+30 2.01E+31 5.27E+14 5.48E+14 5.26E+14 4.98E+14 4.68E+14 4.20E+14 3.64E+14 3.39E+14 2.97E+14 2.48E+14 2.11E+14 1.84E+14 1.76E+14 1.66E+14 1.33E+14 3.04E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  4.541  5.70E+34 1.11E+34 7.16E+34 5.04E+33 4.08E+33 1.77E+16 5.13E+27 8.85E+23 1.80E+15 1.19E+15 8.10E+12 9.14E+18 1.25E+22 4.08E+26 3.45E+29 1.51E+32 1.87E+33 1.05E+15 1.09E+15 1.05E+15 9.92E+14 9.33E+14 8.37E+14 7.25E+14 6.75E+14 5.94E+14 4.96E+14 4.22E+14 3.67E+14 3.52E+14 3.32E+14 2.66E+14 6.07E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  4.690  5.09E+36 9.96E+35 6.50E+36 4.52E+35 3.58E+35 3.52E+16 1.56E+29 1.40E+25 6.69E+15 4.30E+15 2.10E+13 6.74E+19 1.62E+23 1.16E+28 1.65E+31 1.15E+34 1.74E+35 2.09E+15 2.17E+15 2.09E+15 1.98E+15 1.86E+15 1.67E+15 1.45E+15 1.35E+15 1.18E+15 9.89E+14 8.42E+14 7.33E+14 7.02E+14 6.64E+14 5.30E+14 1.21E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  4.835  4.55E+38 8.91E+37 5.92E+38 4.06E+37 3.15E+37 7.01E+16 4.73E+30 2.22E+26 2.48E+16 1.56E+16 5.44E+13 4.97E+20 2.11E+24 3.29E+29 7.85E+32 8.71E+35 1.61E+37 4.16E+15 4.33E+15 4.16E+15 3.94E+15 3.71E+15 3.33E+15 2.88E+15 2.69E+15 2.36E+15 1.97E+15 1.68E+15 1.46E+15 1.40E+15 1.33E+15 1.06E+15 2.42E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  4.975  4.08E+40 7.97E+39 5.39E+40 3.65E+39 2.77E+39 1.40E+17 1.44E+32 3.51E+27 9.19E+16 5.67E+16 1.41E+14 3.66E+21 2.73E+25 9.33E+30 3.74E+34 6.61E+37 1.49E+39 8.27E+15 8.62E+15 8.28E+15 7.85E+15 7.39E+15 6.64E+15 5.75E+15 5.36E+15 4.71E+15 3.94E+15 3.35E+15 2.92E+15 2.80E+15 2.65E+15 2.11E+15 4.84E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  5.111  3.65E+42 7.14E+41 4.93E+42 3.27E+41 2.43E+41 2.78E+17 4.36E+33 5.57E+28 3.41E+17 2.06E+17 3.65E+14 2.70E+22 3.54E+26 2.65E+32 1.78E+36 5.01E+39 1.39E+41 1.65E+16 1.72E+16 1.65E+16 1.56E+16 1.47E+16 1.32E+16 1.15E+16 1.07E+16 9.40E+15 7.86E+15 6.69E+15 5.83E+15 5.59E+15 5.28E+15 4.22E+15 9.67E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  5.244  3.27E+44 6.40E+43 4.50E+44 2.94E+43 2.13E+43 5.53E+17 1.32E+35 8.81E+29 1.26E+18 7.46E+17 9.47E+14 1.99E+23 4.59E+27 7.51E+33 8.51E+37 3.80E+41 1.29E+43 3.28E+16 3.42E+16 3.29E+16 3.12E+16 2.94E+16 2.64E+16 2.29E+16 2.13E+16 1.88E+16 1.57E+16 1.34E+16 1.16E+16 1.12E+16 1.06E+16 8.44E+15 1.93E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 35 A= 80: Negative-parity Spin-dependent Level Density [MeV-1] for BR 80  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.185  1.00E+00 1.15E+00 2.38E+00 8.47E-01 1.53E-01 0.00E+00 1.53E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.262  1.00E+00 9.61E-01 1.98E+00 7.06E-01 1.28E-01 0.00E+00 1.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.321  1.00E+00 9.33E-01 2.90E+00 6.05E-01 1.09E-01 0.00E+00 1.09E-01 0.00E+00 1.09E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.371  2.00E+00 2.63E+00 1.10E+01 1.26E+00 3.28E-01 1.09E-01 2.19E-01 6.05E-01 1.09E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
