                    *********************************************************************************
                    *  Z= 88 A=227: Positive-Parity Spin-dependent Level Density [MeV-1] for RA227  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   2.25  0.330  1.30E+03 3.31E+03 3.81E+04 1.32E+02 2.79E+02 3.90E+02 4.33E+02 4.61E+02 4.07E+02 3.52E+02 2.87E+02 2.15E+02 1.43E+02 8.74E+01 5.58E+01 3.35E+01 1.72E+01 1.01E+01 3.55E+00 2.03E+00 1.01E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.348  2.38E+03 5.35E+03 6.24E+04 2.09E+02 4.29E+02 6.18E+02 6.84E+02 7.43E+02 6.65E+02 5.72E+02 4.57E+02 3.49E+02 2.44E+02 1.59E+02 1.01E+02 5.58E+01 3.19E+01 1.52E+01 8.62E+00 2.53E+00 2.03E+00 1.01E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.365  4.42E+03 1.09E+04 1.30E+05 4.25E+02 8.62E+02 1.23E+03 1.34E+03 1.49E+03 1.35E+03 1.18E+03 9.77E+02 7.35E+02 5.06E+02 3.45E+02 2.29E+02 1.33E+02 6.94E+01 3.80E+01 2.18E+01 1.01E+01 2.53E+00 2.03E+00 1.01E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.381  7.99E+03 1.76E+04 2.11E+05 6.71E+02 1.33E+03 1.92E+03 2.15E+03 2.39E+03 2.17E+03 1.90E+03 1.58E+03 1.21E+03 8.44E+02 5.51E+02 3.75E+02 2.33E+02 1.26E+02 6.59E+01 3.55E+01 1.52E+01 8.11E+00 2.03E+00 1.52E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.397  1.46E+04 3.54E+04 4.32E+05 1.29E+03 2.58E+03 3.75E+03 4.19E+03 4.67E+03 4.38E+03 3.85E+03 3.24E+03 2.50E+03 1.79E+03 1.21E+03 8.19E+02 4.85E+02 2.90E+02 1.59E+02 8.26E+01 3.80E+01 1.98E+01 8.11E+00 2.03E+00 1.52E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.412  2.61E+04 5.68E+04 6.97E+05 2.09E+03 4.12E+03 5.98E+03 6.67E+03 7.51E+03 6.86E+03 6.11E+03 5.21E+03 4.09E+03 2.93E+03 2.01E+03 1.36E+03 8.30E+02 4.71E+02 2.70E+02 1.44E+02 6.59E+01 3.35E+01 1.32E+01 5.07E+00 2.03E+00 1.01E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.426  4.70E+04 1.10E+05 1.39E+06 3.87E+03 7.64E+03 1.11E+04 1.25E+04 1.42E+04 1.32E+04 1.22E+04 1.04E+04 8.24E+03 6.05E+03 4.19E+03 2.90E+03 1.79E+03 1.04E+03 5.70E+02 3.25E+02 1.59E+02 7.35E+01 3.35E+01 1.32E+01 4.05E+00 2.03E+00 1.01E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.440  8.27E+04 1.75E+05 2.21E+06 6.07E+03 1.20E+04 1.74E+04 1.98E+04 2.25E+04 2.09E+04 1.89E+04 1.62E+04 1.33E+04 9.65E+03 6.80E+03 4.74E+03 2.98E+03 1.74E+03 9.79E+02 5.31E+02 2.71E+02 1.34E+02 5.58E+01 2.53E+01 1.06E+01 2.03E+00 1.52E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.454  1.47E+05 3.38E+05 4.34E+06 1.13E+04 2.23E+04 3.25E+04 3.69E+04 4.22E+04 3.99E+04 3.70E+04 3.20E+04 2.60E+04 1.92E+04 1.40E+04 9.81E+03 6.34E+03 3.77E+03 2.14E+03 1.18E+03 5.74E+02 3.03E+02 1.34E+02 5.58E+01 2.43E+01 8.62E+00 2.03E+00 1.52E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.467  2.55E+05 5.30E+05 6.85E+06 1.77E+04 3.48E+04 5.08E+04 5.79E+04 6.64E+04 6.23E+04 5.70E+04 4.95E+04 4.14E+04 3.07E+04 2.21E+04 1.60E+04 1.02E+04 6.22E+03 3.58E+03 1.99E+03 9.94E+02 4.95E+02 2.34E+02 1.02E+02 4.05E+01 1.42E+01 5.07E+00 2.03E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
