                    *********************************************************************************
                    *  Z= 88 A=227: Positive-Parity Spin-dependent Level Density [MeV-1] for RA227  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
  12.00  0.763  1.07E+12 1.57E+12 2.54E+13 3.49E+10 6.92E+10 1.02E+11 1.21E+11 1.45E+11 1.47E+11 1.48E+11 1.41E+11 1.32E+11 1.13E+11 9.62E+10 8.20E+10 6.54E+10 4.95E+10 3.70E+10 2.76E+10 1.93E+10 1.35E+10 9.12E+09 5.99E+09 3.82E+09 2.38E+09 1.41E+09 8.27E+08 4.83E+08 2.72E+08 1.36E+08 7.39E+07 3.58E+07 1.10E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.794  4.44E+12 5.16E+12 1.07E+14 5.36E+10 1.08E+11 1.61E+11 1.96E+11 2.62E+11 2.96E+11 3.22E+11 3.66E+11 3.99E+11 4.68E+11 4.91E+11 4.73E+11 4.05E+11 3.21E+11 2.44E+11 1.86E+11 1.32E+11 9.50E+10 6.59E+10 4.46E+10 2.95E+10 1.91E+10 1.18E+10 7.28E+09 4.47E+09 2.66E+09 1.41E+09 8.20E+08 4.24E+08 1.42E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.824  1.01E+13 6.15E+12 1.84E+14 2.41E+10 4.85E+10 7.02E+10 5.85E+10 8.53E+10 8.47E+10 8.36E+10 9.59E+10 1.00E+11 2.32E+11 3.21E+11 3.67E+11 4.49E+11 5.03E+11 6.11E+11 6.48E+11 5.81E+11 4.93E+11 3.97E+11 3.01E+11 2.13E+11 1.43E+11 9.19E+10 5.88E+10 3.77E+10 2.35E+10 1.31E+10 8.01E+09 4.37E+09 1.56E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.853  1.57E+13 5.10E+12 1.86E+14 5.73E+09 9.50E+09 1.20E+10 1.73E+10 1.62E+10 2.36E+10 3.20E+10 5.39E+10 3.38E+10 5.74E+10 9.70E+10 9.18E+10 6.33E+10 8.74E+10 2.61E+11 4.52E+11 6.45E+11 6.74E+11 6.14E+11 5.29E+11 4.10E+11 3.22E+11 2.23E+11 1.44E+11 9.41E+10 5.96E+10 3.38E+10 2.10E+10 1.16E+10 4.30E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  0.881  2.18E+13 7.09E+12 2.84E+14 1.36E+09 1.86E+09 2.05E+09 5.12E+09 3.07E+09 6.56E+09 1.23E+10 3.03E+10 1.14E+10 1.42E+10 2.93E+10 2.30E+10 8.91E+09 1.52E+10 1.12E+11 3.16E+11 7.16E+11 9.23E+11 9.50E+11 9.29E+11 7.90E+11 7.25E+11 5.41E+11 3.53E+11 2.35E+11 1.51E+11 8.73E+10 5.52E+10 3.11E+10 1.19E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  0.908  3.15E+13 1.23E+13 5.17E+14 3.24E+08 3.64E+08 3.51E+08 1.51E+09 5.83E+08 1.83E+09 4.69E+09 1.70E+10 3.83E+09 3.52E+09 8.84E+09 5.76E+09 1.25E+09 2.64E+09 4.78E+10 2.21E+11 7.94E+11 1.26E+12 1.47E+12 1.63E+12 1.52E+12 1.63E+12 1.31E+12 8.66E+11 5.85E+11 3.84E+11 2.25E+11 1.45E+11 8.28E+10 3.27E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  0.934  4.94E+13 2.36E+13 1.03E+15 7.71E+07 7.13E+07 6.00E+07 4.48E+08 1.11E+08 5.08E+08 1.80E+09 9.55E+09 1.29E+09 8.73E+08 2.67E+09 1.44E+09 1.77E+08 4.59E+08 2.04E+10 1.54E+11 8.82E+11 1.73E+12 2.27E+12 2.87E+12 2.93E+12 3.67E+12 3.18E+12 2.12E+12 1.46E+12 9.75E+11 5.81E+11 3.80E+11 2.21E+11 9.03E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  0.960  8.53E+13 4.83E+13 2.16E+15 1.83E+07 1.40E+07 1.03E+07 1.32E+08 2.10E+07 1.41E+08 6.88E+08 5.37E+09 4.34E+08 2.16E+08 8.05E+08 3.61E+08 2.49E+07 7.97E+07 8.75E+09 1.08E+11 9.79E+11 2.36E+12 3.52E+12 5.04E+12 5.64E+12 8.25E+12 7.72E+12 5.21E+12 3.64E+12 2.48E+12 1.50E+12 9.98E+11 5.89E+11 2.49E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  0.984  1.61E+14 1.04E+14 4.73E+15 4.36E+06 2.74E+06 1.75E+06 3.92E+07 3.98E+06 3.94E+07 2.64E+08 3.02E+09 1.46E+08 5.36E+07 2.43E+08 9.03E+07 3.50E+06 1.39E+07 3.74E+09 7.51E+10 1.09E+12 3.23E+12 5.44E+12 8.86E+12 1.09E+13 1.86E+13 1.87E+13 1.28E+13 9.08E+12 6.29E+12 3.87E+12 2.62E+12 1.57E+12 6.87E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.044  1.29E+15 8.01E+14 3.78E+16 1.20E+05 4.64E+04 2.12E+04 1.87E+06 6.25E+04 1.61E+06 2.39E+07 7.14E+08 9.60E+06 1.64E+06 1.22E+07 2.83E+06 2.61E+04 1.74E+05 4.48E+08 3.06E+10 1.41E+12 7.07E+12 1.62E+13 3.63E+13 5.58E+13 1.41E+14 1.72E+14 1.20E+14 8.92E+13 6.45E+13 4.14E+13 2.93E+13 1.82E+13 8.69E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.101  1.09E+16 6.90E+15 3.33E+17 3.32E+03 7.88E+02 2.56E+02 8.88E+04 9.81E+02 6.58E+04 2.17E+06 1.69E+08 6.31E+05 5.00E+04 6.09E+05 8.88E+04 1.94E+02 2.19E+03 5.36E+07 1.25E+10 1.83E+12 1.55E+13 4.82E+13 1.48E+14 2.87E+14 1.07E+15 1.57E+15 1.13E+15 8.77E+14 6.63E+14 4.44E+14 3.27E+14 2.12E+14 1.10E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.206  1.52E+18 5.96E+17 2.96E+19 2.52E+00 0.00E+00 0.00E+00 2.01E+02 0.00E+00 1.10E+02 1.79E+04 9.45E+06 2.73E+03 4.66E+01 1.53E+03 8.73E+01 0.00E+00 3.48E-01 7.67E+05 2.07E+09 3.09E+12 7.42E+13 4.27E+14 2.49E+15 7.59E+15 6.16E+16 1.32E+17 9.99E+16 8.47E+16 6.98E+16 5.08E+16 4.07E+16 2.85E+16 1.76E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.392  1.36E+22 2.71E+21 1.29E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.21E+00 2.96E+04 5.09E-02 0.00E+00 9.58E-03 0.00E+00 0.00E+00 0.00E+00 1.57E+02 5.72E+07 8.78E+12 1.70E+15 3.35E+16 6.98E+17 5.31E+18 2.04E+20 9.33E+20 7.82E+20 7.89E+20 2.08E+17 1.52E+17 1.22E+17 8.52E+16 5.25E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.557  5.43E+22 5.43E+21 2.58E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.28E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.58E+06 2.50E+13 3.91E+16 2.63E+18 1.39E+18 1.06E+19 4.08E+20 1.87E+21 1.56E+21 1.58E+21 6.21E+17 4.52E+17 3.63E+17 2.54E+17 1.57E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.705  1.37E+23 1.11E+22 5.25E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.35E+04 7.10E+13 8.97E+17 2.06E+20 2.78E+18 2.12E+19 8.16E+20 3.73E+21 3.13E+21 3.16E+21 1.85E+18 1.35E+18 1.08E+18 7.59E+17 4.69E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  1.842  3.82E+23 3.79E+22 1.65E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.20E+03 2.02E+14 2.06E+19 1.62E+22 5.56E+18 4.24E+19 1.63E+21 7.46E+21 6.25E+21 6.31E+21 5.52E+18 4.02E+18 3.23E+18 2.27E+18 1.40E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  1.969  7.13E+24 1.31E+24 5.03E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.31E+01 5.74E+14 4.73E+20 1.27E+24 1.11E+19 8.47E+19 3.26E+21 1.49E+22 1.25E+22 1.26E+22 1.64E+19 1.20E+19 9.63E+18 6.77E+18 4.18E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.088  5.12E+26 9.96E+25 3.78E+27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.63E+15 1.09E+22 9.95E+25 2.21E+19 1.69E+20 6.53E+21 2.98E+22 2.50E+22 2.53E+22 4.90E+19 3.58E+19 2.87E+19 2.02E+19 1.25E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.201  4.00E+28 7.80E+27 2.97E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.64E+15 2.49E+23 7.80E+27 4.42E+19 3.38E+20 1.31E+22 5.97E+22 5.00E+22 5.05E+22 1.46E+20 1.07E+20 8.58E+19 6.03E+19 3.73E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.309  3.14E+30 6.12E+29 2.33E+31 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.32E+16 5.72E+24 6.12E+29 8.83E+19 6.76E+20 2.61E+22 1.19E+23 1.00E+23 1.01E+23 4.36E+20 3.18E+20 2.56E+20 1.80E+20 1.12E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.411  2.46E+32 4.80E+31 1.83E+33 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.75E+16 1.31E+26 4.80E+31 1.76E+20 1.35E+21 5.22E+22 2.39E+23 2.00E+23 2.02E+23 1.30E+21 9.49E+20 7.64E+20 5.37E+20 3.33E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.510  1.93E+34 3.77E+33 1.43E+35 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.07E+17 3.01E+27 3.77E+33 3.52E+20 2.70E+21 1.04E+23 4.77E+23 4.00E+23 4.04E+23 3.87E+21 2.83E+21 2.28E+21 1.60E+21 9.95E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  2.605  1.52E+36 2.96E+35 1.12E+37 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.03E+17 6.92E+28 2.96E+35 7.02E+20 5.40E+21 2.09E+23 9.54E+23 8.00E+23 8.08E+23 1.15E+22 8.44E+21 6.80E+21 4.79E+21 2.97E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  2.696  1.19E+38 2.32E+37 8.81E+38 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.62E+17 1.59E+30 2.32E+37 1.40E+21 1.08E+22 4.17E+23 1.91E+24 1.60E+24 1.62E+24 3.44E+22 2.52E+22 2.03E+22 1.43E+22 8.88E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  2.784  9.33E+39 1.82E+39 6.91E+40 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.45E+18 3.65E+31 1.82E+39 2.80E+21 2.16E+22 8.35E+23 3.82E+24 3.20E+24 3.23E+24 1.03E+23 7.51E+22 6.06E+22 4.27E+22 2.65E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  2.870  7.32E+41 1.43E+41 5.42E+42 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.96E+18 8.37E+32 1.43E+41 5.59E+21 4.31E+22 1.67E+24 7.63E+24 6.40E+24 6.46E+24 3.06E+23 2.24E+23 1.81E+23 1.27E+23 7.93E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  2.953  5.74E+43 1.12E+43 4.26E+44 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.98E+19 1.92E+34 1.12E+43 1.12E+22 8.61E+22 3.34E+24 1.53E+25 1.28E+25 1.29E+25 9.11E+23 6.68E+23 5.39E+23 3.80E+23 2.37E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.034  4.51E+45 8.79E+44 3.34E+46 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.63E+19 4.41E+35 8.79E+44 2.23E+22 1.72E+23 6.67E+24 3.05E+25 2.56E+25 2.58E+25 2.72E+24 1.99E+24 1.61E+24 1.14E+24 7.08E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.113  3.54E+47 6.89E+46 2.62E+48 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.60E+20 1.01E+37 6.89E+46 4.45E+22 3.44E+23 1.33E+25 6.11E+25 5.12E+25 5.17E+25 8.10E+24 5.94E+24 4.80E+24 3.39E+24 2.11E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 88 A=227: Negative-parity Spin-dependent Level Density [MeV-1] for RA227  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.110  3.00E+00 1.75E+01 1.83E+02 1.00E+00 1.71E+00 3.42E+00 2.13E+00 2.13E+00 1.42E+00 1.42E+00 1.42E+00 1.42E+00 7.10E-01 7.10E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.156  8.00E+00 2.78E+01 2.72E+02 1.45E+00 3.44E+00 5.50E+00 4.38E+00 3.55E+00 2.96E+00 1.77E+00 1.18E+00 1.18E+00 1.18E+00 5.91E-01 5.91E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.191  2.10E+01 7.26E+01 6.84E+02 4.19E+00 8.32E+00 1.37E+01 1.23E+01 1.02E+01 9.57E+00 5.78E+00 3.55E+00 1.52E+00 1.01E+00 1.01E+00 1.01E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.220  4.60E+01 1.32E+02 1.30E+03 6.73E+00 1.50E+01 2.17E+01 1.91E+01 2.00E+01 1.64E+01 1.31E+01 9.12E+00 4.05E+00 2.53E+00 1.52E+00 1.01E+00 1.01E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.246  9.70E+01 2.74E+02 2.93E+03 1.03E+01 2.48E+01 3.80E+01 4.23E+01 4.06E+01 3.35E+01 3.01E+01 2.20E+01 1.52E+01 9.63E+00 4.05E+00 1.52E+00 1.01E+00 1.01E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
