                    *********************************************************************************
                    *  Z= 60 A=144: Positive-Parity Spin-dependent Level Density [MeV-1] for ND144  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   8.50  0.809  1.35E+05 2.08E+05 3.88E+06 3.72E+03 6.59E+03 9.73E+03 1.25E+04 1.45E+04 1.53E+04 1.67E+04 1.70E+04 1.67E+04 1.60E+04 1.49E+04 1.34E+04 1.19E+04 1.01E+04 8.39E+03 6.64E+03 5.00E+03 3.49E+03 2.35E+03 1.46E+03 8.56E+02 4.61E+02 2.61E+02 1.32E+02 5.71E+01 2.86E+01 1.84E+01 4.29E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.832  2.98E+05 4.45E+05 8.38E+06 7.37E+03 1.38E+04 2.01E+04 2.59E+04 3.03E+04 3.32E+04 3.53E+04 3.62E+04 3.56E+04 3.45E+04 3.22E+04 2.93E+04 2.57E+04 2.15E+04 1.76E+04 1.37E+04 1.03E+04 7.45E+03 5.31E+03 3.66E+03 2.42E+03 1.57E+03 9.61E+02 5.00E+02 2.59E+02 1.14E+02 4.62E+01 4.75E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.855  6.39E+05 9.18E+05 1.76E+07 1.40E+04 2.74E+04 3.98E+04 5.22E+04 6.14E+04 6.80E+04 7.22E+04 7.42E+04 7.31E+04 7.03E+04 6.59E+04 5.99E+04 5.24E+04 4.43E+04 3.62E+04 2.88E+04 2.24E+04 1.70E+04 1.29E+04 9.27E+03 6.52E+03 4.40E+03 2.70E+03 1.54E+03 7.86E+02 3.43E+02 1.35E+02 7.75E+01 1.64E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.877  1.34E+06 1.88E+06 3.68E+07 2.77E+04 5.44E+04 7.97E+04 1.04E+05 1.23E+05 1.36E+05 1.45E+05 1.49E+05 1.47E+05 1.41E+05 1.32E+05 1.20E+05 1.07E+05 9.18E+04 7.72E+04 6.26E+04 5.00E+04 3.92E+04 3.00E+04 2.24E+04 1.60E+04 1.08E+04 6.80E+03 3.99E+03 2.16E+03 1.03E+03 4.74E+02 1.99E+02 8.50E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.920  6.38E+06 8.21E+06 1.66E+08 1.20E+05 2.30E+05 3.35E+05 4.28E+05 5.02E+05 5.58E+05 5.97E+05 6.14E+05 6.14E+05 5.97E+05 5.67E+05 5.25E+05 4.74E+05 4.19E+05 3.61E+05 3.04E+05 2.49E+05 1.98E+05 1.54E+05 1.16E+05 8.36E+04 5.89E+04 3.97E+04 2.60E+04 1.66E+04 9.93E+03 5.87E+03 3.20E+03 3.02E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.961  2.87E+07 3.64E+07 7.63E+08 4.94E+05 9.65E+05 1.40E+06 1.78E+06 2.11E+06 2.35E+06 2.53E+06 2.63E+06 2.65E+06 2.59E+06 2.48E+06 2.32E+06 2.12E+06 1.89E+06 1.65E+06 1.41E+06 1.17E+06 9.55E+05 7.60E+05 5.91E+05 4.51E+05 3.37E+05 2.46E+05 1.74E+05 1.19E+05 7.77E+04 4.83E+04 2.78E+04 2.84E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.000  1.21E+08 1.48E+08 3.19E+09 1.90E+06 3.72E+06 5.41E+06 6.93E+06 8.21E+06 9.21E+06 9.94E+06 1.04E+07 1.05E+07 1.03E+07 9.95E+06 9.36E+06 8.61E+06 7.76E+06 6.86E+06 5.94E+06 5.05E+06 4.20E+06 3.42E+06 2.73E+06 2.13E+06 1.62E+06 1.20E+06 8.60E+05 5.99E+05 4.04E+05 2.65E+05 1.64E+05 2.18E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.038  4.96E+08 6.02E+08 1.34E+10 7.30E+06 1.43E+07 2.09E+07 2.68E+07 3.18E+07 3.58E+07 3.87E+07 4.05E+07 4.12E+07 4.09E+07 3.97E+07 3.77E+07 3.51E+07 3.20E+07 2.87E+07 2.52E+07 2.17E+07 1.84E+07 1.52E+07 1.24E+07 9.85E+06 7.68E+06 5.86E+06 4.38E+06 3.20E+06 2.29E+06 1.63E+06 1.09E+06 1.78E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.074  1.35E+09 1.10E+09 2.49E+10 1.30E+07 2.56E+07 3.74E+07 4.79E+07 5.69E+07 6.41E+07 6.94E+07 7.28E+07 7.43E+07 7.40E+07 7.21E+07 6.87E+07 6.42E+07 5.89E+07 5.30E+07 4.68E+07 4.06E+07 3.46E+07 2.89E+07 2.37E+07 1.91E+07 1.50E+07 1.16E+07 8.84E+06 6.58E+06 4.80E+06 3.48E+06 2.35E+06 3.97E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.109  2.91E+09 2.02E+09 4.64E+10 2.32E+07 4.58E+07 6.68E+07 8.56E+07 1.02E+08 1.15E+08 1.25E+08 1.31E+08 1.34E+08 1.34E+08 1.31E+08 1.25E+08 1.18E+08 1.09E+08 9.81E+07 8.72E+07 7.60E+07 6.52E+07 5.49E+07 4.54E+07 3.69E+07 2.95E+07 2.31E+07 1.78E+07 1.35E+07 1.00E+07 7.41E+06 5.08E+06 8.86E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.144  5.78E+09 3.72E+09 8.65E+10 4.15E+07 8.19E+07 1.19E+08 1.53E+08 1.82E+08 2.06E+08 2.24E+08 2.36E+08 2.42E+08 2.43E+08 2.38E+08 2.29E+08 2.16E+08 2.00E+08 1.82E+08 1.62E+08 1.42E+08 1.23E+08 1.04E+08 8.69E+07 7.14E+07 5.77E+07 4.59E+07 3.60E+07 2.77E+07 2.10E+07 1.58E+07 1.10E+07 1.98E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.177  1.11E+10 6.83E+09 1.62E+11 7.40E+07 1.46E+08 2.13E+08 2.74E+08 3.26E+08 3.69E+08 4.01E+08 4.24E+08 4.36E+08 4.39E+08 4.32E+08 4.17E+08 3.95E+08 3.68E+08 3.36E+08 3.02E+08 2.66E+08 2.31E+08 1.98E+08 1.67E+08 1.38E+08 1.13E+08 9.12E+07 7.26E+07 5.69E+07 4.38E+07 3.36E+07 2.37E+07 4.41E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.209  2.08E+10 1.26E+10 3.03E+11 1.32E+08 2.62E+08 3.81E+08 4.89E+08 5.83E+08 6.60E+08 7.20E+08 7.63E+08 7.87E+08 7.95E+08 7.85E+08 7.61E+08 7.24E+08 6.78E+08 6.22E+08 5.62E+08 4.99E+08 4.36E+08 3.75E+08 3.19E+08 2.67E+08 2.21E+08 1.81E+08 1.47E+08 1.17E+08 9.15E+07 7.17E+07 5.13E+07 9.84E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.240  3.86E+10 2.32E+10 5.68E+11 2.36E+08 4.68E+08 6.81E+08 8.75E+08 1.04E+09 1.18E+09 1.29E+09 1.37E+09 1.42E+09 1.44E+09 1.43E+09 1.39E+09 1.33E+09 1.25E+09 1.15E+09 1.04E+09 9.33E+08 8.22E+08 7.12E+08 6.11E+08 5.17E+08 4.34E+08 3.60E+08 2.96E+08 2.40E+08 1.91E+08 1.53E+08 1.11E+08 2.19E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.316  2.02E+11 1.08E+11 2.77E+12 1.00E+09 2.00E+09 2.91E+09 3.74E+09 4.47E+09 5.08E+09 5.58E+09 5.96E+09 6.20E+09 6.34E+09 6.34E+09 6.24E+09 6.03E+09 5.74E+09 5.36E+09 4.94E+09 4.47E+09 4.01E+09 3.54E+09 3.10E+09 2.69E+09 2.33E+09 2.00E+09 1.71E+09 1.45E+09 1.21E+09 1.01E+09 7.61E+08 1.63E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.387  9.72E+11 5.08E+11 1.38E+13 4.27E+09 8.53E+09 1.24E+10 1.60E+10 1.91E+10 2.19E+10 2.41E+10 2.59E+10 2.71E+10 2.80E+10 2.82E+10 2.81E+10 2.74E+10 2.64E+10 2.50E+10 2.33E+10 2.14E+10 1.95E+10 1.76E+10 1.57E+10 1.40E+10 1.25E+10 1.11E+10 9.91E+09 8.74E+09 7.63E+09 6.72E+09 5.23E+09 1.21E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.519  3.19E+13 1.19E+13 3.66E+14 7.73E+10 1.56E+11 2.26E+11 2.92E+11 3.51E+11 4.04E+11 4.49E+11 4.88E+11 5.18E+11 5.44E+11 5.58E+11 5.67E+11 5.66E+11 5.59E+11 5.42E+11 5.20E+11 4.93E+11 4.64E+11 4.33E+11 4.06E+11 3.80E+11 3.61E+11 3.44E+11 3.32E+11 3.19E+11 3.04E+11 2.95E+11 2.47E+11 6.71E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.754  4.56E+16 9.10E+15 3.80E+17 2.53E+13 5.17E+13 7.50E+13 9.76E+13 1.18E+14 1.38E+14 1.56E+14 1.73E+14 1.89E+14 2.06E+14 2.18E+14 2.32E+14 2.42E+14 2.51E+14 2.55E+14 2.59E+14 2.60E+14 2.62E+14 2.63E+14 2.69E+14 2.80E+14 3.00E+14 3.28E+14 3.72E+14 4.24E+14 4.84E+14 5.71E+14 5.48E+14 2.05E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.961  1.82E+17 1.82E+16 7.60E+17 5.06E+13 1.03E+14 1.50E+14 1.95E+14 2.36E+14 2.75E+14 3.11E+14 3.46E+14 3.78E+14 4.11E+14 4.36E+14 4.63E+14 4.83E+14 5.01E+14 5.10E+14 5.17E+14 5.19E+14 5.23E+14 5.25E+14 5.38E+14 5.59E+14 5.99E+14 6.56E+14 7.44E+14 8.47E+14 9.68E+14 1.14E+15 1.10E+15 4.10E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  2.148  4.55E+17 3.63E+16 1.52E+18 1.01E+14 2.06E+14 2.99E+14 3.89E+14 4.72E+14 5.49E+14 6.21E+14 6.91E+14 7.54E+14 8.20E+14 8.71E+14 9.24E+14 9.65E+14 1.00E+15 1.02E+15 1.03E+15 1.04E+15 1.05E+15 1.05E+15 1.08E+15 1.12E+15 1.20E+15 1.31E+15 1.49E+15 1.69E+15 1.94E+15 2.28E+15 2.19E+15 8.21E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.320  1.00E+18 7.26E+16 3.04E+18 2.02E+14 4.12E+14 5.97E+14 7.77E+14 9.42E+14 1.10E+15 1.24E+15 1.38E+15 1.51E+15 1.64E+15 1.74E+15 1.85E+15 1.93E+15 2.00E+15 2.03E+15 2.06E+15 2.07E+15 2.09E+15 2.10E+15 2.15E+15 2.23E+15 2.39E+15 2.62E+15 2.97E+15 3.39E+15 3.87E+15 4.56E+15 4.38E+15 1.64E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.481  2.09E+18 1.45E+17 6.07E+18 4.03E+14 8.23E+14 1.19E+15 1.55E+15 1.88E+15 2.19E+15 2.48E+15 2.76E+15 3.01E+15 3.27E+15 3.48E+15 3.69E+15 3.85E+15 3.99E+15 4.07E+15 4.12E+15 4.14E+15 4.17E+15 4.19E+15 4.30E+15 4.46E+15 4.79E+15 5.24E+15 5.95E+15 6.77E+15 7.74E+15 9.12E+15 8.76E+15 3.28E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.631  4.27E+18 2.90E+17 1.21E+19 8.04E+14 1.64E+15 2.38E+15 3.10E+15 3.76E+15 4.37E+15 4.94E+15 5.50E+15 6.01E+15 6.54E+15 6.94E+15 7.37E+15 7.69E+15 7.98E+15 8.12E+15 8.24E+15 8.28E+15 8.34E+15 8.38E+15 8.59E+15 8.92E+15 9.57E+15 1.05E+16 1.19E+16 1.35E+16 1.55E+16 1.82E+16 1.75E+16 6.56E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.774  8.62E+18 5.80E+17 2.43E+19 1.61E+15 3.28E+15 4.76E+15 6.19E+15 7.50E+15 8.73E+15 9.88E+15 1.10E+16 1.20E+16 1.31E+16 1.39E+16 1.47E+16 1.54E+16 1.59E+16 1.62E+16 1.65E+16 1.65E+16 1.67E+16 1.67E+16 1.72E+16 1.78E+16 1.91E+16 2.09E+16 2.38E+16 2.71E+16 3.09E+16 3.65E+16 3.50E+16 1.31E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.909  1.73E+19 1.16E+18 4.85E+19 3.21E+15 6.55E+15 9.50E+15 1.24E+16 1.50E+16 1.74E+16 1.97E+16 2.19E+16 2.40E+16 2.61E+16 2.77E+16 2.94E+16 3.07E+16 3.18E+16 3.24E+16 3.29E+16 3.31E+16 3.33E+16 3.35E+16 3.43E+16 3.56E+16 3.82E+16 4.19E+16 4.75E+16 5.41E+16 6.19E+16 7.29E+16 7.00E+16 2.62E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  3.038  3.47E+19 2.32E+18 9.70E+19 6.40E+15 1.31E+16 1.90E+16 2.47E+16 2.99E+16 3.48E+16 3.94E+16 4.38E+16 4.79E+16 5.21E+16 5.53E+16 5.87E+16 6.13E+16 6.36E+16 6.48E+16 6.57E+16 6.60E+16 6.65E+16 6.69E+16 6.85E+16 7.12E+16 7.64E+16 8.37E+16 9.50E+16 1.08E+17 1.24E+17 1.46E+17 1.40E+17 5.25E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  3.162  6.94E+19 4.63E+18 1.94E+20 1.28E+16 2.61E+16 3.79E+16 4.93E+16 5.97E+16 6.95E+16 7.87E+16 8.76E+16 9.57E+16 1.04E+17 1.11E+17 1.17E+17 1.22E+17 1.27E+17 1.29E+17 1.31E+17 1.32E+17 1.33E+17 1.34E+17 1.37E+17 1.42E+17 1.53E+17 1.67E+17 1.90E+17 2.16E+17 2.47E+17 2.91E+17 2.80E+17 1.05E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.282  1.39E+20 9.26E+18 3.87E+20 2.55E+16 5.22E+16 7.56E+16 9.85E+16 1.19E+17 1.39E+17 1.57E+17 1.75E+17 1.91E+17 2.08E+17 2.21E+17 2.34E+17 2.45E+17 2.54E+17 2.59E+17 2.62E+17 2.64E+17 2.66E+17 2.67E+17 2.74E+17 2.85E+17 3.05E+17 3.34E+17 3.80E+17 4.32E+17 4.94E+17 5.83E+17 5.60E+17 2.10E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.397  2.78E+20 1.85E+19 7.75E+20 5.10E+16 1.04E+17 1.51E+17 1.97E+17 2.38E+17 2.77E+17 3.14E+17 3.49E+17 3.82E+17 4.15E+17 4.41E+17 4.68E+17 4.89E+17 5.07E+17 5.17E+17 5.24E+17 5.27E+17 5.31E+17 5.34E+17 5.47E+17 5.69E+17 6.10E+17 6.69E+17 7.59E+17 8.64E+17 9.88E+17 1.17E+18 1.12E+18 4.20E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.508  5.55E+20 3.70E+19 1.55E+21 1.02E+17 2.08E+17 3.02E+17 3.93E+17 4.76E+17 5.54E+17 6.27E+17 6.97E+17 7.62E+17 8.29E+17 8.81E+17 9.35E+17 9.77E+17 1.01E+18 1.03E+18 1.05E+18 1.05E+18 1.06E+18 1.07E+18 1.09E+18 1.14E+18 1.22E+18 1.34E+18 1.52E+18 1.73E+18 1.98E+18 2.33E+18 2.24E+18 8.39E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.616  1.11E+21 7.39E+19 3.10E+21 2.03E+17 4.16E+17 6.02E+17 7.84E+17 9.50E+17 1.11E+18 1.25E+18 1.39E+18 1.52E+18 1.66E+18 1.76E+18 1.87E+18 1.95E+18 2.02E+18 2.06E+18 2.09E+18 2.10E+18 2.12E+18 2.13E+18 2.18E+18 2.27E+18 2.44E+18 2.67E+18 3.03E+18 3.45E+18 3.95E+18 4.66E+18 4.48E+18 1.68E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.721  2.22E+21 1.48E+20 6.19E+21 4.06E+17 8.30E+17 1.20E+18 1.57E+18 1.90E+18 2.21E+18 2.50E+18 2.78E+18 3.04E+18 3.31E+18 3.51E+18 3.73E+18 3.90E+18 4.04E+18 4.12E+18 4.18E+18 4.20E+18 4.24E+18 4.26E+18 4.37E+18 4.54E+18 4.87E+18 5.34E+18 6.06E+18 6.90E+18 7.90E+18 9.31E+18 8.95E+18 3.35E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.823  4.43E+21 2.95E+20 1.24E+22 8.11E+17 1.66E+18 2.40E+18 3.13E+18 3.79E+18 4.41E+18 4.99E+18 5.56E+18 6.07E+18 6.61E+18 7.02E+18 7.45E+18 7.78E+18 8.08E+18 8.23E+18 8.35E+18 8.40E+18 8.46E+18 8.51E+18 8.73E+18 9.08E+18 9.74E+18 1.07E+19 1.21E+19 1.38E+19 1.58E+19 1.86E+19 1.79E+19 6.71E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.922  8.86E+21 5.90E+20 2.47E+22 1.62E+18 3.31E+18 4.80E+18 6.24E+18 7.57E+18 8.81E+18 9.97E+18 1.11E+19 1.21E+19 1.32E+19 1.40E+19 1.49E+19 1.56E+19 1.61E+19 1.64E+19 1.67E+19 1.68E+19 1.69E+19 1.70E+19 1.74E+19 1.81E+19 1.95E+19 2.13E+19 2.42E+19 2.76E+19 3.16E+19 3.72E+19 3.58E+19 1.34E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 60 A=143: Negative-parity Spin-dependent Level Density [MeV-1] for ND143  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
