                    *********************************************************************************
                    *  Z= 21 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for SC 46  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   9.50  1.507  2.97E+04 2.15E+04 2.97E+05 6.97E+02 7.21E+02 1.82E+03 1.72E+03 2.48E+03 2.21E+03 2.47E+03 2.07E+03 1.83E+03 1.41E+03 1.21E+03 9.11E+02 6.51E+02 4.31E+02 2.51E+02 1.66E+02 1.21E+02 9.66E+01 7.05E+01 6.02E+01 3.84E+01 3.37E+01 1.84E+01 1.25E+01 1.25E+01 6.63E+00 5.18E+00 1.32E+00 6.19E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  1.546  4.29E+04 3.13E+04 4.35E+05 1.02E+03 1.11E+03 2.71E+03 2.50E+03 3.39E+03 3.09E+03 3.41E+03 2.94E+03 2.80E+03 2.13E+03 1.80E+03 1.40E+03 9.82E+02 6.02E+02 3.90E+02 2.67E+02 1.90E+02 1.55E+02 1.18E+02 9.10E+01 6.31E+01 4.83E+01 2.52E+01 2.28E+01 1.41E+01 1.28E+01 5.24E+00 3.18E+00 8.44E-01 1.24E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  1.622  9.22E+04 6.73E+04 9.18E+05 2.18E+03 2.37E+03 6.00E+03 5.71E+03 7.87E+03 6.89E+03 7.20E+03 6.09E+03 5.84E+03 4.75E+03 4.03E+03 2.70E+03 1.75E+03 1.13E+03 7.59E+02 5.09E+02 3.93E+02 2.94E+02 2.31E+02 1.63E+02 1.28E+02 9.65E+01 6.87E+01 5.20E+01 3.79E+01 2.97E+01 1.81E+01 1.39E+01 7.65E+00 9.90E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  1.694  1.88E+05 1.25E+05 1.72E+06 3.79E+03 4.06E+03 1.06E+04 1.01E+04 1.45E+04 1.30E+04 1.45E+04 1.23E+04 1.14E+04 8.59E+03 6.67E+03 4.22E+03 2.77E+03 1.88E+03 1.39E+03 1.01E+03 8.14E+02 6.39E+02 5.38E+02 4.21E+02 3.54E+02 2.59E+02 2.15E+02 1.62E+02 1.19E+02 9.10E+01 5.75E+01 4.70E+01 2.41E+01 3.34E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.763  3.69E+05 2.37E+05 3.20E+06 8.08E+03 8.58E+03 2.22E+04 2.08E+04 2.86E+04 2.55E+04 2.79E+04 2.32E+04 1.98E+04 1.34E+04 1.01E+04 6.71E+03 5.09E+03 3.62E+03 2.83E+03 2.21E+03 1.77E+03 1.46E+03 1.17E+03 9.53E+02 7.64E+02 5.92E+02 4.57E+02 3.36E+02 2.62E+02 1.78E+02 1.40E+02 9.47E+01 7.67E+01 1.24E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.830  6.87E+05 4.00E+05 5.22E+06 1.53E+04 1.62E+04 4.29E+04 4.09E+04 5.68E+04 4.49E+04 4.46E+04 3.15E+04 2.51E+04 1.74E+04 1.51E+04 9.81E+03 7.81E+03 6.16E+03 4.87E+03 3.91E+03 3.26E+03 2.70E+03 2.23E+03 1.82E+03 1.53E+03 1.21E+03 9.58E+02 7.61E+02 6.04E+02 4.63E+02 3.80E+02 2.82E+02 2.48E+02 4.39E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.894  1.09E+06 4.08E+05 5.37E+06 1.85E+04 1.95E+04 5.02E+04 4.39E+04 5.94E+04 3.79E+04 3.97E+04 2.73E+04 2.23E+04 1.50E+04 1.50E+04 9.99E+03 8.32E+03 6.96E+03 5.76E+03 4.71E+03 4.16E+03 3.48E+03 2.97E+03 2.51E+03 2.09E+03 1.70E+03 1.45E+03 1.10E+03 9.14E+02 6.93E+02 5.50E+02 4.52E+02 3.66E+02 6.35E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.956  1.51E+06 4.23E+05 5.63E+06 2.24E+04 2.35E+04 5.88E+04 4.72E+04 6.22E+04 3.19E+04 3.53E+04 2.37E+04 1.98E+04 1.30E+04 1.50E+04 1.02E+04 8.87E+03 7.85E+03 6.82E+03 5.67E+03 5.31E+03 4.49E+03 3.96E+03 3.47E+03 2.87E+03 2.37E+03 1.95E+03 1.43E+03 1.22E+03 9.23E+02 7.19E+02 6.23E+02 4.83E+02 8.32E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  2.016  1.94E+06 4.46E+05 6.03E+06 2.72E+04 2.83E+04 6.88E+04 5.06E+04 6.50E+04 2.68E+04 3.15E+04 2.05E+04 1.75E+04 1.13E+04 1.49E+04 1.04E+04 9.46E+03 8.86E+03 8.08E+03 6.83E+03 6.77E+03 5.79E+03 5.28E+03 4.79E+03 3.93E+03 3.32E+03 2.61E+03 1.87E+03 1.54E+03 1.15E+03 8.89E+02 7.94E+02 6.01E+02 1.03E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  2.075  2.40E+06 4.80E+05 6.62E+06 3.29E+04 3.41E+04 8.06E+04 5.44E+04 6.80E+04 2.26E+04 2.80E+04 1.78E+04 1.56E+04 9.77E+03 1.49E+04 1.06E+04 1.01E+04 1.00E+04 9.57E+03 8.23E+03 8.65E+03 7.47E+03 7.05E+03 6.61E+03 5.38E+03 4.65E+03 3.49E+03 2.44E+03 1.92E+03 1.38E+03 1.06E+03 9.65E+02 7.19E+02 1.23E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  2.132  2.91E+06 5.25E+05 7.42E+06 3.99E+04 4.10E+04 9.43E+04 5.84E+04 7.11E+04 1.90E+04 2.49E+04 1.54E+04 1.38E+04 8.46E+03 1.49E+04 1.08E+04 1.07E+04 1.13E+04 1.13E+04 9.91E+03 1.10E+04 9.64E+03 9.40E+03 9.13E+03 7.37E+03 6.51E+03 4.68E+03 3.18E+03 2.41E+03 1.66E+03 1.23E+03 1.14E+03 8.36E+02 1.46E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  2.187  3.46E+06 5.83E+05 8.51E+06 4.84E+04 4.94E+04 1.10E+05 6.27E+04 7.43E+04 1.60E+04 2.22E+04 1.34E+04 1.23E+04 7.33E+03 1.48E+04 1.10E+04 1.14E+04 1.28E+04 1.34E+04 1.19E+04 1.41E+04 1.24E+04 1.25E+04 1.26E+04 1.01E+04 9.11E+03 6.27E+03 4.16E+03 3.02E+03 1.99E+03 1.43E+03 1.31E+03 9.54E+02 1.74E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  2.320  5.20E+06 8.10E+05 1.31E+07 7.83E+04 7.86E+04 1.64E+05 7.48E+04 8.31E+04 1.04E+04 1.66E+04 9.36E+03 9.09E+03 5.12E+03 1.47E+04 1.15E+04 1.34E+04 1.73E+04 2.05E+04 1.90E+04 2.59E+04 2.35E+04 2.57E+04 2.82E+04 2.22E+04 2.11E+04 1.30E+04 8.10E+03 5.32E+03 3.13E+03 2.07E+03 1.85E+03 1.25E+03 2.69E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  2.445  7.73E+06 1.21E+06 2.21E+07 1.27E+05 1.25E+05 2.43E+05 8.94E+04 9.29E+04 6.79E+03 1.24E+04 6.56E+03 6.75E+03 3.57E+03 1.46E+04 1.20E+04 1.57E+04 2.34E+04 3.12E+04 3.02E+04 4.77E+04 4.43E+04 5.29E+04 6.33E+04 4.88E+04 4.89E+04 2.71E+04 1.58E+04 9.36E+03 4.93E+03 3.00E+03 2.63E+03 1.54E+03 4.17E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  2.678  1.90E+07 3.29E+06 7.69E+07 3.31E+05 3.16E+05 5.34E+05 1.27E+05 1.16E+05 2.88E+03 6.95E+03 3.21E+03 3.71E+03 1.74E+03 1.44E+04 1.32E+04 2.17E+04 4.29E+04 7.27E+04 7.66E+04 1.62E+05 1.58E+05 2.23E+05 3.18E+05 2.36E+05 2.63E+05 1.17E+05 5.99E+04 2.90E+04 1.22E+04 6.30E+03 5.31E+03 2.35E+03 9.99E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  3.093  2.40E+08 4.09E+07 1.36E+09 2.27E+06 2.02E+06 2.58E+06 2.59E+05 1.82E+05 5.17E+02 2.17E+03 7.72E+02 1.13E+03 4.14E+02 1.40E+04 1.59E+04 4.10E+04 1.44E+05 3.94E+05 4.92E+05 1.86E+06 2.02E+06 3.97E+06 8.02E+06 5.51E+06 7.60E+06 2.19E+06 8.63E+05 2.77E+05 7.52E+04 2.79E+04 2.15E+04 5.49E+03 5.75E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  3.458  4.31E+09 7.72E+08 2.97E+10 1.55E+07 1.29E+07 1.25E+07 5.27E+05 2.84E+05 0.00E+00 6.80E+02 0.00E+00 3.41E+02 0.00E+00 1.36E+04 1.91E+04 7.75E+04 4.85E+05 2.13E+06 3.16E+06 2.13E+07 2.57E+07 7.07E+07 2.02E+08 1.29E+08 2.19E+08 4.09E+07 1.24E+07 2.66E+06 4.63E+05 1.23E+05 8.75E+04 1.28E+04 3.30E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  3.788  9.58E+10 1.75E+10 7.06E+11 1.07E+08 8.28E+07 6.03E+07 1.07E+06 4.44E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E+04 2.30E+04 1.47E+05 1.63E+06 1.16E+07 2.03E+07 2.44E+08 3.27E+08 1.26E+09 5.10E+09 3.00E+09 6.33E+09 7.64E+08 1.79E+08 2.54E+07 2.85E+06 5.45E+05 3.55E+05 2.98E+04 1.90E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  4.091  2.33E+12 4.30E+11 1.76E+13 7.29E+08 5.29E+08 2.91E+08 2.18E+06 6.94E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.29E+04 2.77E+04 2.77E+05 5.49E+06 6.26E+07 1.30E+08 2.81E+09 4.16E+09 2.24E+10 1.29E+11 7.01E+10 1.83E+11 1.43E+10 2.58E+09 2.43E+08 1.75E+07 2.41E+06 1.44E+06 6.95E+04 1.09E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  4.374  5.93E+13 1.10E+13 4.52E+14 5.00E+09 3.39E+09 1.41E+09 4.44E+06 1.09E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.26E+04 3.34E+04 5.24E+05 1.85E+07 3.39E+08 8.35E+08 3.22E+10 5.30E+10 3.99E+11 3.25E+12 1.64E+12 5.28E+12 2.66E+11 3.72E+10 2.33E+09 1.08E+08 1.07E+07 5.86E+06 1.62E+05 6.28E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  4.639  1.55E+15 2.86E+14 1.19E+16 3.42E+10 2.17E+10 6.80E+09 9.03E+06 1.70E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.22E+04 4.02E+04 9.92E+05 6.21E+07 1.84E+09 5.36E+09 3.70E+11 6.75E+11 7.10E+12 8.19E+13 3.82E+13 1.52E+14 4.98E+12 5.36E+11 2.23E+10 6.64E+08 4.71E+07 2.38E+07 3.78E+05 3.61E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  4.890  4.10E+16 7.60E+15 3.16E+17 2.34E+11 1.39E+11 3.29E+10 1.84E+07 2.65E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.19E+04 4.83E+04 1.88E+06 2.09E+08 9.95E+09 3.44E+10 4.24E+12 8.60E+12 1.26E+14 2.06E+15 8.91E+14 4.40E+15 9.30E+13 7.71E+12 2.14E+11 4.08E+09 2.08E+08 9.66E+07 8.81E+05 2.07E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  5.129  1.10E+18 2.04E+17 8.52E+18 1.61E+12 8.87E+11 1.59E+11 3.74E+07 4.15E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.16E+04 5.82E+04 3.55E+06 7.02E+08 5.39E+10 2.21E+11 4.87E+13 1.10E+14 2.25E+15 5.21E+16 2.08E+16 1.27E+17 1.74E+15 1.11E+14 2.05E+12 2.51E+10 9.22E+08 3.92E+08 2.05E+06 1.19E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  5.357  2.99E+19 5.55E+18 2.32E+20 1.10E+13 5.67E+12 7.68E+11 7.60E+07 6.48E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.13E+04 7.01E+04 6.71E+06 2.36E+09 2.92E+11 1.42E+12 5.59E+14 1.39E+15 4.00E+16 1.31E+18 4.86E+17 3.67E+18 3.24E+16 1.60E+15 1.96E+13 1.55E+11 4.08E+09 1.59E+09 4.79E+06 6.86E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  5.576  8.17E+20 1.52E+20 6.37E+21 7.53E+13 3.63E+13 3.71E+12 1.55E+08 1.01E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.10E+04 8.43E+04 1.27E+07 7.94E+09 1.58E+12 9.09E+12 6.41E+15 1.78E+16 7.13E+17 3.31E+19 1.13E+19 1.06E+20 6.06E+17 2.31E+16 1.88E+14 9.51E+11 1.80E+10 6.46E+09 1.12E+07 3.94E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  5.786  2.25E+22 4.19E+21 1.76E+23 5.16E+14 2.32E+14 1.80E+13 3.15E+08 1.59E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.07E+04 1.02E+05 2.40E+07 2.67E+10 8.57E+12 5.84E+13 7.36E+16 2.26E+17 1.27E+19 8.36E+20 2.65E+20 3.06E+21 1.13E+19 3.32E+17 1.80E+15 5.85E+12 7.97E+10 2.62E+10 2.60E+07 2.27E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  5.989  6.24E+23 1.16E+23 4.90E+24 3.53E+15 1.49E+15 8.68E+13 6.40E+08 2.48E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.04E+04 1.22E+05 4.54E+07 8.98E+10 4.65E+13 3.75E+14 8.45E+17 2.88E+18 2.26E+20 2.11E+22 6.18E+21 8.84E+22 2.11E+20 4.79E+18 1.72E+16 3.60E+13 3.52E+11 1.07E+11 6.06E+07 1.30E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  6.186  1.74E+25 3.24E+24 1.37E+26 2.42E+16 9.51E+15 4.19E+14 1.30E+09 3.87E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.01E+04 1.47E+05 8.59E+07 3.02E+11 2.52E+14 2.41E+15 9.69E+18 3.67E+19 4.02E+21 5.32E+23 1.44E+23 2.55E+24 3.95E+21 6.90E+19 1.65E+17 2.22E+14 1.56E+12 4.33E+11 1.41E+08 7.49E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  6.376  4.87E+26 9.06E+25 3.84E+27 1.66E+17 6.08E+16 2.03E+15 2.65E+09 6.06E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.81E+03 1.77E+05 1.62E+08 1.02E+12 1.36E+15 1.54E+16 1.11E+20 4.67E+20 7.16E+22 1.34E+25 3.37E+24 7.37E+25 7.37E+22 9.94E+20 1.58E+18 1.36E+15 6.89E+12 1.76E+12 3.30E+08 4.31E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  6.561  1.37E+28 2.55E+27 1.08E+29 1.13E+18 3.89E+17 9.80E+15 5.39E+09 9.47E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.55E+03 2.13E+05 3.07E+08 3.41E+12 7.39E+15 9.91E+16 1.28E+21 5.95E+21 1.27E+24 3.38E+26 7.86E+25 2.13E+27 1.38E+24 1.43E+22 1.51E+19 8.39E+15 3.05E+13 7.14E+12 7.68E+08 2.48E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  6.741  3.86E+29 7.19E+28 3.05E+30 7.77E+18 2.49E+18 4.74E+16 1.10E+10 1.48E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.29E+03 2.57E+05 5.81E+08 1.15E+13 4.00E+16 6.36E+17 1.47E+22 7.58E+22 2.27E+25 8.53E+27 1.84E+27 6.15E+28 2.57E+25 2.06E+23 1.45E+20 5.16E+16 1.35E+14 2.90E+13 1.79E+09 1.42E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  6.916  1.09E+31 2.03E+30 8.65E+31 5.32E+19 1.59E+19 2.29E+17 2.23E+10 2.31E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.04E+03 3.09E+05 1.10E+09 3.86E+13 2.17E+17 4.08E+18 1.68E+23 9.65E+23 4.04E+26 2.15E+29 4.29E+28 1.78E+30 4.80E+26 2.97E+24 1.39E+21 3.18E+17 5.96E+14 1.18E+14 4.17E+09 8.19E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 21 A= 46: Negative-parity Spin-dependent Level Density [MeV-1] for SC 46  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.245  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.346  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.423  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
