                    *********************************************************************************
                    *  Z= 98 A=250: Positive-Parity Spin-dependent Level Density [MeV-1] for CF250  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   2.25  0.315  2.54E+02 6.75E+02 8.35E+03 2.28E+01 2.13E+01 6.06E+01 6.25E+01 9.17E+01 7.55E+01 8.65E+01 7.32E+01 6.35E+01 4.10E+01 3.47E+01 1.84E+01 1.16E+01 6.05E+00 3.56E+00 5.54E-01 1.25E+00 0.00E+00 5.34E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.332  4.76E+02 1.10E+03 1.39E+04 3.91E+01 3.42E+01 9.91E+01 9.66E+01 1.41E+02 1.13E+02 1.35E+02 1.11E+02 1.10E+02 7.40E+01 5.93E+01 3.76E+01 2.29E+01 1.25E+01 6.23E+00 1.29E+00 2.50E+00 0.00E+00 5.34E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.348  8.92E+02 2.23E+03 2.91E+04 7.64E+01 7.52E+01 1.98E+02 1.88E+02 2.80E+02 2.19E+02 2.57E+02 2.11E+02 2.13E+02 1.60E+02 1.37E+02 8.24E+01 6.15E+01 3.30E+01 2.17E+01 1.10E+01 5.12E+00 2.05E+00 5.34E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.363  1.63E+03 3.65E+03 4.80E+04 1.19E+02 1.17E+02 3.26E+02 3.09E+02 4.62E+02 3.66E+02 4.18E+02 3.32E+02 3.37E+02 2.50E+02 2.16E+02 1.51E+02 1.03E+02 6.22E+01 3.96E+01 2.02E+01 1.01E+01 3.74E+00 1.60E+00 0.00E+00 5.34E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.378  3.01E+03 7.42E+03 9.95E+04 2.39E+02 2.23E+02 6.41E+02 6.10E+02 9.14E+02 7.34E+02 8.41E+02 6.97E+02 7.01E+02 4.95E+02 4.36E+02 3.10E+02 2.40E+02 1.44E+02 9.39E+01 5.22E+01 2.85E+01 1.13E+01 5.61E+00 1.07E+00 5.34E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.392  5.45E+03 1.21E+04 1.64E+05 3.87E+02 3.64E+02 1.06E+03 1.01E+03 1.47E+03 1.18E+03 1.36E+03 1.12E+03 1.12E+03 8.33E+02 7.05E+02 5.10E+02 3.86E+02 2.55E+02 1.72E+02 9.48E+01 5.49E+01 2.68E+01 1.31E+01 2.85E+00 5.34E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.406  1.00E+04 2.45E+04 3.36E+05 7.51E+02 6.98E+02 2.07E+03 1.98E+03 2.91E+03 2.37E+03 2.73E+03 2.27E+03 2.27E+03 1.67E+03 1.47E+03 1.06E+03 8.15E+02 5.25E+02 3.88E+02 2.21E+02 1.37E+02 6.65E+01 3.54E+01 1.26E+01 2.40E+00 1.81E-01 5.34E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.420  1.81E+04 3.98E+04 5.49E+05 1.18E+03 1.15E+03 3.37E+03 3.25E+03 4.69E+03 3.81E+03 4.39E+03 3.70E+03 3.66E+03 2.71E+03 2.38E+03 1.72E+03 1.34E+03 8.82E+02 6.30E+02 3.99E+02 2.48E+02 1.30E+02 6.58E+01 2.74E+01 1.23E+01 2.50E+00 5.34E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.432  3.29E+04 7.92E+04 1.12E+06 2.26E+03 2.16E+03 6.41E+03 6.19E+03 9.07E+03 7.56E+03 8.77E+03 7.44E+03 7.35E+03 5.51E+03 4.84E+03 3.58E+03 2.78E+03 1.85E+03 1.37E+03 8.64E+02 5.98E+02 3.14E+02 1.76E+02 8.44E+01 3.80E+01 1.17E+01 5.28E+00 3.59E-01 3.61E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.445  5.87E+04 1.27E+05 1.81E+06 3.61E+03 3.46E+03 1.03E+04 9.93E+03 1.45E+04 1.19E+04 1.38E+04 1.18E+04 1.18E+04 8.85E+03 7.87E+03 5.74E+03 4.52E+03 3.09E+03 2.29E+03 1.49E+03 1.00E+03 5.75E+02 3.29E+02 1.77E+02 7.98E+01 3.89E+01 1.22E+01 1.79E+00 2.87E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
