                    *********************************************************************************
                    *  Z= 91 A=233: Positive-Parity Spin-dependent Level Density [MeV-1] for PA233  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   2.25  0.326  8.81E+02 2.20E+03 2.88E+04 7.24E+01 1.43E+02 2.09E+02 2.57E+02 2.48E+02 2.55E+02 2.34E+02 2.06E+02 1.65E+02 1.30E+02 1.01E+02 6.59E+01 4.84E+01 2.68E+01 1.90E+01 9.78E+00 5.15E+00 2.06E+00 2.06E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.344  1.60E+03 3.55E+03 4.70E+04 1.14E+02 2.30E+02 3.31E+02 4.03E+02 4.01E+02 4.11E+02 3.68E+02 3.31E+02 2.69E+02 2.12E+02 1.60E+02 1.14E+02 8.18E+01 5.30E+01 3.09E+01 2.01E+01 9.78E+00 5.15E+00 2.06E+00 2.06E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.360  2.96E+03 7.31E+03 9.81E+04 2.25E+02 4.53E+02 6.52E+02 8.14E+02 8.19E+02 8.53E+02 7.76E+02 6.75E+02 5.64E+02 4.42E+02 3.36E+02 2.37E+02 1.68E+02 1.14E+02 7.51E+01 4.84E+01 2.62E+01 1.44E+01 6.17E+00 2.57E+00 2.06E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.376  5.36E+03 1.19E+04 1.61E+05 3.67E+02 7.33E+02 1.04E+03 1.31E+03 1.33E+03 1.37E+03 1.25E+03 1.12E+03 9.25E+02 7.37E+02 5.61E+02 3.90E+02 2.84E+02 1.83E+02 1.26E+02 8.18E+01 4.84E+01 2.62E+01 1.44E+01 5.66E+00 2.06E+00 2.06E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.392  9.89E+03 2.43E+04 3.35E+05 7.09E+02 1.42E+03 2.06E+03 2.59E+03 2.62E+03 2.77E+03 2.57E+03 2.32E+03 1.96E+03 1.57E+03 1.19E+03 8.39E+02 6.08E+02 3.96E+02 2.72E+02 1.68E+02 1.07E+02 6.28E+01 3.29E+01 1.90E+01 7.20E+00 2.57E+00 2.06E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.406  1.78E+04 3.90E+04 5.42E+05 1.14E+03 2.27E+03 3.25E+03 4.08E+03 4.18E+03 4.40E+03 4.05E+03 3.71E+03 3.14E+03 2.57E+03 2.00E+03 1.42E+03 1.01E+03 6.60E+02 4.45E+02 2.85E+02 1.69E+02 1.07E+02 6.28E+01 3.09E+01 1.65E+01 6.17E+00 2.06E+00 2.06E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.421  3.22E+04 7.62E+04 1.08E+06 2.14E+03 4.20E+03 6.09E+03 7.67E+03 7.92E+03 8.40E+03 7.85E+03 7.32E+03 6.27E+03 5.23E+03 4.05E+03 2.96E+03 2.17E+03 1.44E+03 9.75E+02 6.13E+02 3.68E+02 2.18E+02 1.30E+02 7.51E+01 3.86E+01 2.01E+01 7.20E+00 2.57E+00 2.06E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.435  5.68E+04 1.20E+05 1.72E+06 3.33E+03 6.61E+03 9.54E+03 1.21E+04 1.25E+04 1.32E+04 1.23E+04 1.14E+04 9.75E+03 8.27E+03 6.56E+03 4.77E+03 3.53E+03 2.37E+03 1.62E+03 1.02E+03 6.15E+02 3.68E+02 2.17E+02 1.26E+02 6.59E+01 3.29E+01 1.65E+01 5.66E+00 2.06E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.448  1.01E+05 2.31E+05 3.36E+06 6.11E+03 1.21E+04 1.76E+04 2.24E+04 2.32E+04 2.48E+04 2.35E+04 2.21E+04 1.93E+04 1.62E+04 1.28E+04 9.62E+03 7.21E+03 4.94E+03 3.44E+03 2.21E+03 1.34E+03 7.89E+02 4.64E+02 2.72E+02 1.43E+02 8.18E+01 3.86E+01 1.90E+01 6.17E+00 2.06E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.461  1.75E+05 3.63E+05 5.30E+06 9.62E+03 1.90E+04 2.76E+04 3.53E+04 3.67E+04 3.91E+04 3.65E+04 3.43E+04 2.98E+04 2.55E+04 2.05E+04 1.52E+04 1.13E+04 7.96E+03 5.58E+03 3.62E+03 2.24E+03 1.34E+03 7.82E+02 4.45E+02 2.38E+02 1.30E+02 6.59E+01 3.09E+01 1.44E+01 5.15E+00 2.06E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
