                    *********************************************************************************
                    *  Z= 69 A=171: Positive-Parity Spin-dependent Level Density [MeV-1] for TM171  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
  14.00  0.949  3.53E+10 4.30E+10 6.23E+11 1.27E+09 2.51E+09 3.53E+09 4.19E+09 4.61E+09 4.55E+09 4.31E+09 3.79E+09 3.32E+09 2.73E+09 2.18E+09 1.74E+09 1.28E+09 9.53E+08 6.52E+08 4.64E+08 3.15E+08 2.18E+08 1.44E+08 1.00E+08 6.33E+07 4.04E+07 2.67E+07 1.72E+07 1.11E+07 6.88E+06 4.54E+06 2.30E+06 1.75E+06 7.21E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.982  9.66E+10 7.96E+10 1.16E+12 2.27E+09 4.49E+09 6.41E+09 7.71E+09 8.44E+09 8.30E+09 7.92E+09 7.05E+09 6.19E+09 5.11E+09 4.11E+09 3.28E+09 2.44E+09 1.81E+09 1.25E+09 8.98E+08 6.14E+08 4.28E+08 2.85E+08 2.00E+08 1.28E+08 8.21E+07 5.52E+07 3.58E+07 2.31E+07 1.47E+07 9.82E+06 5.00E+06 3.81E+06 1.62E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.015  2.10E+11 1.47E+11 2.18E+12 4.05E+09 8.02E+09 1.16E+10 1.42E+10 1.55E+10 1.51E+10 1.46E+10 1.31E+10 1.15E+10 9.58E+09 7.77E+09 6.19E+09 4.63E+09 3.44E+09 2.41E+09 1.74E+09 1.20E+09 8.42E+08 5.65E+08 3.99E+08 2.58E+08 1.67E+08 1.14E+08 7.43E+07 4.83E+07 3.13E+07 2.12E+07 1.09E+07 8.30E+06 3.64E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.046  4.20E+11 2.72E+11 4.08E+12 7.23E+09 1.43E+10 2.11E+10 2.61E+10 2.83E+10 2.76E+10 2.68E+10 2.44E+10 2.14E+10 1.80E+10 1.47E+10 1.17E+10 8.79E+09 6.53E+09 4.63E+09 3.37E+09 2.34E+09 1.66E+09 1.12E+09 7.96E+08 5.20E+08 3.39E+08 2.36E+08 1.54E+08 1.01E+08 6.69E+07 4.59E+07 2.37E+07 1.81E+07 8.17E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.076  8.08E+11 5.04E+11 7.63E+12 1.29E+10 2.56E+10 3.82E+10 4.81E+10 5.19E+10 5.03E+10 4.93E+10 4.54E+10 3.99E+10 3.37E+10 2.77E+10 2.20E+10 1.67E+10 1.24E+10 8.90E+09 6.52E+09 4.56E+09 3.26E+09 2.21E+09 1.59E+09 1.05E+09 6.89E+08 4.88E+08 3.20E+08 2.11E+08 1.43E+08 9.94E+07 5.15E+07 3.94E+07 1.84E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.106  1.53E+12 9.34E+11 1.43E+13 2.31E+10 4.58E+10 6.93E+10 8.85E+10 9.50E+10 9.18E+10 9.07E+10 8.45E+10 7.43E+10 6.31E+10 5.22E+10 4.14E+10 3.17E+10 2.35E+10 1.71E+10 1.26E+10 8.91E+09 6.41E+09 4.39E+09 3.17E+09 2.12E+09 1.40E+09 1.01E+09 6.64E+08 4.42E+08 3.05E+08 2.15E+08 1.12E+08 8.59E+07 4.12E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.134  2.86E+12 1.73E+12 2.68E+13 4.12E+10 8.17E+10 1.26E+11 1.63E+11 1.74E+11 1.67E+11 1.67E+11 1.57E+11 1.38E+11 1.18E+11 9.86E+10 7.81E+10 6.03E+10 4.47E+10 3.29E+10 2.44E+10 1.74E+10 1.26E+10 8.69E+09 6.33E+09 4.28E+09 2.84E+09 2.09E+09 1.38E+09 9.25E+08 6.50E+08 4.65E+08 2.44E+08 1.87E+08 9.26E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.203  1.52E+13 8.11E+12 1.29E+14 1.76E+11 3.49E+11 5.57E+11 7.50E+11 7.91E+11 7.52E+11 7.66E+11 7.43E+11 6.54E+11 5.69E+11 4.83E+11 3.81E+11 3.00E+11 2.22E+11 1.69E+11 1.27E+11 9.25E+10 6.83E+10 4.79E+10 3.57E+10 2.47E+10 1.67E+10 1.29E+10 8.56E+09 5.85E+09 4.33E+09 3.20E+09 1.70E+09 1.31E+09 7.01E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.268  7.30E+13 3.81E+13 6.26E+14 7.48E+11 1.49E+12 2.46E+12 3.45E+12 3.59E+12 3.38E+12 3.51E+12 3.51E+12 3.09E+12 2.74E+12 2.36E+12 1.86E+12 1.49E+12 1.10E+12 8.64E+11 6.65E+11 4.92E+11 3.71E+11 2.65E+11 2.01E+11 1.43E+11 9.85E+10 7.92E+10 5.32E+10 3.70E+10 2.88E+10 2.20E+10 1.19E+10 9.22E+09 5.30E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.389  2.30E+15 8.52E+14 1.49E+16 1.36E+13 2.71E+13 4.83E+13 7.29E+13 7.41E+13 6.82E+13 7.40E+13 7.83E+13 6.92E+13 6.34E+13 5.66E+13 4.43E+13 3.69E+13 2.72E+13 2.27E+13 1.81E+13 1.39E+13 1.09E+13 8.06E+12 6.37E+12 4.80E+12 3.41E+12 3.00E+12 2.05E+12 1.48E+12 1.28E+12 1.04E+12 5.79E+11 4.54E+11 3.03E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.604  2.27E+18 4.52E+17 9.30E+18 4.49E+15 8.96E+15 1.86E+16 3.26E+16 3.15E+16 2.78E+16 3.28E+16 3.90E+16 3.46E+16 3.39E+16 3.25E+16 2.51E+16 2.25E+16 1.66E+16 1.56E+16 1.34E+16 1.12E+16 9.43E+15 7.48E+15 6.40E+15 5.38E+15 4.09E+15 4.30E+15 3.04E+15 2.37E+15 2.50E+15 2.33E+15 1.37E+15 1.10E+15 9.92E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.793  9.04E+18 9.03E+17 1.86E+19 8.96E+15 1.79E+16 3.71E+16 6.52E+16 6.30E+16 5.55E+16 6.56E+16 7.80E+16 6.91E+16 6.78E+16 6.49E+16 5.01E+16 4.50E+16 3.31E+16 3.12E+16 2.68E+16 2.23E+16 1.88E+16 1.50E+16 1.28E+16 1.08E+16 8.18E+15 8.60E+15 6.08E+15 4.73E+15 5.01E+15 4.66E+15 2.75E+15 2.20E+15 1.98E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.965  2.26E+19 1.80E+18 3.71E+19 1.79E+16 3.57E+16 7.41E+16 1.30E+17 1.26E+17 1.11E+17 1.31E+17 1.56E+17 1.38E+17 1.35E+17 1.30E+17 1.00E+17 9.00E+16 6.62E+16 6.24E+16 5.35E+16 4.46E+16 3.77E+16 2.99E+16 2.56E+16 2.15E+16 1.64E+16 1.72E+16 1.22E+16 9.46E+15 1.00E+16 9.32E+15 5.50E+15 4.39E+15 3.97E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.122  4.96E+19 3.61E+18 7.42E+19 3.57E+16 7.14E+16 1.48E+17 2.60E+17 2.51E+17 2.22E+17 2.62E+17 3.11E+17 2.76E+17 2.71E+17 2.59E+17 2.00E+17 1.80E+17 1.32E+17 1.25E+17 1.07E+17 8.91E+16 7.53E+16 5.98E+16 5.12E+16 4.30E+16 3.27E+16 3.44E+16 2.43E+16 1.89E+16 2.00E+16 1.86E+16 1.10E+16 8.79E+15 7.93E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.269  1.04E+20 7.20E+18 1.48E+20 7.14E+16 1.43E+17 2.96E+17 5.20E+17 5.02E+17 4.43E+17 5.23E+17 6.22E+17 5.51E+17 5.41E+17 5.18E+17 4.00E+17 3.59E+17 2.64E+17 2.49E+17 2.14E+17 1.78E+17 1.51E+17 1.19E+17 1.02E+17 8.60E+16 6.54E+16 6.88E+16 4.86E+16 3.78E+16 4.00E+16 3.73E+16 2.20E+16 1.76E+16 1.59E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.406  2.12E+20 1.44E+19 2.96E+20 1.43E+17 2.85E+17 5.91E+17 1.04E+18 1.00E+18 8.84E+17 1.04E+18 1.24E+18 1.10E+18 1.08E+18 1.04E+18 7.99E+17 7.18E+17 5.28E+17 4.98E+17 4.27E+17 3.56E+17 3.01E+17 2.39E+17 2.04E+17 1.72E+17 1.31E+17 1.37E+17 9.72E+16 7.56E+16 8.00E+16 7.45E+16 4.39E+16 3.51E+16 3.17E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.536  4.27E+20 2.88E+19 5.92E+20 2.85E+17 5.68E+17 1.18E+18 2.07E+18 2.00E+18 1.77E+18 2.09E+18 2.48E+18 2.20E+18 2.16E+18 2.07E+18 1.60E+18 1.44E+18 1.06E+18 9.95E+17 8.53E+17 7.12E+17 6.01E+17 4.77E+17 4.09E+17 3.44E+17 2.61E+17 2.75E+17 1.94E+17 1.51E+17 1.60E+17 1.49E+17 8.79E+16 7.02E+16 6.34E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.660  8.59E+20 5.75E+19 1.18E+21 5.69E+17 1.13E+18 2.36E+18 4.15E+18 4.00E+18 3.53E+18 4.17E+18 4.96E+18 4.39E+18 4.32E+18 4.13E+18 3.19E+18 2.87E+18 2.11E+18 1.99E+18 1.71E+18 1.42E+18 1.20E+18 9.54E+17 8.17E+17 6.87E+17 5.22E+17 5.50E+17 3.88E+17 3.02E+17 3.20E+17 2.98E+17 1.76E+17 1.40E+17 1.27E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.778  1.72E+21 1.15E+20 2.37E+21 1.14E+18 2.27E+18 4.71E+18 8.28E+18 8.00E+18 7.05E+18 8.33E+18 9.91E+18 8.78E+18 8.62E+18 8.26E+18 6.37E+18 5.73E+18 4.21E+18 3.98E+18 3.41E+18 2.84E+18 2.40E+18 1.91E+18 1.63E+18 1.37E+18 1.04E+18 1.10E+18 7.77E+17 6.04E+17 6.40E+17 5.96E+17 3.51E+17 2.81E+17 2.54E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.892  3.44E+21 2.29E+20 4.73E+21 2.27E+18 4.53E+18 9.40E+18 1.65E+19 1.60E+19 1.41E+19 1.66E+19 1.98E+19 1.75E+19 1.72E+19 1.65E+19 1.27E+19 1.15E+19 8.42E+18 7.95E+18 6.81E+18 5.68E+18 4.80E+18 3.81E+18 3.26E+18 2.74E+18 2.09E+18 2.20E+18 1.55E+18 1.21E+18 1.28E+18 1.19E+18 7.03E+17 5.62E+17 5.07E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.001  6.88E+21 4.58E+20 9.45E+21 4.53E+18 9.04E+18 1.88E+19 3.30E+19 3.19E+19 2.81E+19 3.32E+19 3.96E+19 3.50E+19 3.44E+19 3.30E+19 2.55E+19 2.29E+19 1.68E+19 1.59E+19 1.36E+19 1.14E+19 9.60E+18 7.62E+18 6.52E+18 5.49E+18 4.17E+18 4.39E+18 3.10E+18 2.42E+18 2.56E+18 2.38E+18 1.40E+18 1.12E+18 1.01E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.106  1.38E+22 9.16E+20 1.89E+22 9.04E+18 1.80E+19 3.75E+19 6.60E+19 6.38E+19 5.62E+19 6.64E+19 7.90E+19 7.00E+19 6.88E+19 6.59E+19 5.09E+19 4.57E+19 3.36E+19 3.17E+19 2.72E+19 2.27E+19 1.92E+19 1.52E+19 1.30E+19 1.10E+19 8.35E+18 8.78E+18 6.21E+18 4.83E+18 5.12E+18 4.76E+18 2.81E+18 2.25E+18 2.03E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.208  2.75E+22 1.83E+21 3.77E+22 1.81E+19 3.60E+19 7.49E+19 1.32E+20 1.27E+20 1.12E+20 1.33E+20 1.58E+20 1.40E+20 1.37E+20 1.32E+20 1.02E+20 9.14E+19 6.72E+19 6.34E+19 5.44E+19 4.54E+19 3.84E+19 3.05E+19 2.61E+19 2.19E+19 1.67E+19 1.76E+19 1.24E+19 9.66E+18 1.02E+19 9.52E+18 5.62E+18 4.49E+18 4.06E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.307  5.49E+22 3.66E+21 7.54E+22 3.61E+19 7.20E+19 1.50E+20 2.64E+20 2.54E+20 2.24E+20 2.65E+20 3.15E+20 2.79E+20 2.75E+20 2.63E+20 2.03E+20 1.83E+20 1.34E+20 1.27E+20 1.09E+20 9.07E+19 7.67E+19 6.09E+19 5.21E+19 4.38E+19 3.34E+19 3.51E+19 2.48E+19 1.93E+19 2.05E+19 1.90E+19 1.12E+19 8.98E+18 8.11E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.403  1.10E+23 7.31E+21 1.51E+23 7.20E+19 1.44E+20 2.99E+20 5.26E+20 5.08E+20 4.48E+20 5.29E+20 6.30E+20 5.58E+20 5.49E+20 5.26E+20 4.06E+20 3.65E+20 2.68E+20 2.53E+20 2.17E+20 1.81E+20 1.53E+20 1.22E+20 1.04E+20 8.76E+19 6.67E+19 7.02E+19 4.96E+19 3.86E+19 4.09E+19 3.81E+19 2.25E+19 1.80E+19 1.62E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.496  2.19E+23 1.46E+22 3.01E+23 1.44E+20 2.87E+20 5.97E+20 1.05E+21 1.02E+21 8.94E+20 1.06E+21 1.26E+21 1.12E+21 1.10E+21 1.05E+21 8.11E+20 7.30E+20 5.36E+20 5.06E+20 4.34E+20 3.62E+20 3.06E+20 2.43E+20 2.08E+20 1.75E+20 1.33E+20 1.40E+20 9.92E+19 7.72E+19 8.18E+19 7.61E+19 4.49E+19 3.59E+19 3.24E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.587  4.38E+23 2.92E+22 6.02E+23 2.87E+20 5.73E+20 1.19E+21 2.10E+21 2.03E+21 1.79E+21 2.11E+21 2.52E+21 2.23E+21 2.19E+21 2.10E+21 1.62E+21 1.46E+21 1.07E+21 1.01E+21 8.68E+20 7.24E+20 6.12E+20 4.86E+20 4.16E+20 3.50E+20 2.67E+20 2.80E+20 1.98E+20 1.54E+20 1.63E+20 1.52E+20 8.98E+19 7.18E+19 6.49E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 69 A=171: Negative-parity Spin-dependent Level Density [MeV-1] for TM171  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.127  2.00E+00 1.14E+01 1.21E+02 0.00E+00 0.00E+00 1.92E-02 4.00E+00 2.96E+00 2.22E+00 1.48E+00 7.39E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.179  5.00E+00 1.20E+01 1.38E+02 0.00E+00 0.00E+00 1.60E-02 3.33E+00 2.46E+00 2.46E+00 1.85E+00 1.23E+00 6.16E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.220  8.00E+00 1.66E+01 1.77E+02 1.43E+00 1.06E+00 2.05E-02 3.57E+00 3.17E+00 2.11E+00 2.11E+00 1.58E+00 1.06E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.254  1.40E+01 2.59E+01 2.77E+02 1.44E+00 1.77E+00 1.63E+00 6.58E+00 3.17E+00 3.18E+00 2.83E+00 2.11E+00 1.58E+00 1.06E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.284  2.30E+01 4.55E+01 4.64E+02 3.59E+00 4.10E+00 4.28E+00 9.94E+00 5.81E+00 5.30E+00 4.07E+00 3.17E+00 2.11E+00 1.58E+00 1.06E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.311  3.70E+01 7.14E+01 6.75E+02 7.69E+00 7.85E+00 9.03E+00 1.21E+01 1.02E+01 6.39E+00 8.14E+00 3.70E+00 2.64E+00 2.11E+00 1.06E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.336  6.50E+01 1.47E+02 1.35E+03 1.68E+01 1.84E+01 2.21E+01 2.16E+01 1.90E+01 1.39E+01 1.52E+01 8.63E+00 3.71E+00 3.88E+00 2.11E+00 1.06E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
