                    *********************************************************************************
                    *  Z= 69 A=171: Positive-Parity Spin-dependent Level Density [MeV-1] for TM171  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   2.25  0.380  1.99E+02 4.11E+02 4.18E+03 1.92E+01 3.46E+01 5.71E+01 7.63E+01 6.70E+01 5.16E+01 4.00E+01 2.60E+01 1.55E+01 1.16E+01 6.89E+00 3.17E+00 1.58E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.401  3.24E+02 5.91E+02 6.18E+03 2.44E+01 4.89E+01 7.82E+01 1.03E+02 9.52E+01 7.84E+01 6.01E+01 4.11E+01 2.52E+01 1.72E+01 1.15E+01 4.78E+00 2.83E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.421  5.25E+02 1.01E+03 1.07E+04 4.53E+01 8.64E+01 1.33E+02 1.61E+02 1.49E+02 1.31E+02 1.08E+02 7.67E+01 4.90E+01 3.17E+01 2.04E+01 1.01E+01 6.37E+00 1.58E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.439  8.33E+02 1.46E+03 1.56E+04 7.63E+01 1.34E+02 1.90E+02 2.17E+02 2.11E+02 1.77E+02 1.54E+02 1.15E+02 7.72E+01 4.93E+01 2.95E+01 1.54E+01 9.38E+00 3.70E+00 1.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.457  1.33E+03 2.49E+03 2.68E+04 1.30E+02 2.30E+02 3.22E+02 3.64E+02 3.54E+02 2.98E+02 2.63E+02 1.91E+02 1.39E+02 9.08E+01 5.48E+01 2.89E+01 1.71E+01 7.58E+00 2.11E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.474  2.08E+03 3.56E+03 3.86E+04 1.82E+02 3.25E+02 4.52E+02 5.18E+02 5.03E+02 4.38E+02 3.68E+02 2.72E+02 2.01E+02 1.34E+02 8.21E+01 4.35E+01 2.67E+01 1.20E+01 3.72E+00 1.24E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.491  3.28E+03 6.03E+03 6.62E+04 3.05E+02 5.45E+02 7.50E+02 8.40E+02 8.40E+02 7.49E+02 6.33E+02 4.72E+02 3.43E+02 2.30E+02 1.50E+02 8.30E+01 4.78E+01 2.45E+01 8.07E+00 3.73E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.507  5.11E+03 8.63E+03 9.52E+04 4.30E+02 7.80E+02 1.08E+03 1.20E+03 1.20E+03 1.05E+03 9.15E+02 6.81E+02 4.92E+02 3.36E+02 2.13E+02 1.26E+02 6.93E+01 3.76E+01 1.41E+01 7.45E+00 1.09E+00 1.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.523  8.01E+03 1.45E+04 1.63E+05 6.96E+02 1.28E+03 1.78E+03 1.97E+03 2.02E+03 1.80E+03 1.53E+03 1.17E+03 8.49E+02 5.94E+02 3.75E+02 2.30E+02 1.29E+02 6.85E+01 2.85E+01 1.37E+01 3.99E+00 1.61E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.538  1.24E+04 2.08E+04 2.34E+05 9.74E+02 1.82E+03 2.51E+03 2.83E+03 2.86E+03 2.55E+03 2.19E+03 1.66E+03 1.23E+03 8.68E+02 5.49E+02 3.41E+02 1.97E+02 1.02E+02 4.41E+01 2.18E+01 8.24E+00 3.39E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
