                    *********************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for TC100  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   2.25  0.497  1.30E+02 2.04E+02 1.66E+03 3.37E+01 1.56E+01 2.79E+01 2.67E+01 3.07E+01 2.08E+01 1.83E+01 1.33E+01 1.05E+01 3.94E+00 2.12E+00 5.57E-01 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.524  1.91E+02 2.83E+02 2.37E+03 4.05E+01 1.95E+01 4.39E+01 3.67E+01 4.23E+01 3.10E+01 2.70E+01 1.87E+01 1.37E+01 5.39E+00 3.61E+00 8.91E-01 3.34E-01 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.550  2.87E+02 4.84E+02 4.13E+03 5.13E+01 4.08E+01 7.56E+01 6.79E+01 7.68E+01 5.33E+01 4.77E+01 3.02E+01 2.10E+01 1.05E+01 5.72E+00 2.27E+00 6.68E-01 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.574  4.36E+02 7.08E+02 6.17E+03 6.31E+01 5.61E+01 1.15E+02 9.97E+01 1.17E+02 8.33E+01 7.19E+01 4.27E+01 2.91E+01 1.63E+01 8.22E+00 3.60E+00 2.16E+00 3.34E-01 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.598  6.77E+02 1.22E+03 1.07E+04 9.29E+01 9.72E+01 1.98E+02 1.76E+02 2.01E+02 1.43E+02 1.30E+02 8.13E+01 4.76E+01 2.47E+01 1.47E+01 6.43E+00 3.39E+00 5.57E-01 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.620  1.04E+03 1.73E+03 1.54E+04 1.29E+02 1.37E+02 2.76E+02 2.44E+02 2.82E+02 2.10E+02 1.92E+02 1.18E+02 7.01E+01 3.33E+01 2.25E+01 7.98E+00 5.71E+00 1.11E+00 3.34E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.642  1.61E+03 2.80E+03 2.58E+04 1.90E+02 1.92E+02 4.23E+02 3.84E+02 4.88E+02 3.53E+02 3.26E+02 1.94E+02 1.29E+02 6.26E+01 3.48E+01 1.45E+01 9.86E+00 2.83E+00 6.68E-01 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.663  2.44E+03 3.87E+03 3.60E+04 2.68E+02 2.61E+02 5.72E+02 5.11E+02 6.47E+02 4.95E+02 4.47E+02 2.82E+02 2.00E+02 9.20E+01 5.04E+01 2.33E+01 1.36E+01 3.94E+00 1.56E+00 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.684  3.68E+03 6.05E+03 5.80E+04 3.85E+02 3.82E+02 8.44E+02 7.91E+02 1.01E+03 7.71E+02 7.22E+02 4.71E+02 3.49E+02 1.61E+02 9.27E+01 4.01E+01 2.15E+01 7.44E+00 3.50E+00 3.34E-01 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.704  5.46E+03 8.20E+03 8.02E+04 4.85E+02 4.78E+02 1.15E+03 1.06E+03 1.34E+03 1.04E+03 9.75E+02 6.67E+02 4.91E+02 2.51E+02 1.51E+02 5.88E+01 2.92E+01 1.32E+01 4.72E+00 7.79E-01 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.723  8.08E+03 1.27E+04 1.28E+05 6.56E+02 7.05E+02 1.76E+03 1.57E+03 2.05E+03 1.65E+03 1.53E+03 1.06E+03 8.32E+02 4.55E+02 2.57E+02 1.08E+02 5.25E+01 2.15E+01 8.33E+00 1.78E+00 1.05E+00 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.742  1.18E+04 1.74E+04 1.76E+05 8.78E+02 9.68E+02 2.41E+03 2.16E+03 2.73E+03 2.24E+03 2.07E+03 1.45E+03 1.16E+03 6.47E+02 3.84E+02 1.77E+02 7.76E+01 3.03E+01 1.28E+01 3.72E+00 1.38E+00 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.778  2.57E+04 3.81E+04 3.93E+05 1.81E+03 2.07E+03 5.23E+03 4.68E+03 5.88E+03 4.84E+03 4.52E+03 3.24E+03 2.54E+03 1.51E+03 9.96E+02 4.62E+02 2.15E+02 8.18E+01 3.50E+01 1.23E+01 5.64E+00 1.05E+00 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.812  5.62E+04 8.38E+04 8.73E+05 3.91E+03 4.58E+03 1.12E+04 1.01E+04 1.29E+04 1.07E+04 9.89E+03 7.07E+03 5.64E+03 3.43E+03 2.24E+03 1.16E+03 6.14E+02 2.23E+02 9.72E+01 3.45E+01 1.25E+01 2.38E+00 9.37E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.846  1.22E+05 1.79E+05 1.90E+06 8.10E+03 9.43E+03 2.34E+04 2.11E+04 2.71E+04 2.28E+04 2.14E+04 1.55E+04 1.24E+04 7.64E+03 5.10E+03 2.67E+03 1.53E+03 6.62E+02 2.80E+02 8.87E+01 3.61E+01 1.41E+01 3.10E+00 1.06E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.877  2.59E+05 3.71E+05 4.01E+06 1.61E+04 1.88E+04 4.67E+04 4.24E+04 5.51E+04 4.66E+04 4.46E+04 3.29E+04 2.67E+04 1.68E+04 1.14E+04 6.19E+03 3.56E+03 1.63E+03 7.91E+02 2.73E+02 8.72E+01 3.16E+01 1.19E+01 2.66E+00 2.03E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
