                    *********************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for TC100  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
  15.00  1.285  8.26E+09 5.57E+09 6.22E+10 2.43E+08 2.72E+08 7.21E+08 6.37E+08 8.60E+08 6.43E+08 6.72E+08 4.14E+08 3.60E+08 2.22E+08 1.84E+08 1.17E+08 8.34E+07 5.14E+07 3.57E+07 2.17E+07 1.40E+07 8.42E+06 5.03E+06 2.85E+06 1.58E+06 8.36E+05 4.29E+05 2.10E+05 9.87E+04 4.54E+04 2.03E+04 8.64E+03 3.65E+03 2.46E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.327  1.52E+10 8.26E+09 8.82E+10 4.06E+08 4.53E+08 1.22E+09 1.03E+09 1.36E+09 8.79E+08 9.42E+08 4.99E+08 4.47E+08 2.73E+08 2.45E+08 1.60E+08 1.19E+08 7.63E+07 5.57E+07 3.52E+07 2.39E+07 1.49E+07 9.19E+06 5.38E+06 3.07E+06 1.67E+06 8.85E+05 4.41E+05 2.13E+05 1.02E+05 4.62E+04 1.96E+04 8.58E+03 3.94E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.367  2.55E+10 1.24E+10 1.27E+11 6.78E+08 7.55E+08 2.06E+09 1.67E+09 2.15E+09 1.20E+09 1.32E+09 6.01E+08 5.56E+08 3.34E+08 3.25E+08 2.19E+08 1.71E+08 1.13E+08 8.69E+07 5.71E+07 4.06E+07 2.65E+07 1.68E+07 1.02E+07 5.96E+06 3.35E+06 1.83E+06 9.28E+05 4.57E+05 2.28E+05 1.05E+05 4.46E+04 2.01E+04 6.28E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.407  4.11E+10 1.88E+10 1.85E+11 1.13E+09 1.26E+09 3.48E+09 2.69E+09 3.39E+09 1.65E+09 1.86E+09 7.25E+08 6.92E+08 4.09E+08 4.32E+08 2.99E+08 2.45E+08 1.68E+08 1.35E+08 9.27E+07 6.92E+07 4.69E+07 3.07E+07 1.92E+07 1.16E+07 6.72E+06 3.77E+06 1.95E+06 9.85E+05 5.11E+05 2.40E+05 1.01E+05 4.73E+04 1.00E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.446  6.50E+10 2.90E+10 2.72E+11 1.89E+09 2.09E+09 5.89E+09 4.35E+09 5.36E+09 2.25E+09 2.61E+09 8.74E+08 8.61E+08 5.02E+08 5.74E+08 4.08E+08 3.50E+08 2.49E+08 2.11E+08 1.51E+08 1.18E+08 8.31E+07 5.62E+07 3.62E+07 2.25E+07 1.34E+07 7.77E+06 4.11E+06 2.12E+06 1.15E+06 5.46E+05 2.30E+05 1.11E+05 1.60E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.483  1.02E+11 4.50E+10 4.07E+11 3.16E+09 3.49E+09 9.96E+09 7.03E+09 8.47E+09 3.08E+09 3.66E+09 1.05E+09 1.07E+09 6.15E+08 7.62E+08 5.57E+08 5.02E+08 3.69E+08 3.29E+08 2.45E+08 2.00E+08 1.47E+08 1.03E+08 6.84E+07 4.36E+07 2.69E+07 1.60E+07 8.64E+06 4.56E+06 2.57E+06 1.24E+06 5.22E+05 2.61E+05 2.56E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.573  3.34E+11 1.40E+11 1.17E+12 1.14E+10 1.25E+10 3.70E+10 2.34E+10 2.66E+10 6.74E+09 8.53E+09 1.68E+09 1.85E+09 1.02E+09 1.55E+09 1.21E+09 1.23E+09 9.90E+08 9.99E+08 8.22E+08 7.57E+08 6.16E+08 4.64E+08 3.35E+08 2.29E+08 1.53E+08 9.79E+07 5.54E+07 3.10E+07 1.93E+07 9.74E+06 4.05E+06 2.20E+06 8.24E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.658  1.08E+12 4.57E+11 3.63E+12 4.10E+10 4.47E+10 1.38E+11 7.77E+10 8.35E+10 1.48E+10 1.99E+10 2.68E+09 3.19E+09 1.70E+09 3.15E+09 2.64E+09 3.02E+09 2.65E+09 3.03E+09 2.76E+09 2.86E+09 2.57E+09 2.09E+09 1.64E+09 1.20E+09 8.67E+08 5.99E+08 3.56E+08 2.11E+08 1.45E+08 7.63E+07 3.15E+07 1.86E+07 2.65E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.817  1.55E+13 5.30E+12 4.26E+13 5.32E+11 5.74E+11 1.90E+12 8.58E+11 8.22E+11 7.07E+10 1.08E+11 6.83E+09 9.49E+09 4.70E+09 1.31E+10 1.25E+10 1.82E+10 1.90E+10 2.79E+10 3.12E+10 4.09E+10 4.50E+10 4.27E+10 3.93E+10 3.31E+10 2.79E+10 2.24E+10 1.47E+10 9.74E+09 8.19E+09 4.68E+09 1.90E+09 1.33E+09 2.75E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  2.098  5.02E+15 9.95E+14 1.51E+16 8.97E+13 9.43E+13 3.63E+14 1.05E+14 7.97E+13 1.62E+12 3.22E+12 4.43E+10 8.42E+10 3.59E+10 2.23E+11 2.82E+11 6.59E+11 9.82E+11 2.37E+12 3.98E+12 8.33E+12 1.38E+13 1.78E+13 2.26E+13 2.51E+13 2.89E+13 3.12E+13 2.49E+13 2.08E+13 2.61E+13 1.76E+13 6.93E+12 6.77E+12 2.96E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  2.345  5.98E+16 9.96E+15 1.08E+17 1.79E+14 1.88E+14 7.24E+14 2.08E+14 7.74E+15 3.73E+13 9.54E+13 2.88E+11 7.46E+11 2.74E+11 3.83E+12 6.35E+12 2.39E+13 5.07E+13 2.01E+14 7.94E+12 1.66E+13 2.75E+13 3.55E+13 4.51E+13 5.02E+13 5.78E+13 6.23E+13 4.97E+13 4.16E+13 5.22E+13 3.52E+13 1.39E+13 1.35E+13 5.90E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  2.569  4.00E+18 7.78E+17 7.45E+18 3.57E+14 3.75E+14 1.44E+15 4.15E+14 7.50E+17 8.56E+14 2.83E+15 1.87E+12 6.62E+12 2.10E+12 6.55E+13 1.43E+14 8.65E+14 2.61E+15 1.71E+16 1.58E+13 3.32E+13 5.48E+13 7.10E+13 9.01E+13 1.00E+14 1.16E+14 1.25E+14 9.95E+13 8.32E+13 1.04E+14 7.04E+13 2.77E+13 2.71E+13 1.17E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.775  3.80E+20 7.45E+19 7.03E+20 7.11E+14 7.48E+14 2.88E+15 8.26E+14 7.28E+19 1.96E+16 8.39E+16 1.21E+13 5.87E+13 1.60E+13 1.12E+15 3.21E+15 3.13E+16 1.35E+17 1.45E+18 3.15E+13 6.62E+13 1.09E+14 1.42E+14 1.80E+14 2.00E+14 2.31E+14 2.49E+14 1.99E+14 1.66E+14 2.09E+14 1.41E+14 5.54E+13 5.42E+13 2.34E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.966  3.67E+22 7.19E+21 6.74E+22 1.42E+15 1.49E+15 5.74E+15 1.65E+15 7.06E+21 4.51E+17 2.49E+18 7.85E+13 5.20E+14 1.22E+14 1.92E+16 7.23E+16 1.14E+18 6.95E+18 1.23E+20 6.28E+13 1.32E+14 2.19E+14 2.83E+14 3.60E+14 4.01E+14 4.62E+14 4.98E+14 3.98E+14 3.33E+14 4.18E+14 2.82E+14 1.11E+14 1.08E+14 4.65E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  3.146  3.55E+24 6.96E+23 6.48E+24 2.83E+15 2.97E+15 1.15E+16 3.28E+15 6.85E+23 1.04E+19 7.38E+19 5.09E+14 4.61E+15 9.36E+14 3.29E+17 1.63E+18 4.12E+19 3.59E+20 1.04E+22 1.25E+14 2.63E+14 4.37E+14 5.66E+14 7.19E+14 8.01E+14 9.23E+14 9.96E+14 7.95E+14 6.65E+14 8.35E+14 5.63E+14 2.22E+14 2.17E+14 9.27E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  3.317  3.44E+26 6.73E+25 6.24E+26 5.64E+15 5.93E+15 2.29E+16 6.53E+15 6.64E+25 2.38E+20 2.19E+21 3.30E+15 4.09E+16 7.15E+15 5.63E+18 3.66E+19 1.49E+21 1.85E+22 8.83E+23 2.49E+14 5.25E+14 8.72E+14 1.13E+15 1.44E+15 1.60E+15 1.85E+15 1.99E+15 1.59E+15 1.33E+15 1.67E+15 1.13E+15 4.43E+14 4.33E+14 1.84E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  3.479  3.33E+28 6.52E+27 6.02E+28 1.12E+16 1.18E+16 4.56E+16 1.30E+16 6.44E+27 5.46E+21 6.49E+22 2.14E+16 3.63E+17 5.46E+16 9.64E+19 8.24E+20 5.40E+22 9.54E+23 7.49E+25 4.96E+14 1.05E+15 1.74E+15 2.26E+15 2.87E+15 3.20E+15 3.69E+15 3.98E+15 3.18E+15 2.66E+15 3.34E+15 2.25E+15 8.86E+14 8.66E+14 3.67E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  3.633  3.22E+30 6.32E+29 5.81E+30 2.24E+16 2.36E+16 9.09E+16 2.59E+16 6.25E+29 1.25E+23 1.92E+24 1.39E+17 3.22E+18 4.18E+17 1.65E+21 1.85E+22 1.96E+24 4.92E+25 6.36E+27 9.88E+14 2.09E+15 3.48E+15 4.51E+15 5.73E+15 6.39E+15 7.37E+15 7.96E+15 6.35E+15 5.32E+15 6.68E+15 4.50E+15 1.77E+15 1.73E+15 7.31E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  3.782  3.12E+32 6.12E+31 5.61E+32 4.47E+16 4.70E+16 1.81E+17 5.16E+16 6.06E+31 2.88E+24 5.70E+25 9.02E+17 2.85E+19 3.19E+18 2.83E+22 4.17E+23 7.10E+25 2.54E+27 5.39E+29 1.97E+15 4.17E+15 6.94E+15 9.01E+15 1.15E+16 1.28E+16 1.47E+16 1.59E+16 1.27E+16 1.06E+16 1.34E+16 9.01E+15 3.54E+15 3.46E+15 1.46E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.924  3.03E+34 5.93E+33 5.43E+34 8.92E+16 9.37E+16 3.62E+17 1.03E+17 5.88E+33 6.61E+25 1.69E+27 5.85E+18 2.53E+20 2.44E+19 4.84E+23 9.39E+24 2.57E+27 1.31E+29 4.58E+31 3.92E+15 8.33E+15 1.39E+16 1.80E+16 2.29E+16 2.55E+16 2.95E+16 3.18E+16 2.54E+16 2.13E+16 2.67E+16 1.80E+16 7.09E+15 6.93E+15 2.90E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  4.062  2.93E+36 5.74E+35 5.25E+36 1.78E+17 1.87E+17 7.22E+17 2.05E+17 5.71E+35 1.52E+27 5.02E+28 3.80E+19 2.24E+21 1.86E+20 8.29E+24 2.11E+26 9.32E+28 6.75E+30 3.88E+33 7.81E+15 1.66E+16 2.77E+16 3.60E+16 4.58E+16 5.11E+16 5.89E+16 6.36E+16 5.08E+16 4.25E+16 5.34E+16 3.60E+16 1.42E+16 1.39E+16 5.77E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  4.195  2.84E+38 5.57E+37 5.08E+38 3.55E+17 3.73E+17 1.44E+18 4.08E+17 5.53E+37 3.48E+28 1.49E+30 2.46E+20 1.99E+22 1.42E+21 1.42E+26 4.76E+27 3.38E+30 3.48E+32 3.29E+35 1.56E+16 3.31E+16 5.52E+16 7.18E+16 9.14E+16 1.02E+17 1.18E+17 1.27E+17 1.02E+17 8.50E+16 1.07E+17 7.20E+16 2.83E+16 2.77E+16 1.15E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  4.324  2.75E+40 5.40E+39 4.91E+40 7.07E+17 7.43E+17 2.87E+18 8.12E+17 5.37E+39 8.00E+29 4.41E+31 1.60E+21 1.76E+23 1.09E+22 2.43E+27 1.07E+29 1.22E+32 1.80E+34 2.79E+37 3.10E+16 6.61E+16 1.10E+17 1.43E+17 1.83E+17 2.04E+17 2.35E+17 2.54E+17 2.03E+17 1.70E+17 2.14E+17 1.44E+17 5.67E+16 5.54E+16 2.29E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  4.450  2.67E+42 5.23E+41 4.76E+42 1.41E+18 1.48E+18 5.73E+18 1.62E+18 5.21E+41 1.84E+31 1.31E+33 1.04E+22 1.56E+24 8.32E+22 4.16E+28 2.41E+30 4.43E+33 9.27E+35 2.37E+39 6.18E+16 1.32E+17 2.20E+17 2.87E+17 3.65E+17 4.08E+17 4.71E+17 5.08E+17 4.06E+17 3.40E+17 4.27E+17 2.88E+17 1.13E+17 1.11E+17 4.55E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  4.572  2.59E+44 5.07E+43 4.60E+44 2.81E+18 2.95E+18 1.14E+19 3.22E+18 5.05E+43 4.22E+32 3.88E+34 6.72E+22 1.39E+25 6.35E+23 7.12E+29 5.42E+31 1.61E+35 4.78E+37 2.01E+41 1.23E+17 2.63E+17 4.40E+17 5.73E+17 7.30E+17 8.15E+17 9.41E+17 1.02E+18 8.12E+17 6.79E+17 8.54E+17 5.76E+17 2.27E+17 2.22E+17 9.06E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  4.690  2.51E+46 4.92E+45 4.46E+46 5.61E+18 5.89E+18 2.28E+19 6.41E+18 4.90E+45 9.68E+33 1.15E+36 4.36E+23 1.23E+26 4.86E+24 1.22E+31 1.22E+33 5.82E+36 2.47E+39 1.71E+43 2.45E+17 5.25E+17 8.78E+17 1.14E+18 1.46E+18 1.63E+18 1.88E+18 2.03E+18 1.62E+18 1.36E+18 1.71E+18 1.15E+18 4.53E+17 4.43E+17 1.80E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 43 A=100: Negative-parity Spin-dependent Level Density [MeV-1] for TC100  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.166  1.00E+00 3.02E+00 1.57E+01 0.00E+00 7.11E-01 1.31E+00 1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.235  2.00E+00 4.13E+00 2.44E+01 0.00E+00 5.93E-01 1.22E+00 2.19E+00 1.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.287  3.00E+00 9.03E+00 5.53E+01 0.00E+00 2.27E+00 2.10E+00 2.61E+00 1.38E+00 6.68E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.332  7.00E+00 1.88E+01 1.05E+02 1.89E+00 5.80E+00 2.75E+00 3.67E+00 3.26E+00 1.00E+00 4.45E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.371  1.30E+01 3.06E+01 1.86E+02 4.30E+00 6.63E+00 3.92E+00 6.65E+00 4.74E+00 2.61E+00 1.11E+00 6.68E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.406  2.20E+01 4.13E+01 2.71E+02 4.38E+00 7.40E+00 7.44E+00 9.08E+00 5.18E+00 4.11E+00 2.38E+00 1.00E+00 3.34E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.439  3.50E+01 6.41E+01 4.31E+02 9.21E+00 1.02E+01 1.10E+01 1.02E+01 8.22E+00 8.48E+00 3.05E+00 2.72E+00 8.91E-01 1.11E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.469  5.40E+01 8.55E+01 6.16E+02 1.30E+01 1.14E+01 1.29E+01 1.39E+01 1.03E+01 1.03E+01 6.53E+00 4.77E+00 1.78E+00 7.79E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.497  8.30E+01 1.46E+02 1.12E+03 1.68E+01 2.04E+01 2.23E+01 2.42E+01 1.72E+01 1.73E+01 1.29E+01 9.78E+00 3.16E+00 1.78E+00 4.45E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
