                    *********************************************************************************
                    *  Z= 95 A=243: Positive-Parity Spin-dependent Level Density [MeV-1] for AM243  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   9.50  0.656  9.49E+09 1.75E+10 3.17E+11 3.10E+08 6.16E+08 9.15E+08 1.20E+09 1.30E+09 1.45E+09 1.46E+09 1.46E+09 1.38E+09 1.29E+09 1.19E+09 1.01E+09 8.60E+08 7.17E+08 5.91E+08 4.67E+08 3.59E+08 2.64E+08 1.95E+08 1.39E+08 1.01E+08 6.89E+07 4.88E+07 3.10E+07 2.05E+07 1.31E+07 8.38E+06 5.36E+06 3.19E+06 1.58E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.673  2.55E+10 4.65E+10 8.53E+11 8.09E+08 1.61E+09 2.39E+09 3.14E+09 3.39E+09 3.80E+09 3.83E+09 3.85E+09 3.65E+09 3.42E+09 3.16E+09 2.69E+09 2.31E+09 1.94E+09 1.61E+09 1.28E+09 9.94E+08 7.37E+08 5.51E+08 3.98E+08 2.94E+08 2.03E+08 1.46E+08 9.44E+07 6.38E+07 4.16E+07 2.71E+07 1.78E+07 1.08E+07 5.44E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.706  2.09E+11 3.20E+11 6.00E+12 5.36E+09 1.07E+10 1.58E+10 2.08E+10 2.26E+10 2.54E+10 2.57E+10 2.60E+10 2.48E+10 2.34E+10 2.17E+10 1.87E+10 1.62E+10 1.37E+10 1.15E+10 9.32E+09 7.34E+09 5.53E+09 4.21E+09 3.11E+09 2.36E+09 1.66E+09 1.23E+09 8.22E+08 5.74E+08 3.88E+08 2.62E+08 1.79E+08 1.12E+08 5.82E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.737  1.43E+12 2.13E+12 4.07E+13 3.45E+10 6.85E+10 1.02E+11 1.34E+11 1.46E+11 1.65E+11 1.67E+11 1.70E+11 1.63E+11 1.54E+11 1.44E+11 1.25E+11 1.09E+11 9.36E+10 7.93E+10 6.49E+10 5.18E+10 3.96E+10 3.06E+10 2.30E+10 1.78E+10 1.28E+10 9.71E+09 6.65E+09 4.78E+09 3.32E+09 2.31E+09 1.63E+09 1.04E+09 5.56E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.767  6.16E+12 7.33E+12 1.78E+14 5.80E+10 1.15E+11 1.70E+11 2.22E+11 2.70E+11 3.17E+11 3.63E+11 3.78E+11 4.17E+11 4.75E+11 5.08E+11 5.59E+11 5.75E+11 5.38E+11 4.92E+11 4.20E+11 3.51E+11 2.72E+11 2.13E+11 1.63E+11 1.28E+11 9.39E+10 7.24E+10 5.06E+10 3.72E+10 2.65E+10 1.89E+10 1.36E+10 8.89E+09 4.84E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.796  1.41E+13 8.50E+12 3.01E+14 2.42E+10 4.53E+10 6.57E+10 8.50E+10 7.42E+10 7.47E+10 1.04E+11 9.51E+10 8.88E+10 1.56E+11 1.72E+11 2.78E+11 3.63E+11 4.49E+11 5.01E+11 5.84E+11 6.70E+11 7.34E+11 7.22E+11 6.48E+11 5.40E+11 4.75E+11 4.05E+11 3.27E+11 2.63E+11 1.98E+11 1.45E+11 1.06E+11 7.06E+10 3.90E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.824  2.18E+13 6.96E+12 2.95E+14 7.58E+09 9.44E+09 1.13E+10 1.56E+10 2.66E+10 5.27E+09 3.35E+10 3.89E+10 5.62E+10 6.96E+10 4.42E+10 6.76E+10 1.30E+11 9.95E+10 6.16E+10 1.43E+11 2.62E+11 4.34E+11 6.02E+11 7.01E+11 6.88E+11 6.63E+11 5.97E+11 5.32E+11 4.41E+11 3.79E+11 3.14E+11 2.57E+11 1.73E+11 9.57E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  0.851  2.97E+13 8.85E+12 4.13E+14 2.38E+09 1.97E+09 1.93E+09 2.85E+09 9.53E+09 3.71E+08 1.08E+10 1.59E+10 3.55E+10 3.11E+10 1.14E+10 1.64E+10 4.63E+10 2.20E+10 7.57E+09 3.48E+10 1.03E+11 2.56E+11 5.02E+11 7.58E+11 8.77E+11 9.26E+11 8.82E+11 8.65E+11 7.41E+11 7.27E+11 6.79E+11 6.21E+11 4.27E+11 2.35E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  0.877  4.11E+13 1.39E+13 6.82E+14 7.44E+08 4.10E+08 3.30E+08 5.21E+08 3.42E+09 2.62E+07 3.47E+09 6.50E+09 2.24E+10 1.39E+10 2.93E+09 4.00E+09 1.65E+10 4.88E+09 9.30E+08 8.51E+09 4.01E+10 1.52E+11 4.19E+11 8.19E+11 1.12E+12 1.29E+12 1.30E+12 1.41E+12 1.24E+12 1.39E+12 1.47E+12 1.50E+12 1.05E+12 5.78E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  0.903  6.02E+13 2.44E+13 1.24E+15 2.33E+08 8.53E+07 5.66E+07 9.53E+07 1.23E+09 1.84E+06 1.12E+09 2.66E+09 1.42E+10 6.22E+09 7.55E+08 9.74E+08 5.90E+09 1.08E+09 1.14E+08 2.08E+09 1.57E+10 8.95E+10 3.49E+11 8.85E+11 1.42E+12 1.81E+12 1.92E+12 2.29E+12 2.09E+12 2.68E+12 3.18E+12 3.63E+12 2.58E+12 1.42E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  0.927  9.56E+13 4.63E+13 2.43E+15 7.31E+07 1.78E+07 9.69E+06 1.74E+07 4.39E+08 1.30E+05 3.60E+08 1.09E+09 8.97E+09 2.78E+09 1.94E+08 2.37E+08 2.11E+09 2.40E+08 1.41E+07 5.07E+08 6.13E+09 5.29E+10 2.91E+11 9.57E+11 1.81E+12 2.52E+12 2.83E+12 3.72E+12 3.51E+12 5.13E+12 6.89E+12 8.76E+12 6.34E+12 3.49E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  0.951  1.65E+14 9.34E+13 5.00E+15 2.29E+07 3.70E+06 1.66E+06 3.19E+06 1.57E+08 9.16E+03 1.16E+08 4.45E+08 5.67E+09 1.24E+09 5.00E+07 5.76E+07 7.52E+08 5.31E+07 1.73E+06 1.24E+08 2.40E+09 3.13E+10 2.43E+11 1.03E+12 2.31E+12 3.53E+12 4.18E+12 6.06E+12 5.90E+12 9.84E+12 1.49E+13 2.12E+13 1.56E+13 8.56E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.009  1.08E+15 6.41E+14 3.55E+16 1.26E+06 7.34E+04 2.01E+04 4.56E+04 1.21E+07 1.21E+01 6.84E+06 4.76E+07 1.80E+09 1.66E+08 1.68E+06 1.68E+06 5.73E+07 1.22E+06 9.14E+03 3.65E+06 2.29E+08 8.39E+09 1.54E+11 1.26E+12 4.23E+12 8.13E+12 1.11E+13 2.05E+13 2.16E+13 5.01E+13 1.03E+14 1.92E+14 1.48E+14 8.10E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.064  8.23E+15 5.08E+15 2.86E+17 6.92E+04 1.45E+03 2.44E+02 6.53E+02 9.32E+05 0.00E+00 4.03E+05 5.09E+06 5.73E+08 2.23E+07 5.66E+04 4.91E+04 4.37E+06 2.83E+04 4.84E+01 1.07E+05 2.19E+07 2.25E+09 9.79E+10 1.53E+12 7.74E+12 1.88E+13 2.93E+13 6.90E+13 7.89E+13 2.55E+14 7.10E+14 1.74E+15 1.40E+15 7.66E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.165  9.72E+17 3.80E+17 2.17E+19 2.09E+02 5.71E-01 0.00E+00 0.00E+00 5.52E+03 0.00E+00 1.40E+03 5.82E+04 5.79E+07 3.98E+05 6.40E+01 4.19E+01 2.53E+04 1.51E+01 0.00E+00 9.33E+01 2.00E+05 1.62E+08 3.95E+10 2.26E+12 2.60E+13 9.98E+13 2.05E+14 7.87E+14 1.05E+15 6.63E+15 3.38E+16 1.43E+17 1.26E+17 6.85E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.346  1.31E+22 2.62E+21 1.51E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.93E-01 0.00E+00 1.68E-02 7.61E+00 5.90E+05 1.27E+02 0.00E+00 0.00E+00 8.54E-01 0.00E+00 0.00E+00 0.00E+00 1.67E+01 8.42E+05 6.42E+09 4.92E+12 2.92E+14 2.82E+15 1.01E+16 1.02E+17 1.89E+17 4.47E+18 7.65E+19 9.70E+20 1.02E+21 5.48E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.504  5.23E+22 5.23E+21 3.01E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.02E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.37E+03 1.04E+09 1.07E+13 3.28E+15 7.99E+16 4.93E+17 2.03E+17 3.76E+17 8.93E+18 1.53E+20 1.94E+21 2.03E+21 1.10E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.648  1.31E+23 1.05E+22 6.03E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.14E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.27E+01 1.70E+08 2.34E+13 3.69E+16 2.26E+18 2.42E+19 4.05E+17 7.50E+17 1.78E+19 3.06E+20 3.88E+21 4.07E+21 2.19E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  1.780  2.94E+23 2.22E+22 1.26E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.76E+07 5.10E+13 4.15E+17 6.39E+19 1.18E+21 8.08E+17 1.50E+18 3.57E+19 6.12E+20 7.76E+21 8.13E+21 4.39E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  1.903  9.14E+23 1.02E+23 5.16E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.48E+06 1.11E+14 4.67E+18 1.81E+21 5.80E+22 1.61E+18 2.98E+18 7.13E+19 1.22E+21 1.55E+22 1.63E+22 8.77E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.018  1.63E+25 2.98E+24 1.38E+26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.28E+05 2.43E+14 5.25E+19 5.12E+22 2.85E+24 3.21E+18 5.95E+18 1.42E+20 2.45E+21 3.10E+22 3.25E+22 1.75E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.128  7.37E+26 1.41E+26 6.49E+27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.18E+05 5.29E+14 5.90E+20 1.45E+24 1.39E+26 6.39E+18 1.19E+19 2.85E+20 4.89E+21 6.21E+22 6.50E+22 3.51E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.231  3.58E+28 6.88E+27 3.16E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.92E+04 1.15E+15 6.63E+21 4.09E+25 6.84E+27 1.27E+19 2.37E+19 5.69E+20 9.78E+21 1.24E+23 1.30E+23 7.02E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.331  1.75E+30 3.36E+29 1.55E+31 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.13E+03 2.51E+15 7.46E+22 1.16E+27 3.35E+29 2.54E+19 4.72E+19 1.14E+21 1.96E+22 2.48E+23 2.60E+23 1.40E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.426  8.58E+31 1.65E+31 7.57E+32 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.08E+02 5.48E+15 8.39E+23 3.28E+28 1.64E+31 5.05E+19 9.41E+19 2.27E+21 3.91E+22 4.96E+23 5.20E+23 2.81E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  2.517  4.20E+33 8.06E+32 3.71E+34 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.20E+16 9.43E+24 9.27E+29 8.05E+32 1.01E+20 1.88E+20 4.54E+21 7.82E+22 9.93E+23 1.04E+24 5.61E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  2.606  2.06E+35 3.95E+34 1.82E+36 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.61E+16 1.06E+26 2.62E+31 3.95E+34 2.00E+20 3.74E+20 9.07E+21 1.56E+23 1.99E+24 2.08E+24 1.12E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  2.691  1.01E+37 1.94E+36 8.91E+37 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.68E+16 1.19E+27 7.42E+32 1.94E+36 3.99E+20 7.47E+20 1.81E+22 3.13E+23 3.97E+24 4.16E+24 2.24E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  2.774  4.94E+38 9.49E+37 4.37E+39 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.24E+17 1.34E+28 2.10E+34 9.49E+37 7.96E+20 1.49E+21 3.62E+22 6.25E+23 7.94E+24 8.32E+24 4.49E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  2.854  2.42E+40 4.65E+39 2.14E+41 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.70E+17 1.51E+29 5.94E+35 4.65E+39 1.59E+21 2.97E+21 7.24E+22 1.25E+24 1.59E+25 1.66E+25 8.98E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  2.933  1.19E+42 2.28E+41 1.05E+43 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.89E+17 1.70E+30 1.68E+37 2.28E+41 3.16E+21 5.92E+21 1.45E+23 2.50E+24 3.18E+25 3.33E+25 1.79E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.009  5.82E+43 1.12E+43 5.14E+44 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.28E+18 1.91E+31 4.75E+38 1.12E+43 6.29E+21 1.18E+22 2.89E+23 5.00E+24 6.35E+25 6.65E+25 3.59E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 95 A=243: Negative-parity Spin-dependent Level Density [MeV-1] for AM243  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.106  3.00E+00 1.99E+01 2.23E+02 0.00E+00 2.00E+00 3.51E+00 3.02E+00 2.27E+00 2.27E+00 1.51E+00 1.51E+00 1.51E+00 1.51E+00 7.56E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.150  9.00E+00 2.43E+01 2.86E+02 8.33E-01 2.30E+00 3.56E+00 3.15E+00 2.52E+00 2.52E+00 2.52E+00 1.89E+00 1.26E+00 1.26E+00 1.26E+00 6.30E-01 6.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
