                    *********************************************************************************
                    *  Z= 95 A=243: Positive-Parity Spin-dependent Level Density [MeV-1] for AM243  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   2.25  0.319  1.12E+03 2.89E+03 3.95E+04 8.14E+01 1.72E+02 2.52E+02 3.11E+02 3.14E+02 3.34E+02 3.08E+02 2.67E+02 2.31E+02 1.83E+02 1.49E+02 9.98E+01 6.88E+01 4.55E+01 3.28E+01 2.11E+01 1.15E+01 4.32E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.336  2.07E+03 4.71E+03 6.54E+04 1.31E+02 2.67E+02 3.95E+02 4.88E+02 5.10E+02 5.43E+02 4.92E+02 4.49E+02 3.80E+02 3.05E+02 2.46E+02 1.73E+02 1.27E+02 7.61E+01 5.39E+01 3.51E+01 2.30E+01 1.10E+01 3.78E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.353  3.87E+03 9.71E+03 1.38E+05 2.59E+02 5.31E+02 7.88E+02 9.81E+02 9.98E+02 1.08E+03 1.03E+03 9.07E+02 8.04E+02 6.50E+02 5.32E+02 3.70E+02 2.76E+02 1.85E+02 1.28E+02 7.60E+01 4.99E+01 2.95E+01 1.53E+01 5.94E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.369  7.05E+03 1.57E+04 2.26E+05 4.15E+02 8.38E+02 1.24E+03 1.55E+03 1.63E+03 1.74E+03 1.63E+03 1.49E+03 1.30E+03 1.07E+03 8.85E+02 6.33E+02 4.63E+02 3.16E+02 2.15E+02 1.42E+02 8.05E+01 5.06E+01 2.93E+01 1.40E+01 4.32E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.384  1.30E+04 3.19E+04 4.65E+05 8.20E+02 1.65E+03 2.43E+03 3.06E+03 3.16E+03 3.46E+03 3.32E+03 3.01E+03 2.67E+03 2.20E+03 1.82E+03 1.33E+03 1.01E+03 7.02E+02 4.89E+02 3.13E+02 1.97E+02 1.06E+02 6.10E+01 3.24E+01 1.64E+01 6.48E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.398  2.34E+04 5.16E+04 7.58E+05 1.31E+03 2.64E+03 3.91E+03 4.96E+03 5.15E+03 5.56E+03 5.25E+03 4.84E+03 4.28E+03 3.59E+03 3.00E+03 2.18E+03 1.66E+03 1.19E+03 8.29E+02 5.39E+02 3.32E+02 1.99E+02 1.04E+02 5.64E+01 3.17E+01 1.46E+01 4.50E+00 1.62E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.412  4.27E+04 1.03E+05 1.53E+06 2.50E+03 5.04E+03 7.43E+03 9.49E+03 9.92E+03 1.08E+04 1.03E+04 9.72E+03 8.63E+03 7.26E+03 6.13E+03 4.56E+03 3.51E+03 2.49E+03 1.79E+03 1.20E+03 7.44E+02 4.39E+02 2.52E+02 1.28E+02 6.73E+01 3.70E+01 1.78E+01 5.58E+00 1.62E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.426  7.60E+04 1.64E+05 2.47E+06 3.99E+03 7.95E+03 1.17E+04 1.51E+04 1.59E+04 1.72E+04 1.64E+04 1.53E+04 1.36E+04 1.18E+04 9.91E+03 7.43E+03 5.72E+03 4.16E+03 2.96E+03 1.99E+03 1.28E+03 7.67E+02 4.43E+02 2.39E+02 1.22E+02 6.49E+01 3.72E+01 1.55E+01 3.96E+00 1.08E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.439  1.37E+05 3.21E+05 4.93E+06 7.52E+03 1.50E+04 2.21E+04 2.85E+04 3.00E+04 3.29E+04 3.17E+04 3.01E+04 2.72E+04 2.33E+04 1.98E+04 1.52E+04 1.18E+04 8.66E+03 6.32E+03 4.27E+03 2.71E+03 1.70E+03 1.02E+03 5.57E+02 3.00E+02 1.53E+02 7.88E+01 4.02E+01 1.71E+01 4.38E+00 1.25E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.451  2.40E+05 5.10E+05 7.86E+06 1.19E+04 2.38E+04 3.51E+04 4.53E+04 4.77E+04 5.21E+04 4.99E+04 4.70E+04 4.23E+04 3.70E+04 3.17E+04 2.43E+04 1.88E+04 1.41E+04 1.03E+04 7.06E+03 4.60E+03 2.84E+03 1.74E+03 9.78E+02 5.40E+02 2.81E+02 1.40E+02 6.99E+01 3.52E+01 9.95E+00 2.87E+00 1.08E+00 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
