                    *********************************************************************************
                    *  Z= 29 A= 64: Positive-Parity Spin-dependent Level Density [MeV-1] for CU 64  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   9.50  1.278  3.75E+04 3.39E+04 3.01E+05 2.51E+03 2.95E+03 6.06E+03 5.10E+03 5.41E+03 3.80E+03 2.98E+03 1.86E+03 1.30E+03 6.95E+02 3.83E+02 3.12E+02 2.10E+02 1.54E+02 9.65E+01 6.71E+01 2.98E+01 1.46E+01 9.05E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  1.311  5.93E+04 5.32E+04 4.78E+05 3.85E+03 4.52E+03 9.38E+03 7.86E+03 8.45E+03 6.08E+03 4.67E+03 3.12E+03 1.93E+03 1.02E+03 7.67E+02 4.96E+02 3.32E+02 3.05E+02 1.64E+02 1.01E+02 7.18E+01 2.67E+01 1.39E+01 5.43E+00 6.44E-01 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  1.375  1.50E+05 1.29E+05 1.18E+06 9.16E+03 1.05E+04 2.21E+04 1.89E+04 2.03E+04 1.49E+04 1.18E+04 7.66E+03 4.24E+03 2.73E+03 1.90E+03 1.43E+03 1.09E+03 7.28E+02 5.69E+02 3.56E+02 2.08E+02 1.28E+02 6.28E+01 2.29E+01 9.09E+00 4.15E+00 1.11E+00 9.89E-01 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  1.436  3.66E+05 3.03E+05 2.83E+06 2.09E+04 2.44E+04 5.23E+04 4.45E+04 4.84E+04 3.62E+04 2.69E+04 1.52E+04 9.81E+03 6.66E+03 4.99E+03 3.87E+03 2.91E+03 2.24E+03 1.51E+03 1.09E+03 7.16E+02 3.74E+02 2.42E+02 9.89E+01 4.76E+01 2.43E+01 8.77E+00 4.00E+00 2.66E+00 1.21E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.495  8.62E+05 6.88E+05 6.45E+06 4.87E+04 5.60E+04 1.22E+05 1.04E+05 1.14E+05 7.59E+04 4.96E+04 3.09E+04 2.19E+04 1.64E+04 1.27E+04 9.90E+03 8.00E+03 5.80E+03 4.37E+03 2.98E+03 1.97E+03 1.30E+03 6.80E+02 3.94E+02 2.08E+02 8.40E+01 4.04E+01 2.16E+01 1.39E+01 6.46E+00 3.62E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.551  1.93E+06 1.44E+06 1.36E+07 1.13E+05 1.29E+05 2.81E+05 2.25E+05 2.10E+05 1.20E+05 9.14E+04 6.14E+04 4.93E+04 3.90E+04 3.14E+04 2.54E+04 2.01E+04 1.55E+04 1.14E+04 8.23E+03 5.59E+03 3.50E+03 2.29E+03 1.22E+03 6.82E+02 3.85E+02 1.56E+02 9.51E+01 5.24E+01 1.94E+01 1.32E+01 6.03E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.606  3.53E+06 1.77E+06 1.71E+07 1.56E+05 1.76E+05 3.58E+05 2.34E+05 2.22E+05 1.30E+05 1.08E+05 7.98E+04 6.70E+04 5.31E+04 4.58E+04 3.63E+04 2.88E+04 2.29E+04 1.66E+04 1.22E+04 8.49E+03 5.45E+03 3.39E+03 2.03E+03 1.18E+03 5.81E+02 3.32E+02 1.48E+02 8.35E+01 4.31E+01 1.77E+01 9.38E+00 3.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.658  5.52E+06 2.20E+06 2.17E+07 2.15E+05 2.42E+05 4.56E+05 2.44E+05 2.33E+05 1.41E+05 1.28E+05 1.04E+05 9.11E+04 7.25E+04 6.67E+04 5.20E+04 4.14E+04 3.38E+04 2.42E+04 1.81E+04 1.29E+04 8.49E+03 5.01E+03 3.37E+03 1.68E+03 7.76E+02 5.08E+02 2.01E+02 1.15E+02 6.69E+01 2.22E+01 1.27E+01 6.90E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.709  8.00E+06 2.77E+06 2.81E+07 2.97E+05 3.31E+05 5.82E+05 2.54E+05 2.46E+05 1.53E+05 1.52E+05 1.35E+05 1.24E+05 9.89E+04 9.72E+04 7.43E+04 5.94E+04 5.00E+04 3.53E+04 2.68E+04 1.96E+04 1.32E+04 7.41E+03 5.61E+03 2.39E+03 9.71E+02 6.84E+02 2.55E+02 1.46E+02 9.06E+01 2.67E+01 1.61E+01 1.01E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.759  1.11E+07 3.53E+06 3.69E+07 4.11E+05 4.54E+05 7.42E+05 2.64E+05 2.59E+05 1.66E+05 1.80E+05 1.76E+05 1.68E+05 1.35E+05 1.42E+05 1.06E+05 8.54E+04 7.38E+04 5.15E+04 3.97E+04 2.98E+04 2.06E+04 1.10E+04 9.31E+03 3.39E+03 1.17E+03 8.60E+02 3.08E+02 1.77E+02 1.14E+02 3.13E+01 1.94E+01 1.32E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.807  1.52E+07 4.56E+06 4.91E+07 5.68E+05 6.23E+05 9.46E+05 2.75E+05 2.73E+05 1.80E+05 2.13E+05 2.29E+05 2.29E+05 1.84E+05 2.06E+05 1.52E+05 1.23E+05 1.09E+05 7.50E+04 5.89E+04 4.54E+04 3.21E+04 1.62E+04 1.55E+04 4.83E+03 1.36E+03 1.04E+03 3.61E+02 2.08E+02 1.38E+02 3.58E+01 2.28E+01 1.63E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.854  2.04E+07 5.96E+06 6.62E+07 7.85E+05 8.53E+05 1.21E+06 2.86E+05 2.87E+05 1.95E+05 2.53E+05 2.98E+05 3.11E+05 2.51E+05 3.01E+05 2.18E+05 1.76E+05 1.61E+05 1.09E+05 8.73E+04 6.90E+04 5.00E+04 2.40E+04 2.57E+04 6.86E+03 1.59E+03 1.21E+03 4.14E+02 2.39E+02 1.62E+02 4.03E+01 2.61E+01 1.95E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.967  4.30E+07 1.21E+07 1.47E+08 1.76E+06 1.88E+06 2.21E+06 3.17E+05 3.27E+05 2.39E+05 3.86E+05 5.75E+05 6.68E+05 5.46E+05 7.71E+05 5.33E+05 4.35E+05 4.28E+05 2.80E+05 2.34E+05 1.97E+05 1.51E+05 6.37E+04 9.15E+04 1.65E+04 2.34E+03 1.79E+03 5.47E+02 3.17E+02 2.21E+02 5.16E+01 3.45E+01 2.74E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  2.073  9.06E+07 2.59E+07 3.42E+08 3.96E+06 4.13E+06 4.06E+06 3.51E+05 3.72E+05 2.93E+05 5.89E+05 1.11E+06 1.44E+06 1.19E+06 1.98E+06 1.31E+06 1.08E+06 1.14E+06 7.18E+05 6.25E+05 5.60E+05 4.58E+05 1.69E+05 3.26E+05 3.99E+04 3.45E+03 2.65E+03 6.80E+02 3.94E+02 2.80E+02 6.29E+01 4.29E+01 3.52E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  2.271  4.85E+08 1.32E+08 2.08E+09 2.00E+07 2.00E+07 1.37E+07 4.30E+05 4.83E+05 4.41E+05 1.37E+06 4.15E+06 6.67E+06 5.61E+06 1.30E+07 7.83E+06 6.57E+06 8.00E+06 4.72E+06 4.47E+06 4.55E+06 4.19E+06 1.20E+06 4.12E+06 2.32E+05 7.48E+03 5.82E+03 9.46E+02 5.50E+02 3.99E+02 8.54E+01 5.96E+01 5.10E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  2.622  2.50E+10 4.77E+09 1.07E+11 5.09E+08 4.68E+08 1.55E+08 6.44E+05 8.11E+05 9.98E+05 7.47E+06 5.77E+07 1.43E+08 1.25E+08 5.61E+08 2.82E+08 2.45E+08 3.97E+08 2.04E+08 2.29E+08 3.00E+08 3.52E+08 5.98E+07 6.61E+08 7.85E+06 3.51E+04 2.79E+04 1.48E+03 8.61E+02 6.36E+02 1.31E+02 9.31E+01 8.25E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  2.932  9.00E+11 1.70E+11 4.16E+12 1.30E+10 1.10E+10 1.76E+09 9.66E+05 1.36E+06 2.26E+06 4.07E+07 8.03E+08 3.07E+09 2.80E+09 2.42E+10 1.01E+10 9.16E+09 1.97E+10 8.81E+09 1.17E+10 1.98E+10 2.96E+10 2.99E+09 1.32E+09 2.65E+08 1.65E+05 1.34E+05 2.01E+03 1.17E+03 8.73E+02 1.76E+02 1.27E+02 1.14E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  3.211  4.38E+13 8.41E+12 2.35E+14 3.31E+11 2.57E+11 2.00E+10 1.45E+06 2.29E+06 5.11E+06 2.21E+08 1.12E+10 6.60E+10 6.25E+10 1.05E+12 3.64E+11 3.42E+11 9.78E+11 3.81E+11 6.01E+11 1.31E+12 2.48E+12 1.49E+11 2.63E+09 8.97E+09 7.77E+05 6.43E+05 2.73E+03 1.48E+03 1.11E+03 2.21E+02 1.60E+02 1.45E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  3.469  2.52E+15 4.87E+14 1.48E+16 8.42E+12 6.01E+12 2.27E+11 2.17E+06 3.85E+06 1.16E+07 1.20E+09 1.56E+11 1.42E+12 1.40E+12 4.52E+13 1.31E+13 1.28E+13 4.86E+13 1.64E+13 3.08E+13 8.62E+13 2.08E+14 7.47E+12 5.24E+09 3.03E+11 3.65E+06 3.09E+06 3.71E+03 1.88E+03 1.35E+03 2.66E+02 1.94E+02 1.77E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  3.708  1.63E+17 3.16E+16 1.01E+18 2.14E+14 1.41E+14 2.58E+12 3.26E+06 6.46E+06 2.61E+07 6.55E+09 2.16E+12 3.04E+13 3.12E+13 1.95E+15 4.71E+14 4.77E+14 2.41E+15 7.10E+14 1.58E+15 5.68E+15 1.75E+16 3.73E+14 1.04E+10 1.03E+13 1.72E+07 1.48E+07 5.05E+03 2.37E+03 1.63E+03 3.11E+02 2.27E+02 2.08E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  3.933  1.14E+19 2.22E+18 7.38E+19 5.46E+15 3.30E+15 2.93E+13 4.89E+06 1.09E+07 5.91E+07 3.56E+10 3.01E+13 6.53E+14 6.97E+14 8.43E+16 1.69E+16 1.78E+16 1.20E+17 3.07E+16 8.08E+16 3.75E+17 1.47E+18 1.86E+16 2.08E+10 3.47E+14 8.08E+07 7.11E+07 6.87E+03 3.00E+03 1.98E+03 3.56E+02 2.61E+02 2.40E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  4.146  8.51E+20 1.66E+20 5.60E+21 1.39E+17 7.73E+16 3.32E+14 7.33E+06 1.82E+07 1.34E+08 1.94E+11 4.19E+14 1.40E+16 1.56E+16 3.64E+18 6.09E+17 6.64E+17 5.94E+18 1.33E+18 4.14E+18 2.47E+19 1.23E+20 9.31E+17 4.15E+10 1.17E+16 3.80E+08 3.41E+08 9.34E+03 3.80E+03 2.41E+03 4.02E+02 2.94E+02 2.71E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  4.348  6.57E+22 1.28E+22 4.39E+23 3.54E+18 1.81E+18 3.77E+15 1.10E+07 3.06E+07 3.02E+08 1.05E+12 5.84E+15 3.01E+17 3.48E+17 1.57E+20 2.19E+19 2.48E+19 2.95E+20 5.73E+19 2.12E+20 1.63E+21 1.04E+22 4.65E+19 8.27E+10 3.97E+17 1.79E+09 1.64E+09 1.27E+04 4.81E+03 2.92E+03 4.47E+02 3.28E+02 3.03E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  4.541  5.21E+24 1.02E+24 3.51E+25 9.03E+19 4.24E+19 4.28E+16 1.65E+07 5.15E+07 6.84E+08 5.73E+12 8.12E+16 6.46E+18 7.77E+18 6.79E+21 7.88E+20 9.26E+20 1.46E+22 2.47E+21 1.09E+22 1.08E+23 8.70E+23 2.32E+21 1.65E+11 1.34E+19 8.40E+09 7.87E+09 1.73E+04 6.08E+03 3.55E+03 4.92E+02 3.61E+02 3.34E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  4.727  4.20E+26 8.20E+25 2.84E+27 2.30E+21 9.93E+20 4.85E+17 2.47E+07 8.65E+07 1.55E+09 3.12E+13 1.13E+18 1.39E+20 1.74E+20 2.93E+23 2.83E+22 3.46E+22 7.26E+23 1.07E+23 5.57E+23 7.10E+24 7.30E+25 1.16E+23 3.29E+11 4.54E+20 3.95E+10 3.78E+10 2.35E+04 7.70E+03 4.30E+03 5.37E+02 3.95E+02 3.66E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  4.905  3.43E+28 6.69E+27 2.33E+29 5.86E+22 2.33E+22 5.51E+18 3.71E+07 1.45E+08 3.50E+09 1.70E+14 1.57E+19 2.98E+21 3.88E+21 1.27E+25 1.02E+24 1.29E+24 3.61E+25 4.62E+24 2.85E+25 4.68E+26 6.13E+27 5.80E+24 6.56E+11 1.53E+22 1.86E+11 1.81E+11 3.19E+04 9.74E+03 5.22E+03 5.82E+02 4.28E+02 3.97E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  5.078  2.82E+30 5.50E+29 1.92E+31 1.49E+24 5.45E+23 6.25E+19 5.56E+07 2.44E+08 7.92E+09 9.23E+14 2.19E+20 6.39E+22 8.66E+22 5.47E+26 3.67E+25 4.82E+25 1.79E+27 1.99E+26 1.46E+27 3.09E+28 5.15E+29 2.90E+26 1.31E+12 5.19E+23 8.73E+11 8.70E+11 4.34E+04 1.23E+04 6.34E+03 6.27E+02 4.62E+02 4.29E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  5.244  2.33E+32 4.55E+31 1.59E+33 3.80E+25 1.28E+25 7.10E+20 8.34E+07 4.10E+08 1.79E+10 5.02E+15 3.05E+21 1.37E+24 1.93E+24 2.36E+28 1.32E+27 1.80E+27 8.88E+28 8.62E+27 7.49E+28 2.04E+30 4.32E+31 1.45E+28 2.61E+12 1.75E+25 4.10E+12 4.18E+12 5.91E+04 1.56E+04 7.69E+03 6.72E+02 4.95E+02 4.60E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  5.405  1.93E+34 3.77E+33 1.32E+35 9.68E+26 2.99E+26 8.05E+21 1.25E+08 6.89E+08 4.05E+10 2.73E+16 4.24E+22 2.94E+25 4.32E+25 1.02E+30 4.74E+28 6.71E+28 4.41E+30 3.72E+29 3.84E+30 1.34E+32 3.63E+33 7.24E+29 5.20E+12 5.93E+26 1.93E+13 2.00E+13 8.03E+04 1.97E+04 9.34E+03 7.18E+02 5.29E+02 4.92E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  5.562  1.61E+36 3.14E+35 1.10E+37 2.47E+28 7.00E+27 9.14E+22 1.88E+08 1.16E+09 9.16E+10 1.49E+17 5.90E+23 6.32E+26 9.65E+26 4.41E+31 1.70E+30 2.51E+30 2.19E+32 1.61E+31 1.96E+32 8.86E+33 3.05E+35 3.62E+31 1.04E+13 2.01E+28 9.08E+13 9.62E+13 1.09E+05 2.50E+04 1.13E+04 7.63E+02 5.62E+02 5.23E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  5.715  1.34E+38 2.62E+37 9.16E+38 6.28E+29 1.64E+29 1.04E+24 2.81E+08 1.94E+09 2.07E+11 8.09E+17 8.22E+24 1.36E+28 2.16E+28 1.90E+33 6.13E+31 9.35E+31 1.09E+34 6.95E+32 1.01E+34 5.85E+35 2.56E+37 1.81E+33 2.07E+13 6.79E+29 4.27E+14 4.62E+14 1.49E+05 3.16E+04 1.37E+04 8.08E+02 5.96E+02 5.55E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  5.863  1.12E+40 2.19E+39 7.65E+40 1.60E+31 3.84E+30 1.18E+25 4.22E+08 3.27E+09 4.69E+11 4.40E+18 1.14E+26 2.91E+29 4.82E+29 8.22E+34 2.20E+33 3.49E+33 5.39E+35 3.00E+34 5.16E+35 3.86E+37 2.15E+39 9.03E+34 4.12E+13 2.29E+31 2.01E+15 2.22E+15 2.02E+05 4.00E+04 1.67E+04 8.53E+02 6.29E+02 5.86E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 29 A= 64: Negative-parity Spin-dependent Level Density [MeV-1] for CU 64  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.207  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.293  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.359  1.00E+00 1.23E+00 1.23E+01 0.00E+00 0.00E+00 0.00E+00 6.03E-01 0.00E+00 2.52E-02 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
