                    *********************************************************************************
                    *  Z= 48 A=112: Positive-Parity Spin-dependent Level Density [MeV-1] for CD112  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   2.25  0.470  1.10E+01 1.56E+01 8.07E+01 5.86E+00 2.30E+00 2.73E+00 1.09E+00 1.50E+00 4.67E-02 6.41E-01 8.13E-02 1.36E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.496  1.60E+01 2.01E+01 1.06E+02 6.72E+00 3.19E+00 4.30E+00 1.24E+00 1.72E+00 4.67E-02 7.70E-01 7.23E-01 1.36E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.520  2.20E+01 2.94E+01 1.60E+02 8.51E+00 3.83E+00 7.72E+00 2.67E+00 2.23E+00 7.61E-01 1.48E+00 7.23E-01 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.543  3.00E+01 3.92E+01 2.12E+02 8.73E+00 8.17E+00 8.81E+00 4.07E+00 4.87E+00 8.83E-01 2.13E+00 7.75E-01 7.87E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.565  4.20E+01 5.71E+01 3.76E+02 8.60E+00 9.68E+00 1.33E+01 6.24E+00 8.49E+00 2.61E+00 3.76E+00 1.64E+00 2.07E+00 5.07E-02 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.586  5.80E+01 7.13E+01 4.59E+02 1.20E+01 1.28E+01 1.47E+01 7.82E+00 1.01E+01 4.18E+00 5.26E+00 1.64E+00 2.00E+00 1.24E-01 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.607  7.90E+01 9.43E+01 6.57E+02 1.14E+01 1.58E+01 1.95E+01 1.17E+01 1.61E+01 5.49E+00 7.82E+00 1.97E+00 2.14E+00 8.70E-01 1.36E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.627  1.06E+02 1.22E+02 8.60E+02 1.59E+01 1.84E+01 2.64E+01 1.40E+01 1.99E+01 9.44E+00 9.93E+00 1.33E+00 2.14E+00 2.15E+00 1.36E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.39E-03 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.646  1.41E+02 1.58E+02 1.14E+03 2.28E+01 2.33E+01 3.04E+01 1.88E+01 2.47E+01 1.38E+01 1.15E+01 3.70E+00 3.57E+00 2.30E+00 2.03E+00 6.41E-01 0.00E+00 0.00E+00 0.00E+00 1.39E-03 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.665  1.86E+02 1.98E+02 1.48E+03 2.42E+01 2.86E+01 4.04E+01 2.67E+01 2.78E+01 1.65E+01 1.56E+01 5.18E+00 5.07E+00 3.17E+00 2.10E+00 7.33E-01 6.41E-01 2.25E-02 6.41E-01 1.39E-03 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.683  2.44E+02 2.68E+02 2.08E+03 3.22E+01 3.99E+01 4.95E+01 3.57E+01 3.95E+01 2.00E+01 2.32E+01 7.32E+00 8.00E+00 4.53E+00 4.03E+00 8.27E-01 1.28E+00 2.25E-02 6.59E-01 6.47E-01 1.28E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.701  3.21E+02 3.51E+02 2.71E+03 4.25E+01 5.11E+01 7.28E+01 4.30E+01 4.83E+01 2.63E+01 2.54E+01 1.28E+01 1.14E+01 5.39E+00 4.81E+00 2.18E+00 1.40E+00 1.30E+00 6.59E-01 6.47E-01 1.28E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.735  5.75E+02 6.65E+02 5.24E+03 8.13E+01 8.24E+01 1.38E+02 8.42E+01 1.01E+02 4.63E+01 5.02E+01 2.72E+01 2.00E+01 9.72E+00 6.35E+00 4.56E+00 4.60E+00 2.81E+00 3.30E+00 1.31E+00 1.28E+00 3.39E-03 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.768  1.07E+03 1.30E+03 1.05E+04 1.53E+02 1.55E+02 2.49E+02 1.82E+02 1.82E+02 1.14E+02 8.41E+01 5.46E+01 4.18E+01 2.77E+01 1.61E+01 8.53E+00 1.20E+01 4.99E+00 7.14E+00 2.05E+00 1.95E+00 6.45E-01 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.799  2.01E+03 2.47E+03 2.06E+04 2.43E+02 2.78E+02 4.82E+02 3.43E+02 3.66E+02 2.35E+02 1.81E+02 9.88E+01 8.59E+01 5.38E+01 3.23E+01 1.44E+01 2.19E+01 8.15E+00 8.41E+00 5.02E+00 4.04E+00 1.94E+00 1.93E+00 6.41E-01 0.00E+00 0.00E+00 0.00E+00 1.41E-05 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.829  3.79E+03 4.68E+03 4.00E+04 4.59E+02 4.60E+02 9.16E+02 6.35E+02 7.10E+02 4.46E+02 3.66E+02 2.02E+02 1.80E+02 9.69E+01 7.88E+01 3.65E+01 3.66E+01 1.45E+01 1.47E+01 6.20E+00 7.89E+00 3.98E+00 3.22E+00 6.52E-01 1.28E+00 1.95E-03 6.42E-01 6.42E-01 1.28E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.858  7.18E+03 8.86E+03 7.76E+04 8.07E+02 8.54E+02 1.65E+03 1.28E+03 1.28E+03 9.01E+02 6.62E+02 4.49E+02 3.41E+02 2.02E+02 1.68E+02 8.32E+01 6.97E+01 2.69E+01 2.82E+01 1.47E+01 1.56E+01 6.79E+00 6.72E+00 2.66E+00 3.87E+00 6.57E-01 1.92E+00 6.42E-01 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.886  1.36E+04 1.69E+04 1.52E+05 1.40E+03 1.57E+03 3.06E+03 2.45E+03 2.50E+03 1.69E+03 1.36E+03 8.62E+02 7.28E+02 4.25E+02 3.28E+02 1.69E+02 1.36E+02 6.21E+01 6.15E+01 3.34E+01 2.31E+01 1.77E+01 1.20E+01 5.45E+00 5.15E+00 3.88E+00 3.86E+00 1.29E+00 1.92E+00 2.12E-04 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.914  2.60E+04 3.27E+04 3.01E+05 2.58E+03 3.00E+03 5.73E+03 4.71E+03 4.71E+03 3.35E+03 2.65E+03 1.81E+03 1.47E+03 8.95E+02 6.37E+02 3.54E+02 2.99E+02 1.57E+02 1.26E+02 7.40E+01 5.01E+01 2.32E+01 2.42E+01 9.73E+00 1.41E+01 7.29E+00 8.42E+00 1.30E+00 1.94E+00 1.93E+00 1.28E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.940  5.01E+04 6.36E+04 5.98E+05 4.65E+03 5.76E+03 1.08E+04 9.14E+03 9.04E+03 6.71E+03 5.28E+03 3.74E+03 2.95E+03 1.81E+03 1.26E+03 7.57E+02 6.30E+02 3.69E+02 2.64E+02 1.48E+02 1.17E+02 5.05E+01 5.59E+01 2.43E+01 2.44E+01 1.07E+01 1.30E+01 3.97E+00 5.81E+00 2.57E+00 1.28E+00 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.966  9.69E+04 1.24E+05 1.19E+06 8.68E+03 1.08E+04 2.06E+04 1.74E+04 1.75E+04 1.30E+04 1.06E+04 7.50E+03 5.99E+03 3.54E+03 2.63E+03 1.70E+03 1.31E+03 8.05E+02 5.64E+02 3.23E+02 2.37E+02 1.40E+02 1.13E+02 5.50E+01 4.81E+01 1.84E+01 1.94E+01 7.95E+00 1.29E+01 3.21E+00 4.49E+00 1.93E+00 1.28E+00 6.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.991  1.87E+05 2.38E+05 2.32E+06 1.65E+04 2.05E+04 3.90E+04 3.32E+04 3.35E+04 2.53E+04 2.04E+04 1.49E+04 1.13E+04 7.12E+03 5.40E+03 3.63E+03 2.68E+03 1.70E+03 1.19E+03 7.23E+02 5.26E+02 2.98E+02 2.51E+02 1.03E+02 1.10E+02 3.75E+01 3.79E+01 2.31E+01 1.80E+01 7.69E+00 4.54E+00 5.14E+00 3.85E+00 2.56E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
