                    *********************************************************************************
                    *  Z= 76 A=188: Positive-Parity Spin-dependent Level Density [MeV-1] for OS188  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   2.25  0.363  3.50E+01 5.95E+01 4.66E+02 6.99E+00 4.33E+00 1.18E+01 7.59E+00 1.20E+01 5.25E+00 6.75E+00 1.85E+00 2.12E+00 5.62E-01 2.81E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.382  5.30E+01 8.06E+01 6.32E+02 1.07E+01 5.18E+00 1.61E+01 9.81E+00 1.48E+01 7.11E+00 9.58E+00 3.54E+00 2.68E+00 5.62E-01 5.62E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.401  7.80E+01 1.26E+02 1.05E+03 1.39E+01 9.20E+00 2.23E+01 1.72E+01 2.15E+01 1.17E+01 1.47E+01 6.22E+00 5.00E+00 2.16E+00 1.56E+00 0.00E+00 2.81E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.419  1.16E+02 1.72E+02 1.47E+03 1.88E+01 1.39E+01 2.86E+01 2.01E+01 2.95E+01 1.77E+01 1.88E+01 9.09E+00 9.55E+00 2.87E+00 1.90E+00 7.14E-01 2.81E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.436  1.72E+02 2.78E+02 2.49E+03 2.31E+01 2.00E+01 4.83E+01 3.36E+01 4.73E+01 2.75E+01 3.21E+01 1.56E+01 1.72E+01 7.30E+00 3.89E+00 1.42E+00 2.81E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.453  2.57E+02 4.01E+02 3.68E+03 3.19E+01 2.76E+01 6.59E+01 4.90E+01 6.87E+01 4.25E+01 4.53E+01 2.19E+01 2.64E+01 1.07E+01 6.58E+00 2.14E+00 1.43E+00 6.74E-02 4.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.468  3.88E+02 6.54E+02 6.30E+03 4.01E+01 4.49E+01 1.01E+02 8.56E+01 1.06E+02 7.80E+01 7.06E+01 4.29E+01 3.61E+01 2.15E+01 1.43E+01 5.16E+00 4.38E+00 9.34E-01 1.10E+00 4.80E-01 4.33E-01 1.58E-02 4.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.484  5.90E+02 9.59E+02 9.36E+03 6.40E+01 6.32E+01 1.46E+02 1.25E+02 1.49E+02 1.09E+02 1.07E+02 5.98E+01 5.31E+01 3.25E+01 2.39E+01 1.06E+01 6.67E+00 3.84E+00 1.77E+00 9.14E-01 5.74E-01 4.49E-01 5.74E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.499  9.05E+02 1.57E+03 1.56E+04 9.89E+01 9.14E+01 2.37E+02 1.99E+02 2.58E+02 1.73E+02 1.75E+02 1.07E+02 8.84E+01 5.05E+01 4.33E+01 1.91E+01 1.21E+01 6.90E+00 3.13E+00 2.03E+00 1.58E+00 5.90E-01 5.74E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.513  1.38E+03 2.20E+03 2.22E+04 1.31E+02 1.28E+02 3.28E+02 2.78E+02 3.53E+02 2.46E+02 2.47E+02 1.57E+02 1.32E+02 7.39E+01 5.83E+01 2.75E+01 1.90E+01 9.40E+00 7.87E+00 2.69E+00 2.45E+00 6.62E-01 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
