                    *********************************************************************************
                    *  Z= 93 A=237: Positive-Parity Spin-dependent Level Density [MeV-1] for NP237  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   2.25  0.323  1.20E+03 3.12E+03 4.10E+04 9.31E+01 1.99E+02 2.91E+02 3.60E+02 3.61E+02 3.71E+02 3.49E+02 2.84E+02 2.36E+02 1.85E+02 1.37E+02 9.28E+01 6.73E+01 3.92E+01 2.51E+01 1.46E+01 8.88E+00 4.70E+00 1.57E+00 1.05E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.341  2.23E+03 5.13E+03 6.82E+04 1.56E+02 3.25E+02 4.68E+02 5.76E+02 5.74E+02 5.87E+02 5.64E+02 4.71E+02 4.08E+02 3.25E+02 2.27E+02 1.59E+02 1.14E+02 7.43E+01 3.99E+01 2.77E+01 1.46E+01 8.88E+00 4.70E+00 1.57E+00 1.05E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.357  4.19E+03 1.06E+04 1.44E+05 3.08E+02 6.34E+02 9.21E+02 1.14E+03 1.16E+03 1.20E+03 1.15E+03 9.84E+02 8.35E+02 6.97E+02 5.09E+02 3.67E+02 2.61E+02 1.66E+02 1.01E+02 6.50E+01 3.40E+01 1.99E+01 1.10E+01 5.23E+00 1.57E+00 1.05E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.373  7.64E+03 1.70E+04 2.34E+05 4.89E+02 9.88E+02 1.44E+03 1.80E+03 1.88E+03 1.91E+03 1.83E+03 1.58E+03 1.37E+03 1.13E+03 8.42E+02 6.12E+02 4.52E+02 2.88E+02 1.75E+02 1.09E+02 6.48E+01 3.40E+01 1.88E+01 9.93E+00 4.70E+00 1.57E+00 1.05E+00 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.388  1.41E+04 3.45E+04 4.84E+05 9.58E+02 1.92E+03 2.81E+03 3.54E+03 3.65E+03 3.80E+03 3.70E+03 3.24E+03 2.82E+03 2.36E+03 1.80E+03 1.30E+03 9.56E+02 6.43E+02 4.02E+02 2.51E+02 1.50E+02 8.26E+01 3.97E+01 2.46E+01 1.15E+01 5.23E+00 1.57E+00 1.05E+00 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.403  2.53E+04 5.54E+04 7.83E+05 1.53E+03 3.07E+03 4.51E+03 5.66E+03 5.85E+03 6.03E+03 5.85E+03 5.12E+03 4.50E+03 3.83E+03 2.96E+03 2.14E+03 1.59E+03 1.07E+03 6.88E+02 4.45E+02 2.53E+02 1.45E+02 7.70E+01 3.66E+01 1.99E+01 9.93E+00 4.70E+00 1.05E+00 1.05E+00 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.417  4.59E+04 1.10E+05 1.58E+06 2.91E+03 5.83E+03 8.56E+03 1.09E+04 1.13E+04 1.17E+04 1.15E+04 1.03E+04 9.10E+03 7.72E+03 6.02E+03 4.48E+03 3.40E+03 2.31E+03 1.48E+03 9.83E+02 5.84E+02 3.31E+02 1.74E+02 9.44E+01 4.41E+01 2.46E+01 1.10E+01 4.70E+00 1.57E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.431  8.16E+04 1.75E+05 2.54E+06 4.63E+03 9.26E+03 1.35E+04 1.73E+04 1.80E+04 1.86E+04 1.82E+04 1.63E+04 1.43E+04 1.24E+04 9.73E+03 7.21E+03 5.52E+03 3.87E+03 2.46E+03 1.66E+03 1.00E+03 5.73E+02 3.07E+02 1.64E+02 8.50E+01 3.73E+01 1.88E+01 8.88E+00 3.14E+00 1.05E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.444  1.46E+05 3.42E+05 5.05E+06 8.70E+03 1.74E+04 2.55E+04 3.26E+04 3.42E+04 3.57E+04 3.53E+04 3.22E+04 2.87E+04 2.47E+04 1.96E+04 1.48E+04 1.14E+04 7.92E+03 5.26E+03 3.60E+03 2.22E+03 1.27E+03 7.06E+02 3.83E+02 1.91E+02 9.39E+01 4.04E+01 1.88E+01 8.88E+00 3.14E+00 1.05E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.457  2.57E+05 5.41E+05 8.02E+06 1.37E+04 2.73E+04 4.02E+04 5.14E+04 5.40E+04 5.61E+04 5.54E+04 4.99E+04 4.44E+04 3.93E+04 3.15E+04 2.37E+04 1.83E+04 1.30E+04 8.62E+03 5.96E+03 3.71E+03 2.18E+03 1.20E+03 6.63E+02 3.43E+02 1.66E+02 7.81E+01 3.08E+01 1.41E+01 7.32E+00 1.57E+00 1.05E+00 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
