                    *********************************************************************************
                    *  Z= 63 A=153: Positive-Parity Spin-dependent Level Density [MeV-1] for EU153  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   9.50  0.826  5.32E+07 7.99E+07 9.89E+08 3.07E+06 6.03E+06 8.32E+06 9.54E+06 1.01E+07 9.38E+06 8.64E+06 7.01E+06 5.56E+06 4.19E+06 2.95E+06 2.03E+06 1.32E+06 8.18E+05 4.69E+05 2.50E+05 1.34E+05 6.80E+04 3.23E+04 1.49E+04 6.76E+03 2.79E+03 1.19E+03 5.14E+02 2.03E+02 7.04E+01 1.93E+01 1.06E+01 4.78E+00 4.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.848  1.16E+08 1.73E+08 2.17E+09 6.51E+06 1.28E+07 1.77E+07 2.04E+07 2.15E+07 2.02E+07 1.87E+07 1.53E+07 1.22E+07 9.31E+06 6.64E+06 4.61E+06 3.06E+06 1.92E+06 1.12E+06 6.12E+05 3.35E+05 1.76E+05 8.67E+04 4.15E+04 1.99E+04 8.57E+03 3.76E+03 1.72E+03 7.28E+02 2.79E+02 1.03E+02 4.58E+01 2.19E+01 2.95E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.889  6.03E+08 7.99E+08 1.02E+10 2.88E+07 5.67E+07 7.86E+07 9.09E+07 9.69E+07 9.18E+07 8.60E+07 7.11E+07 5.78E+07 4.47E+07 3.25E+07 2.31E+07 1.57E+07 1.02E+07 6.16E+06 3.50E+06 2.00E+06 1.10E+06 5.78E+05 2.96E+05 1.52E+05 7.11E+04 3.34E+04 1.61E+04 7.51E+03 3.37E+03 1.41E+03 6.47E+02 3.47E+02 5.90E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.929  2.79E+09 3.58E+09 4.69E+10 1.24E+08 2.45E+08 3.40E+08 3.95E+08 4.24E+08 4.05E+08 3.83E+08 3.21E+08 2.64E+08 2.07E+08 1.53E+08 1.11E+08 7.73E+07 5.15E+07 3.20E+07 1.88E+07 1.12E+07 6.42E+06 3.54E+06 1.91E+06 1.04E+06 5.14E+05 2.56E+05 1.31E+05 6.47E+04 3.16E+04 1.46E+04 7.04E+03 3.92E+03 7.44E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.967  1.24E+10 1.56E+10 2.09E+11 5.25E+08 1.04E+09 1.44E+09 1.68E+09 1.81E+09 1.74E+09 1.66E+09 1.41E+09 1.17E+09 9.31E+08 7.00E+08 5.16E+08 3.66E+08 2.50E+08 1.59E+08 9.65E+07 5.91E+07 3.51E+07 2.02E+07 1.14E+07 6.48E+06 3.37E+06 1.76E+06 9.42E+05 4.92E+05 2.54E+05 1.25E+05 6.51E+04 3.77E+04 7.90E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.003  5.36E+10 6.67E+10 9.09E+11 2.17E+09 4.28E+09 5.97E+09 6.99E+09 7.58E+09 7.34E+09 7.04E+09 6.01E+09 5.06E+09 4.07E+09 3.10E+09 2.32E+09 1.68E+09 1.17E+09 7.60E+08 4.73E+08 2.98E+08 1.83E+08 1.09E+08 6.36E+07 3.76E+07 2.03E+07 1.11E+07 6.18E+06 3.37E+06 1.82E+06 9.45E+05 5.15E+05 3.11E+05 7.10E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.038  1.50E+11 1.26E+11 1.73E+12 3.95E+09 7.79E+09 1.10E+10 1.31E+10 1.42E+10 1.37E+10 1.32E+10 1.14E+10 9.61E+09 7.81E+09 6.00E+09 4.49E+09 3.25E+09 2.29E+09 1.50E+09 9.43E+08 6.03E+08 3.75E+08 2.25E+08 1.34E+08 8.02E+07 4.40E+07 2.43E+07 1.38E+07 7.62E+06 4.18E+06 2.23E+06 1.24E+06 7.52E+05 1.78E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.073  3.31E+11 2.37E+11 3.30E+12 7.18E+09 1.42E+10 2.04E+10 2.46E+10 2.65E+10 2.54E+10 2.47E+10 2.16E+10 1.83E+10 1.50E+10 1.16E+10 8.68E+09 6.32E+09 4.50E+09 2.96E+09 1.88E+09 1.22E+09 7.68E+08 4.65E+08 2.81E+08 1.71E+08 9.51E+07 5.33E+07 3.10E+07 1.72E+07 9.59E+06 5.25E+06 2.96E+06 1.82E+06 4.47E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.106  6.73E+11 4.47E+11 6.29E+12 1.31E+10 2.58E+10 3.77E+10 4.63E+10 4.94E+10 4.74E+10 4.63E+10 4.11E+10 3.47E+10 2.88E+10 2.25E+10 1.68E+10 1.23E+10 8.82E+09 5.85E+09 3.75E+09 2.47E+09 1.58E+09 9.63E+08 5.90E+08 3.65E+08 2.06E+08 1.17E+08 6.95E+07 3.90E+07 2.20E+07 1.24E+07 7.09E+06 4.41E+06 1.12E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.138  1.32E+12 8.43E+11 1.20E+13 2.38E+10 4.70E+10 6.97E+10 8.68E+10 9.24E+10 8.81E+10 8.67E+10 7.80E+10 6.59E+10 5.53E+10 4.36E+10 3.25E+10 2.38E+10 1.73E+10 1.15E+10 7.47E+09 5.01E+09 3.23E+09 1.99E+09 1.24E+09 7.77E+08 4.45E+08 2.56E+08 1.56E+08 8.83E+07 5.04E+07 2.92E+07 1.70E+07 1.07E+07 2.81E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.169  2.54E+12 1.59E+12 2.29E+13 4.32E+10 8.55E+10 1.29E+11 1.63E+11 1.73E+11 1.64E+11 1.62E+11 1.48E+11 1.25E+11 1.06E+11 8.44E+10 6.28E+10 4.62E+10 3.40E+10 2.28E+10 1.49E+10 1.01E+10 6.63E+09 4.12E+09 2.60E+09 1.66E+09 9.62E+08 5.62E+08 3.49E+08 2.00E+08 1.16E+08 6.88E+07 4.07E+07 2.58E+07 7.05E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.199  4.83E+12 3.01E+12 4.38E+13 7.87E+10 1.56E+11 2.38E+11 3.06E+11 3.23E+11 3.05E+11 3.04E+11 2.81E+11 2.38E+11 2.04E+11 1.63E+11 1.21E+11 8.98E+10 6.68E+10 4.50E+10 2.97E+10 2.05E+10 1.36E+10 8.53E+09 5.47E+09 3.54E+09 2.08E+09 1.23E+09 7.82E+08 4.52E+08 2.65E+08 1.62E+08 9.76E+07 6.25E+07 1.77E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.272  2.71E+13 1.48E+13 2.22E+14 3.51E+11 6.96E+11 1.10E+12 1.48E+12 1.54E+12 1.44E+12 1.46E+12 1.40E+12 1.19E+12 1.04E+12 8.52E+11 6.31E+11 4.72E+11 3.60E+11 2.46E+11 1.67E+11 1.20E+11 8.18E+10 5.26E+10 3.49E+10 2.35E+10 1.43E+10 8.78E+09 5.88E+09 3.48E+09 2.11E+09 1.38E+09 8.68E+08 5.70E+08 1.76E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.341  1.37E+14 7.29E+13 1.13E+15 1.57E+12 3.11E+12 5.13E+12 7.12E+12 7.35E+12 6.82E+12 7.02E+12 6.93E+12 5.90E+12 5.32E+12 4.45E+12 3.28E+12 2.48E+12 1.95E+12 1.35E+12 9.34E+11 6.98E+11 4.93E+11 3.24E+11 2.23E+11 1.56E+11 9.84E+10 6.25E+10 4.42E+10 2.68E+10 1.68E+10 1.18E+10 7.71E+09 5.20E+09 1.75E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.469  4.81E+15 1.80E+15 2.98E+16 3.13E+13 6.21E+13 1.11E+14 1.66E+14 1.67E+14 1.52E+14 1.62E+14 1.71E+14 1.46E+14 1.39E+14 1.21E+14 8.86E+13 6.84E+13 5.67E+13 4.03E+13 2.94E+13 2.37E+13 1.79E+13 1.23E+13 9.14E+12 6.88E+12 4.66E+12 3.17E+12 2.50E+12 1.59E+12 1.06E+12 8.58E+11 6.09E+11 4.33E+11 1.74E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.696  5.93E+18 1.18E+18 2.36E+19 1.24E+16 2.48E+16 5.14E+16 9.01E+16 8.68E+16 7.61E+16 8.61E+16 1.04E+17 8.99E+16 9.43E+16 8.96E+16 6.47E+16 5.21E+16 4.82E+16 3.62E+16 2.91E+16 2.74E+16 2.35E+16 1.77E+16 1.53E+16 1.34E+16 1.04E+16 8.14E+15 7.96E+15 5.59E+15 4.27E+15 4.54E+15 3.81E+15 2.99E+15 1.71E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.896  2.37E+19 2.36E+18 4.72E+19 2.48E+16 4.95E+16 1.03E+17 1.80E+17 1.73E+17 1.52E+17 1.72E+17 2.08E+17 1.80E+17 1.89E+17 1.79E+17 1.29E+17 1.04E+17 9.63E+16 7.24E+16 5.82E+16 5.49E+16 4.70E+16 3.54E+16 3.05E+16 2.67E+16 2.08E+16 1.63E+16 1.59E+16 1.12E+16 8.54E+15 9.09E+15 7.61E+15 5.99E+15 3.43E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  2.077  5.91E+19 4.72E+18 9.44E+19 4.96E+16 9.89E+16 2.05E+17 3.60E+17 3.47E+17 3.04E+17 3.44E+17 4.15E+17 3.59E+17 3.77E+17 3.58E+17 2.59E+17 2.08E+17 1.93E+17 1.45E+17 1.16E+17 1.10E+17 9.39E+16 7.09E+16 6.11E+16 5.35E+16 4.17E+16 3.26E+16 3.18E+16 2.24E+16 1.71E+16 1.82E+16 1.52E+16 1.20E+16 6.85E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.243  1.30E+20 9.44E+18 1.89E+20 9.90E+16 1.98E+17 4.10E+17 7.19E+17 6.92E+17 6.07E+17 6.87E+17 8.29E+17 7.18E+17 7.53E+17 7.16E+17 5.17E+17 4.16E+17 3.85E+17 2.89E+17 2.33E+17 2.19E+17 1.88E+17 1.42E+17 1.22E+17 1.07E+17 8.33E+16 6.51E+16 6.37E+16 4.47E+16 3.41E+16 3.63E+16 3.04E+16 2.39E+16 1.37E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.398  2.71E+20 1.89E+19 3.77E+20 1.98E+17 3.95E+17 8.18E+17 1.44E+18 1.38E+18 1.21E+18 1.37E+18 1.66E+18 1.43E+18 1.51E+18 1.43E+18 1.03E+18 8.31E+17 7.69E+17 5.78E+17 4.65E+17 4.38E+17 3.75E+17 2.83E+17 2.44E+17 2.14E+17 1.67E+17 1.30E+17 1.27E+17 8.94E+16 6.83E+16 7.27E+16 6.09E+16 4.79E+16 2.74E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.544  5.54E+20 3.77E+19 7.54E+20 3.95E+17 7.88E+17 1.63E+18 2.87E+18 2.76E+18 2.42E+18 2.74E+18 3.31E+18 2.87E+18 3.01E+18 2.86E+18 2.06E+18 1.66E+18 1.54E+18 1.16E+18 9.29E+17 8.76E+17 7.50E+17 5.66E+17 4.88E+17 4.27E+17 3.33E+17 2.60E+17 2.55E+17 1.79E+17 1.37E+17 1.45E+17 1.22E+17 9.58E+16 5.48E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.681  1.12E+21 7.53E+19 1.51E+21 7.89E+17 1.57E+18 3.27E+18 5.73E+18 5.52E+18 4.84E+18 5.48E+18 6.62E+18 5.73E+18 6.01E+18 5.71E+18 4.13E+18 3.32E+18 3.07E+18 2.31E+18 1.86E+18 1.75E+18 1.50E+18 1.13E+18 9.76E+17 8.55E+17 6.66E+17 5.21E+17 5.09E+17 3.57E+17 2.73E+17 2.91E+17 2.43E+17 1.92E+17 1.10E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.812  2.25E+21 1.51E+20 3.01E+21 1.58E+18 3.14E+18 6.52E+18 1.15E+19 1.10E+19 9.68E+18 1.09E+19 1.32E+19 1.14E+19 1.20E+19 1.14E+19 8.25E+18 6.63E+18 6.14E+18 4.62E+18 3.71E+18 3.50E+18 3.00E+18 2.26E+18 1.95E+18 1.71E+18 1.33E+18 1.04E+18 1.02E+18 7.15E+17 5.46E+17 5.81E+17 4.87E+17 3.83E+17 2.19E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.937  4.51E+21 3.01E+20 6.02E+21 3.15E+18 6.28E+18 1.30E+19 2.29E+19 2.21E+19 1.93E+19 2.19E+19 2.64E+19 2.29E+19 2.40E+19 2.28E+19 1.65E+19 1.33E+19 1.23E+19 9.23E+18 7.42E+18 7.00E+18 6.00E+18 4.53E+18 3.90E+18 3.42E+18 2.66E+18 2.08E+18 2.04E+18 1.43E+18 1.09E+18 1.16E+18 9.74E+17 7.66E+17 4.38E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  3.057  9.02E+21 6.01E+20 1.20E+22 6.29E+18 1.25E+19 2.60E+19 4.57E+19 4.41E+19 3.86E+19 4.37E+19 5.28E+19 4.57E+19 4.80E+19 4.56E+19 3.29E+19 2.65E+19 2.45E+19 1.84E+19 1.48E+19 1.40E+19 1.20E+19 9.05E+18 7.80E+18 6.83E+18 5.32E+18 4.16E+18 4.07E+18 2.86E+18 2.18E+18 2.32E+18 1.95E+18 1.53E+18 8.77E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.173  1.80E+22 1.20E+21 2.40E+22 1.26E+19 2.51E+19 5.20E+19 9.14E+19 8.80E+19 7.72E+19 8.73E+19 1.06E+20 9.13E+19 9.59E+19 9.12E+19 6.58E+19 5.30E+19 4.91E+19 3.69E+19 2.97E+19 2.80E+19 2.40E+19 1.81E+19 1.56E+19 1.37E+19 1.06E+19 8.32E+18 8.14E+18 5.72E+18 4.37E+18 4.65E+18 3.89E+18 3.06E+18 1.75E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.284  3.61E+22 2.40E+21 4.81E+22 2.51E+19 5.01E+19 1.04E+20 1.83E+20 1.76E+20 1.54E+20 1.75E+20 2.11E+20 1.83E+20 1.92E+20 1.82E+20 1.32E+20 1.06E+20 9.81E+19 7.37E+19 5.93E+19 5.59E+19 4.79E+19 3.62E+19 3.12E+19 2.73E+19 2.13E+19 1.66E+19 1.63E+19 1.14E+19 8.73E+18 9.30E+18 7.79E+18 6.13E+18 3.51E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.392  7.21E+22 4.80E+21 9.61E+22 5.01E+19 1.00E+20 2.08E+20 3.65E+20 3.51E+20 3.08E+20 3.49E+20 4.21E+20 3.65E+20 3.83E+20 3.64E+20 2.63E+20 2.12E+20 1.96E+20 1.47E+20 1.19E+20 1.12E+20 9.58E+19 7.23E+19 6.24E+19 5.46E+19 4.26E+19 3.33E+19 3.26E+19 2.29E+19 1.75E+19 1.86E+19 1.56E+19 1.23E+19 7.01E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.496  1.44E+23 9.59E+21 1.92E+23 1.00E+20 2.00E+20 4.15E+20 7.29E+20 7.02E+20 6.16E+20 6.97E+20 8.42E+20 7.29E+20 7.66E+20 7.28E+20 5.26E+20 4.23E+20 3.92E+20 2.94E+20 2.37E+20 2.24E+20 1.91E+20 1.45E+20 1.25E+20 1.09E+20 8.51E+19 6.65E+19 6.51E+19 4.57E+19 3.49E+19 3.72E+19 3.11E+19 2.45E+19 1.40E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.597  2.88E+23 1.92E+22 3.84E+23 2.00E+20 3.99E+20 8.29E+20 1.46E+21 1.40E+21 1.23E+21 1.39E+21 1.68E+21 1.46E+21 1.53E+21 1.45E+21 1.05E+21 8.45E+20 7.83E+20 5.89E+20 4.74E+20 4.47E+20 3.83E+20 2.89E+20 2.49E+20 2.18E+20 1.70E+20 1.33E+20 1.30E+20 9.14E+19 6.98E+19 7.44E+19 6.23E+19 4.90E+19 2.81E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.696  5.75E+23 3.83E+22 7.67E+23 4.00E+20 7.97E+20 1.66E+21 2.91E+21 2.80E+21 2.46E+21 2.78E+21 3.36E+21 2.91E+21 3.06E+21 2.91E+21 2.10E+21 1.69E+21 1.57E+21 1.18E+21 9.47E+20 8.93E+20 7.65E+20 5.78E+20 4.98E+20 4.37E+20 3.40E+20 2.66E+20 2.60E+20 1.83E+20 1.40E+20 1.49E+20 1.25E+20 9.80E+19 5.61E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.792  1.15E+24 7.66E+22 1.53E+24 7.98E+20 1.59E+21 3.31E+21 5.82E+21 5.60E+21 4.91E+21 5.56E+21 6.72E+21 5.82E+21 6.11E+21 5.81E+21 4.20E+21 3.38E+21 3.13E+21 2.35E+21 1.89E+21 1.79E+21 1.53E+21 1.16E+21 9.97E+20 8.73E+20 6.80E+20 5.32E+20 5.21E+20 3.66E+20 2.79E+20 2.97E+20 2.49E+20 1.96E+20 1.12E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 63 A=153: Negative-parity Spin-dependent Level Density [MeV-1] for EU153  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.134  1.00E+00 5.54E+00 4.42E+01 0.00E+00 1.00E+00 1.59E+00 1.18E+00 5.90E-01 5.90E-01 5.90E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.190  3.00E+00 8.74E+00 7.08E+01 0.00E+00 1.67E+00 2.65E+00 1.48E+00 9.83E-01 9.83E-01 4.92E-01 4.92E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
