                    *********************************************************************************
                    *  Z= 63 A=153: Positive-Parity Spin-dependent Level Density [MeV-1] for EU153  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   2.25  0.402  1.69E+02 3.47E+02 3.26E+03 1.94E+01 4.15E+01 6.02E+01 6.23E+01 5.25E+01 3.87E+01 3.05E+01 1.77E+01 1.19E+01 6.91E+00 2.53E+00 1.69E+00 8.43E-01 8.43E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.424  2.77E+02 5.16E+02 4.92E+03 2.46E+01 5.89E+01 9.05E+01 9.43E+01 7.37E+01 6.25E+01 4.57E+01 2.80E+01 1.71E+01 1.03E+01 5.06E+00 2.53E+00 1.69E+00 8.43E-01 4.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.445  4.55E+02 9.09E+02 8.90E+03 4.26E+01 9.98E+01 1.49E+02 1.51E+02 1.39E+02 1.09E+02 8.52E+01 5.64E+01 3.62E+01 2.13E+01 9.69E+00 4.64E+00 2.53E+00 8.43E-01 8.43E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.464  7.33E+02 1.32E+03 1.31E+04 6.27E+01 1.41E+02 2.05E+02 2.27E+02 1.94E+02 1.57E+02 1.27E+02 8.56E+01 5.71E+01 3.28E+01 1.55E+01 8.43E+00 3.79E+00 1.69E+00 8.43E-01 4.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.483  1.18E+03 2.26E+03 2.27E+04 1.11E+02 2.37E+02 3.41E+02 3.66E+02 3.37E+02 2.74E+02 2.12E+02 1.52E+02 1.02E+02 6.29E+01 3.33E+01 1.48E+01 7.17E+00 2.53E+00 1.69E+00 8.43E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.502  1.87E+03 3.26E+03 3.31E+04 1.62E+02 3.34E+02 4.82E+02 5.32E+02 4.86E+02 3.85E+02 3.21E+02 2.19E+02 1.50E+02 9.16E+01 5.28E+01 2.66E+01 1.10E+01 4.21E+00 2.53E+00 8.43E-01 4.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.519  2.98E+03 5.60E+03 5.76E+04 2.71E+02 5.76E+02 8.03E+02 9.12E+02 8.21E+02 6.64E+02 5.44E+02 3.93E+02 2.64E+02 1.69E+02 9.48E+01 4.99E+01 2.41E+01 9.57E+00 4.21E+00 1.69E+00 8.43E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.536  4.70E+03 8.16E+03 8.42E+04 4.04E+02 8.30E+02 1.18E+03 1.29E+03 1.20E+03 9.64E+02 7.97E+02 5.63E+02 3.92E+02 2.49E+02 1.51E+02 8.02E+01 3.79E+01 1.50E+01 5.93E+00 2.82E+00 8.43E-01 4.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.553  7.46E+03 1.40E+04 1.46E+05 6.80E+02 1.39E+03 1.94E+03 2.15E+03 2.05E+03 1.69E+03 1.40E+03 9.82E+02 6.81E+02 4.53E+02 2.64E+02 1.51E+02 7.66E+01 3.18E+01 1.31E+01 4.51E+00 1.69E+00 8.43E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.569  1.17E+04 2.02E+04 2.13E+05 9.65E+02 2.00E+03 2.83E+03 3.10E+03 2.90E+03 2.46E+03 2.05E+03 1.45E+03 1.00E+03 6.67E+02 4.01E+02 2.20E+02 1.12E+02 5.30E+01 1.96E+01 7.08E+00 3.11E+00 8.43E-01 4.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
